Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	1	0	0	0
Feb 26 2020	1	0	0	0
Feb 27 2020	1	0	0	0
Feb 28 2020	1	0	0	0
Feb 29 2020	1	0	0	0
Mar 01 2020	3	0	2	0
Mar 02 2020	5	0	2	0
Mar 03 2020	8	0	3	0
Mar 04 2020	17	0	9	0
Mar 05 2020	17	0	0	0
Mar 06 2020	17	0	0	0
Mar 07 2020	19	0	2	0
Mar 08 2020	20	0	1	0
Mar 09 2020	20	0	0	0
Mar 10 2020	20	0	0	0
Mar 11 2020	12	0	0	0
Mar 12 2020	14	2	6	0
Mar 13 2020	14	0	0	0
Mar 14 2020	26	1	13	0
Mar 15 2020	40	1	15	0
Mar 16 2020	46	0	6	0
Mar 17 2020	46	1	1	0
Mar 18 2020	36	2	14	0
Mar 19 2020	49	2	15	0
Mar 20 2020	51	2	4	0
Mar 21 2020	59	4	45	0
Mar 22 2020	119	2	62	0
Mar 23 2020	148	0	29	0
Mar 24 2020	221	2	34	0
Mar 25 2020	216	2	38	0
Mar 26 2020	313	4	65	0
Mar 27 2020	354	1	42	0
Mar 28 2020	394	3	45	0
Mar 29 2020	449	2	57	0
Mar 30 2020	512	4	73	0
Mar 31 2020	626	9	132	0
Apr 01 2020	728	14	131	0
Apr 02 2020	839	28	139	0
Apr 03 2020	1004	19	185	0
Apr 04 2020	1031	25	80	0
Apr 05 2020	1078	22	69	0
Apr 06 2020	1160	21	103	0
Apr 07 2020	1162	20	45	0
Apr 08 2020	1130	12	104	0
Apr 09 2020	1084	30	94	0
Apr 10 2020	1100	21	95	0
Apr 11 2020	1090	19	64	0
Apr 12 2020	1030	18	89	0
Apr 13 2020	1069	20	69	0
Apr 14 2020	1053	13	87	0
Apr 15 2020	1116	10	90	0
Apr 16 2020	1137	12	108	0
Apr 17 2020	1208	16	150	0
Apr 18 2020	1273	3	116	0
Apr 19 2020	1207	8	95	0
Apr 20 2020	1235	9	89	0
Apr 21 2020	1267	8	93	0
Apr 22 2020	1304	10	99	0
Apr 23 2020	1245	5	97	0
Apr 24 2020	1304	8	120	0
Apr 25 2020	1358	4	129	0
Apr 26 2020	1449	6	126	0
Apr 27 2020	1527	7	135	0
Apr 28 2020	1561	5	132	0
Apr 29 2020	1702	7	199	0
Apr 30 2020	1777	6	158	0
May 01 2020	1880	3	148	0
May 02 2020	1964	6	141	0
May 03 2020	2075	4	179	0
May 04 2020	2185	2	174	0
May 05 2020	2301	5	190	0
May 06 2020	2324	6	159	0
May 07 2020	2376	7	185	0
May 08 2020	2414	5	187	0
May 09 2020	2518	6	189	0
May 10 2020	2543	8	165	0
May 11 2020	2543	5	168	0
May 12 2020	2554	8	176	0
May 13 2020	2673	7	186	0
May 14 2020	2755	7	189	0
May 15 2020	2822	7	187	0
May 16 2020	2870	6	192	0
May 17 2020	2964	6	198	0
May 18 2020	3021	7	182	0
May 19 2020	3070	6	176	0
May 20 2020	3006	7	165	0
May 21 2020	3091	7	186	0
May 22 2020	3080	7	190	0
May 23 2020	3095	10	195	0
May 24 2020	3128	8	193	0
May 25 2020	3147	9	197	0
May 26 2020	3162	8	194	0
May 27 2020	3105	6	160	0
May 28 2020	3090	7	140	0
May 29 2020	3074	8	137	0
May 30 2020	3072	8	133	0
May 31 2020	2993	7	127	0
Jun 01 2020	2958	8	119	0
Jun 02 2020	2892	6	113	0
Jun 03 2020	2842	6	107	0
Jun 04 2020	2853	8	98	0
Jun 05 2020	2792	9	104	0
Jun 06 2020	2721	8	115	0
Jun 07 2020	2730	9	104	0
Jun 08 2020	2751	8	111	0
Jun 09 2020	2707	9	117	0
Jun 10 2020	2678	8	102	0
Jun 11 2020	2593	9	105	0
Jun 12 2020	2625	10	109	0
Jun 13 2020	2630	9	112	0
Jun 14 2020	2546	7	109	0
Jun 15 2020	2519	10	112	0
Jun 16 2020	2517	11	116	0
Jun 17 2020	2526	11	121	0
Jun 18 2020	2496	12	117	0
Jun 19 2020	2483	14	119	0
Jun 20 2020	2470	12	127	0
Jun 21 2020	2504	8	140	0
Jun 22 2020	2509	7	149	0
Jun 23 2020	2541	9	156	0
Jun 24 2020	2587	8	172	0
Jun 25 2020	2647	9	197	0
Jun 26 2020	2734	7	240	0
Jun 27 2020	2874	7	283	0
Jun 28 2020	3005	5	305	0
Jun 29 2020	2992	8	298	0
Jun 30 2020	3098	7	336	0
Jul 01 2020	3312	8	365	0
Jul 02 2020	3387	8	385	0
Jul 03 2020	3301	9	413	0
Jul 04 2020	3373	9	430	0
Jul 05 2020	3497	6	441	0
Jul 06 2020	3561	7	463	0
Jul 07 2020	3817	9	475	0
Jul 08 2020	4041	10	469	0
Jul 09 2020	4183	10	460	0
Jul 10 2020	4122	8	434	0
Jul 11 2020	4584	8	470	0
Jul 12 2020	4441	7	483	0
Jul 13 2020	4652	7	494	0
Jul 14 2020	4893	10	527	0
Jul 15 2020	4938	12	554	0
Jul 16 2020	5196	12	585	0
Jul 17 2020	5461	5	593	0
Jul 18 2020	5737	11	601	0
Jul 19 2020	5955	10	535	0
Jul 20 2020	6204	9	607	0
Jul 21 2020	6532	13	587	0
Jul 22 2020	6778	11	594	0
Jul 23 2020	6991	13	612	0
Jul 24 2020	7654	12	675	0
Jul 25 2020	7542	10	605	0
Jul 26 2020	8114	9	593	0
Jul 27 2020	7973	8	616	0
Jul 28 2020	8208	11	642	0
Jul 29 2020	8451	12	614	0
Jul 30 2020	8549	14	602	0
Jul 31 2020	8647	10	563	0
Aug 01 2020	8739	13	556	0
Aug 02 2020	8815	8	515	0
Aug 03 2020	8832	8	507	0
Aug 04 2020	8881	9	532	0
Aug 05 2020	8992	13	551	0
Aug 06 2020	9115	12	571	0
Aug 07 2020	9206	9	529	0
Aug 08 2020	9317	11	538	0
Aug 09 2020	9406	9	521	0
Aug 10 2020	9480	10	498	0
Aug 11 2020	9619	10	492	0
Aug 12 2020	9739	11	495	0
Aug 13 2020	9842	8	488	0
Aug 14 2020	10005	10	477	0
Aug 15 2020	10129	9	469	0
Aug 16 2020	10196	10	450	0
Aug 17 2020	10299	9	442	0
Aug 18 2020	10400	12	419	0
Aug 19 2020	10474	11	403	0
Aug 20 2020	10566	9	411	0
Aug 21 2020	10662	7	409	0
Aug 22 2020	10770	6	401	0
Aug 23 2020	10883	11	392	0
Aug 24 2020	11043	11	398	0
Aug 25 2020	11185	10	370	0
Aug 26 2020	11268	9	391	0
Aug 27 2020	11384	10	397	0
Aug 28 2020	11484	8	387	0
Aug 29 2020	11573	8	378	0
Aug 30 2020	11667	10	365	0
Aug 31 2020	11740	9	348	0
Sep 01 2020	11822	8	339	0
