Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	1	0	0	0
Mar 04 2020	1	0	0	0
Mar 05 2020	2	0	1	0
Mar 06 2020	8	0	6	0
Mar 07 2020	8	0	1	0
Mar 08 2020	10	1	3	0
Mar 09 2020	15	0	5	0
Mar 10 2020	17	0	2	0
Mar 11 2020	18	1	2	0
Mar 12 2020	28	0	10	0
Mar 13 2020	28	3	3	0
Mar 14 2020	39	0	11	0
Mar 15 2020	47	0	11	3
Mar 16 2020	56	0	9	0
Mar 17 2020	70	0	14	0
Mar 18 2020	88	0	18	0
Mar 19 2020	116	3	31	0
Mar 20 2020	146	0	30	0
Mar 21 2020	143	3	0	0
Mar 22 2020	227	0	108	24
Mar 23 2020	238	0	35	24
Mar 24 2020	318	5	86	1
Mar 25 2020	428	5	115	0
Mar 26 2020	485	10	87	20
Mar 27 2020	482	3	0	0
Mar 28 2020	622	16	156	0
Mar 29 2020	675	3	75	19
Mar 30 2020	530	8	0	137
Mar 31 2020	742	10	234	12
Apr 01 2020	800	13	79	8
Apr 02 2020	914	10	132	8
Apr 03 2020	976	16	88	10
Apr 04 2020	1058	3	98	13
Apr 05 2020	1152	8	103	1
Apr 06 2020	1163	18	74	45
Apr 07 2020	1219	18	87	13
Apr 08 2020	1266	13	80	20
Apr 09 2020	1321	37	99	7
Apr 10 2020	1384	8	81	10
Apr 11 2020	1468	18	167	65
Apr 12 2020	1437	3	0	28
Apr 13 2020	1504	21	135	47
Apr 14 2020	1450	10	0	44
Apr 15 2020	1681	26	294	37
Apr 16 2020	1718	26	98	35
Apr 17 2020	1680	3	0	35
Apr 18 2020	1807	24	170	19
Apr 19 2020	1880	5	102	24
Apr 20 2020	1921	21	90	28
Apr 21 2020	1907	24	113	103
Apr 22 2020	1998	21	144	32
Apr 23 2020	2082	16	147	47
Apr 24 2020	2168	29	172	57
Apr 25 2020	2263	24	173	54
Apr 26 2020	2280	18	112	77
Apr 27 2020	2345	13	111	33
Apr 28 2020	2421	26	124	22
Apr 29 2020	2531	18	158	30
Apr 30 2020	2600	10	143	64
May 01 2020	2650	18	104	36
May 02 2020	2740	31	149	28
May 03 2020	2784	24	102	34
May 04 2020	2763	37	104	88
May 05 2020	2856	10	133	30
May 06 2020	2968	24	188	52
May 07 2020	3030	24	163	77
May 08 2020	3183	29	240	58
May 09 2020	3261	18	165	69
May 10 2020	3477	13	258	29
May 11 2020	3617	24	244	80
May 12 2020	3864	13	285	25
May 13 2020	3750	26	316	404
May 14 2020	3823	63	255	119
May 15 2020	4048	8	345	112
May 16 2020	4319	18	326	37
May 17 2020	4521	26	263	35
May 18 2020	4744	24	303	56
May 19 2020	4906	29	438	247
May 20 2020	5293	26	474	61
May 21 2020	5808	34	648	99
May 22 2020	6451	45	718	30
May 23 2020	6656	31	704	468
May 24 2020	7159	18	723	202
May 25 2020	7405	39	552	267
May 26 2020	7792	45	600	168
May 27 2020	8273	42	705	182
May 28 2020	8753	21	769	268
May 29 2020	9268	31	717	171
May 30 2020	10042	21	795	0
May 31 2020	10102	29	637	548
Jun 01 2020	10436	45	564	185
Jun 02 2020	11118	34	904	188
Jun 03 2020	11843	37	949	187
Jun 04 2020	12609	66	929	97
Jun 05 2020	13291	63	840	95
Jun 06 2020	14140	42	983	92
Jun 07 2020	14143	42	774	729
Jun 08 2020	14497	76	826	396
Jun 09 2020	15312	63	1141	263
Jun 10 2020	16068	47	1226	423
Jun 11 2020	17034	79	1386	341
Jun 12 2020	17962	52	1391	411
Jun 13 2020	19074	79	1531	340
Jun 14 2020	19828	47	1282	481
Jun 15 2020	20654	55	1208	327
Jun 16 2020	21682	63	1374	283
Jun 17 2020	22645	92	1393	338
Jun 18 2020	24302	92	1958	209
Jun 19 2020	25151	81	2060	1130
Jun 20 2020	26396	34	1634	355
Jun 21 2020	27405	50	1581	522
Jun 22 2020	29042	84	2146	425
Jun 23 2020	30799	92	2272	423
Jun 24 2020	33107	100	2648	240
Jun 25 2020	34652	89	2606	972
Jun 26 2020	33821	89	2886	3628
Jun 27 2020	35435	60	2401	727
Jun 28 2020	36567	66	2189	991
Jun 29 2020	37772	126	2335	1004
Jun 30 2020	39073	71	2262	890
Jul 01 2020	40681	47	2667	1012
Jul 02 2020	42194	85	2744	1146
Jul 03 2020	43880	121	2845	1038
Jul 04 2020	45638	126	2590	706
Jul 05 2020	46295	115	2439	1667
Jul 06 2020	47897	96	2632	934
Jul 07 2020	49158	154	2979	1564
Jul 08 2020	46196	159	3604	6407
Jul 09 2020	47869	179	3663	1811
Jul 10 2020	50433	132	3367	671
Jul 11 2020	51331	127	3449	2424
Jul 12 2020	52537	165	2657	1286
Jul 13 2020	54037	120	3099	1479
Jul 14 2020	56181	207	3645	1294
Jul 15 2020	58393	193	4236	1831
Jul 16 2020	60027	181	3637	1822
Jul 17 2020	63674	211	4518	660
Jul 18 2020	63878	192	3223	2827
Jul 19 2020	66491	120	4231	1498
Jul 20 2020	68550	152	4019	1808
Jul 21 2020	70997	212	5344	2685
Jul 22 2020	74602	244	5782	1933
Jul 23 2020	78227	218	6127	2284
Jul 24 2020	80842	246	5493	2632
Jul 25 2020	82892	189	4814	2575
Jul 26 2020	84449	139	4192	2496
Jul 27 2020	87120	162	4890	2057
Jul 28 2020	90345	206	5939	2508
Jul 29 2020	93024	190	5641	2772
Jul 30 2020	96467	193	6377	2741
Jul 31 2020	99016	196	5929	3184
Aug 01 2020	101327	211	5241	2719
Aug 02 2020	104039	137	5376	2527
Aug 03 2020	106404	183	4824	2276
Aug 04 2020	110103	266	6792	2827
Aug 05 2020	114166	265	7147	2819
Aug 06 2020	118499	276	7513	2904
Aug 07 2020	122261	275	7482	3445
Aug 08 2020	123251	199	6134	4945
Aug 09 2020	65939	133	4688	61867
Aug 10 2020	68289	154	7369	4865
Aug 11 2020	68702	215	7043	6415
Aug 12 2020	70222	249	7663	5894
Aug 13 2020	72350	219	7498	5151
Aug 14 2020	71901	243	6365	6571
Aug 15 2020	71642	230	6663	6692
Aug 16 2020	70947	159	5469	6005
Aug 17 2020	69185	171	4557	6148
Aug 18 2020	70165	179	6840	5681
Aug 19 2020	71383	281	6693	5194
Aug 20 2020	74421	261	8225	4926
Aug 21 2020	76152	273	8159	6155
Aug 22 2020	77707	229	7759	5975
Aug 23 2020	77082	358	5352	5619
Aug 24 2020	80074	332	8713	5389
Aug 25 2020	82150	282	8771	6413
