Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	5	0	0	0
Feb 16 2020	5	0	0	0
Feb 17 2020	5	0	0	0
Feb 18 2020	5	0	0	0
Feb 19 2020	5	0	0	0
Feb 20 2020	6	0	2	1
Feb 21 2020	8	0	2	0
Feb 22 2020	10	0	2	0
Feb 23 2020	11	0	1	0
Feb 24 2020	11	0	0	0
Feb 25 2020	7	0	0	4
Feb 26 2020	8	0	1	0
Feb 27 2020	8	0	0	0
Feb 28 2020	10	0	2	0
Feb 29 2020	10	0	0	0
Mar 01 2020	13	1	4	0
Mar 02 2020	17	0	4	0
Mar 03 2020	17	0	6	6
Mar 04 2020	30	1	14	0
Mar 05 2020	36	0	7	1
Mar 06 2020	39	0	3	0
Mar 07 2020	49	1	11	0
Mar 08 2020	58	0	9	0
Mar 09 2020	68	0	10	0
Mar 10 2020	91	0	23	0
Mar 11 2020	101	0	12	2
Mar 12 2020	127	0	28	2
Mar 13 2020	169	0	42	0
Mar 14 2020	215	0	47	1
Mar 15 2020	263	2	50	0
Mar 16 2020	362	0	99	0
Mar 17 2020	414	0	52	0
Mar 18 2020	534	1	137	16
Mar 19 2020	686	1	156	3
Mar 20 2020	854	0	168	0
Mar 21 2020	994	0	140	0
Mar 22 2020	1475	0	522	41
Mar 23 2020	1715	0	270	30
Mar 24 2020	2132	1	418	0
Mar 25 2020	2478	3	349	0
Mar 26 2020	2790	2	364	50
Mar 27 2020	3109	0	319	0
Mar 28 2020	3358	1	250	0
Mar 29 2020	3796	3	513	72
Mar 30 2020	4083	2	289	0
Mar 31 2020	4278	1	295	99
Apr 01 2020	4552	3	277	0
Apr 02 2020	4574	2	258	234
Apr 03 2020	4707	3	136	0
Apr 04 2020	4799	2	94	0
Apr 05 2020	4503	7	194	483
Apr 06 2020	3317	8	141	1319
Apr 07 2020	3292	4	91	112
Apr 08 2020	3068	1	62	285
Apr 09 2020	2973	1	98	192
Apr 10 2020	2928	3	84	126
Apr 11 2020	2888	2	63	101
Apr 12 2020	2837	3	10	58
Apr 13 2020	2719	2	45	161
Apr 14 2020	2664	0	40	95
Apr 15 2020	2608	2	45	99
Apr 16 2020	2580	0	21	49
Apr 17 2020	2556	2	63	85
Apr 18 2020	2255	5	51	347
Apr 19 2020	2235	1	26	45
Apr 20 2020	2203	0	13	45
Apr 21 2020	1812	0	20	411
Apr 22 2020	1583	3	4	230
Apr 23 2020	1481	1	18	119
Apr 24 2020	1406	4	8	79
Apr 25 2020	1189	1	20	236
Apr 26 2020	1042	3	21	165
Apr 27 2020	1005	0	4	41
Apr 28 2020	970	5	18	48
Apr 29 2020	944	1	8	33
