Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	0	0	0	0
Mar 07 2020	0	0	0	0
Mar 08 2020	0	0	0	0
Mar 09 2020	0	0	0	0
Mar 10 2020	0	0	0	0
Mar 11 2020	0	0	0	0
Mar 12 2020	0	0	0	0
Mar 13 2020	0	0	0	0
Mar 14 2020	0	0	2	0
Mar 15 2020	0	0	0	0
Mar 16 2020	0	0	3	0
Mar 17 2020	0	0	2	0
Mar 18 2020	0	0	4	0
Mar 19 2020	0	0	4	0
Mar 20 2020	0	0	2	0
Mar 21 2020	0	1	4	0
Mar 22 2020	0	0	9	0
Mar 23 2020	0	1	6	0
Mar 24 2020	0	1	0	0
Mar 25 2020	0	1	5	0
Mar 26 2020	0	0	4	0
Mar 27 2020	0	0	0	0
Mar 28 2020	0	0	0	0
Mar 29 2020	0	0	1	0
Mar 30 2020	0	0	2	0
Mar 31 2020	0	0	3	0
Apr 01 2020	0	1	2	0
Apr 02 2020	0	0	5	0
Apr 03 2020	0	0	9	0
Apr 04 2020	0	2	18	0
Apr 05 2020	0	1	35	0
Apr 06 2020	0	3	41	0
Apr 07 2020	0	5	54	0
Apr 08 2020	0	3	112	0
Apr 09 2020	0	1	94	0
Apr 10 2020	0	6	58	0
Apr 11 2020	0	3	139	0
Apr 12 2020	0	4	182	0
Apr 13 2020	0	5	209	0
Apr 14 2020	0	7	219	0
Apr 15 2020	0	4	341	0
Apr 16 2020	0	10	266	0
Apr 17 2020	0	15	306	0
Apr 18 2020	0	9	312	0
Apr 19 2020	0	7	492	0
Apr 20 2020	0	10	434	0
Apr 21 2020	0	9	390	0
Apr 22 2020	0	10	414	0
Apr 23 2020	0	7	503	0
Apr 24 2020	0	4	309	0
Apr 25 2020	0	9	418	0
Apr 26 2020	0	5	497	0
Apr 27 2020	0	7	549	0
Apr 28 2020	0	3	641	0
Apr 29 2020	0	8	564	0
Apr 30 2020	0	5	571	0
May 01 2020	0	2	552	0
May 02 2020	0	5	665	0
May 03 2020	0	2	688	0
May 04 2020	0	5	786	0
May 05 2020	0	1	790	0
May 06 2020	0	3	706	0
May 07 2020	0	13	709	0
May 08 2020	0	7	636	0
May 09 2020	0	8	887	0
May 10 2020	0	14	1034	0
May 11 2020	0	11	969	0
May 12 2020	0	11	1162	0
May 13 2020	0	19	1041	0
May 14 2020	0	14	1202	0
May 15 2020	0	15	930	0
May 16 2020	0	16	1273	0
May 17 2020	0	14	1602	0
May 18 2020	0	21	1251	0
May 19 2020	0	21	1617	0
May 20 2020	0	16	1773	0
May 21 2020	0	22	1694	0
May 22 2020	0	24	1873	0
May 23 2020	0	20	1532	0
May 24 2020	0	28	1975	0
May 25 2020	0	21	1166	0
May 26 2020	0	21	1541	0
May 27 2020	0	22	2029	0
May 28 2020	0	15	2523	0
May 29 2020	0	23	1764	0
May 30 2020	0	28	2545	0
May 31 2020	0	40	2381	0
Jun 01 2020	0	22	2911	0
Jun 02 2020	0	37	2695	0
Jun 03 2020	0	37	2423	0
Jun 04 2020	0	35	2828	0
Jun 05 2020	0	30	2635	0
Jun 06 2020	0	35	2743	0
Jun 07 2020	0	42	2735	0
Jun 08 2020	0	42	3171	0
Jun 09 2020	0	45	3190	0
Jun 10 2020	0	37	3187	0
Jun 11 2020	0	37	3471	0
Jun 12 2020	0	46	2856	0
Jun 13 2020	0	44	3141	0
Jun 14 2020	0	32	3099	0
Jun 15 2020	0	38	3862	0
Jun 16 2020	0	53	4008	0
Jun 17 2020	0	43	3803	0
Jun 18 2020	0	38	3243	0
Jun 19 2020	0	45	3240	0
Jun 20 2020	0	37	3531	0
Jun 21 2020	0	39	3480	0
Jun 22 2020	0	38	3412	0
Jun 23 2020	0	43	3462	0
Jun 24 2020	0	37	3946	0
Jun 25 2020	0	39	3868	0
Jun 26 2020	0	40	3504	0
Jun 27 2020	0	34	3809	0
Jun 28 2020	0	43	4014	0
Jun 29 2020	0	45	3682	0
Jun 30 2020	0	64	3775	0
Jul 01 2020	0	41	4019	0
Jul 02 2020	0	38	3114	0
Jul 03 2020	0	42	3288	0
Jul 04 2020	0	29	2738	0
Jul 05 2020	0	55	3201	0
Jul 06 2020	0	44	3027	0
Jul 07 2020	0	55	3489	0
Jul 08 2020	0	46	3360	0
Jul 09 2020	0	41	2949	0
Jul 10 2020	0	37	2686	0
Jul 11 2020	0	30	2666	0
Jul 12 2020	0	47	3099	0
Jul 13 2020	0	39	3163	0
Jul 14 2020	0	33	3533	0
Jul 15 2020	0	33	2733	0
Jul 16 2020	0	39	3034	0
Jul 17 2020	0	51	2709	0
Jul 18 2020	0	34	2459	0
Jul 19 2020	0	37	2928	0
Jul 20 2020	0	50	3057	0
Jul 21 2020	0	41	2744	0
Jul 22 2020	0	42	2856	0
Jul 23 2020	0	50	2548	0
Jul 24 2020	0	35	2520	0
Jul 25 2020	0	38	2275	0
Jul 26 2020	0	54	2772	0
Jul 27 2020	0	37	2960	0
Jul 28 2020	0	35	3009	0
Jul 29 2020	0	35	2695	0
Jul 30 2020	0	48	2772	0
Jul 31 2020	0	28	2199	0
Aug 01 2020	0	21	886	0
Aug 02 2020	0	22	1356	0
Aug 03 2020	0	30	1918	0
Aug 04 2020	0	50	2654	0
Aug 05 2020	0	33	2977	0
Aug 06 2020	0	39	2851	0
Aug 07 2020	0	27	2611	0
Aug 08 2020	0	32	2487	0
Aug 09 2020	0	34	2907	0
Aug 10 2020	0	39	2996	0
Aug 11 2020	0	33	2995	0
Aug 12 2020	0	42	2617	0
Aug 13 2020	0	44	2766	0
Aug 14 2020	0	34	2644	0
Aug 15 2020	0	34	2024	0
Aug 16 2020	0	32	2595	0
Aug 17 2020	0	37	3200	0
Aug 18 2020	0	46	2747	0
Aug 19 2020	0	41	2868	0
Aug 20 2020	0	41	2401	0
Aug 21 2020	0	39	2265	0
Aug 22 2020	0	46	1973	0
Aug 23 2020	0	34	2485	0
Aug 24 2020	0	42	2545	0
Aug 25 2020	0	45	2519	0
Aug 26 2020	0	54	2436	0
Aug 27 2020	0	45	2211	0
Aug 28 2020	0	47	2131	0
Aug 29 2020	0	32	1897	0
Aug 30 2020	0	42	2174	0
Aug 31 2020	0	33	1950	0
Sep 01 2020	0	35	2582	0
Sep 02 2020	0	35	2158	0
Sep 03 2020	0	32	1929	0
Sep 04 2020	0	29	1950	0
