Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	1	0	1	0
Mar 01 2020	18	0	17	0
Mar 02 2020	37	0	19	0
Mar 03 2020	71	0	34	0
Mar 04 2020	124	0	53	0
Mar 05 2020	205	0	81	0
Mar 06 2020	315	0	110	0
Mar 07 2020	342	0	27	0
Mar 08 2020	406	0	64	0
Mar 09 2020	500	0	94	0
Mar 10 2020	599	0	99	0
Mar 11 2020	772	1	174	0
Mar 12 2020	1019	3	250	0
Mar 13 2020	1356	1	338	0
Mar 14 2020	1532	3	179	0
Mar 15 2020	1741	5	214	0
Mar 16 2020	2109	6	387	0
Mar 17 2020	2503	11	422	0
Mar 18 2020	2893	10	534	0
Mar 19 2020	3606	-39	713	0
Mar 20 2020	4208	1	662	0
Mar 21 2020	4674	3	469	0
Mar 22 2020	5019	3	486	0
Mar 23 2020	6280	7	1328	0
Mar 24 2020	7382	7	1195	0
Mar 25 2020	8442	11	1199	0
Mar 26 2020	9607	15	1363	0
Mar 27 2020	10895	25	1518	0
Mar 28 2020	11408	35	844	0
Mar 29 2020	11883	40	683	0
Mar 30 2020	13411	41	1738	0
Mar 31 2020	14601	55	1681	0
Apr 01 2020	15672	82	1516	0
Apr 02 2020	16697	76	1478	0
Apr 03 2020	17905	111	1694	0
Apr 04 2020	18221	102	922	0
Apr 05 2020	18515	136	665	0
Apr 06 2020	20135	143	1934	0
Apr 07 2020	20981	145	1515	0
Apr 08 2020	21925	171	1598	0
Apr 09 2020	23559	201	2239	0
Apr 10 2020	25236	241	2336	0
Apr 11 2020	25574	214	1029	0
Apr 12 2020	25612	242	524	0
Apr 13 2020	25718	270	537	0
Apr 14 2020	26794	245	1560	0
Apr 15 2020	27717	255	1633	0
Apr 16 2020	28716	276	1674	0
Apr 17 2020	29399	324	1394	0
Apr 18 2020	29441	271	722	0
Apr 19 2020	29443	303	443	0
Apr 20 2020	30324	288	1276	0
Apr 21 2020	30895	268	1270	0
Apr 22 2020	31029	276	777	0
Apr 23 2020	31424	259	976	0
Apr 24 2020	31660	280	811	0
Apr 25 2020	31435	245	388	0
Apr 26 2020	31342	205	205	0
Apr 27 2020	31822	210	755	0
Apr 28 2020	31865	186	569	0
Apr 29 2020	31885	209	522	0
Apr 30 2020	31964	191	586	0
May 01 2020	31701	181	237	0
May 02 2020	31732	157	286	0
May 03 2020	31648	155	140	0
May 04 2020	32113	142	670	0
May 05 2020	32217	152	546	0
May 06 2020	32388	132	552	0
May 07 2020	31885	113	442	0
May 08 2020	31123	107	483	0
May 09 2020	29766	91	240	0
May 10 2020	28177	94	118	0
May 11 2020	27295	79	476	0
May 12 2020	26035	91	395	0
May 13 2020	25366	93	321	0
May 14 2020	25113	84	305	0
May 15 2020	22971	77	346	0
May 16 2020	21858	69	147	0
May 17 2020	20561	79	81	0
May 18 2020	19787	77	317	0
May 19 2020	18731	72	292	0
May 20 2020	17596	66	385	0
May 21 2020	16676	47	70	0
May 22 2020	15965	60	248	0
May 23 2020	15175	46	123	0
May 24 2020	13732	47	75	0
May 25 2020	13018	29	314	0
May 26 2020	12405	32	202	0
May 27 2020	12019	39	182	0
May 28 2020	11532	36	171	0
May 29 2020	11167	31	165	0
May 30 2020	10546	38	61	0
May 31 2020	10063	42	49	0
Jun 01 2020	9631	28	59	0
Jun 02 2020	9412	32	181	0
Jun 03 2020	9207	26	159	0
Jun 04 2020	9131	26	172	0
Jun 05 2020	9002	25	154	0
Jun 06 2020	8416	28	69	0
Jun 07 2020	7873	16	53	0
Jun 08 2020	7427	25	152	0
Jun 09 2020	7074	22	145	0
Jun 10 2020	6816	21	119	0
Jun 11 2020	6569	24	95	0
Jun 12 2020	6444	19	89	0
Jun 13 2020	6179	17	49	0
Jun 14 2020	5837	13	22	0
Jun 15 2020	5631	11	147	0
Jun 16 2020	5435	12	99	0
Jun 17 2020	5276	10	123	0
Jun 18 2020	5147	12	108	0
Jun 19 2020	5066	15	121	0
Jun 20 2020	4859	9	50	0
Jun 21 2020	4596	10	20	0
Jun 22 2020	4444	5	143	0
Jun 23 2020	4279	5	110	0
Jun 24 2020	4125	8	100	0
Jun 25 2020	4082	9	76	0
Jun 26 2020	4055	8	113	0
Jun 27 2020	3836	5	41	0
Jun 28 2020	3652	4	24	0
Jun 29 2020	3655	4	127	0
Jun 30 2020	3555	8	100	0
Jul 01 2020	3550	12	135	0
Jul 02 2020	3543	4	93	0
Jul 03 2020	3567	5	94	0
Jul 04 2020	3546	5	64	0
Jul 05 2020	3431	2	24	0
Jul 06 2020	3372	8	112	0
Jul 07 2020	3313	5	99	0
Jul 08 2020	3328	3	137	0
Jul 09 2020	3356	8	124	0
Jul 10 2020	3350	3	127	0
Jul 11 2020	3266	4	62	0
Jul 12 2020	3201	2	43	0
Jul 13 2020	3326	4	224	0
Jul 14 2020	3420	2	207	0
Jul 15 2020	3611	1	260	0
Jul 16 2020	3784	3	226	0
Jul 17 2020	3973	1	274	0
Jul 18 2020	3999	2	130	0
Jul 19 2020	3936	2	64	0
Jul 20 2020	4302	4	443	0
Jul 21 2020	4448	1	145	0
Jul 22 2020	4999	3	553	0
Jul 23 2020	5175	5	439	0
Jul 24 2020	5580	5	496	0
Jul 25 2020	5703	2	229	0
Jul 26 2020	5786	3	184	0
Jul 27 2020	6278	2	595	0
Jul 28 2020	6879	2	685	0
Jul 29 2020	7516	1	703	0
Jul 30 2020	8086	2	635	0
Jul 31 2020	8688	2	684	0
Aug 01 2020	8906	5	309	0
Aug 02 2020	8926	1	148	0
Aug 03 2020	9612	2	794	0
Aug 04 2020	10351	6	813	0
Aug 05 2020	11015	1	767	0
Aug 06 2020	11744	3	769	0
Aug 07 2020	12452	2	771	0
Aug 08 2020	12670	5	304	0
Aug 09 2020	12646	1	122	0
Aug 10 2020	13407	5	873	0
Aug 11 2020	13994	5	718	0
Aug 12 2020	14508	7	609	0
Aug 13 2020	15109	5	669	0
Aug 14 2020	15613	4	587	0
Aug 15 2020	15614	7	163	0
Aug 16 2020	15554	2	132	0
Aug 17 2020	16002	5	707	0
Aug 18 2020	16516	11	725	0
Aug 19 2020	16941	12	612	0
Aug 20 2020	17319	11	581	0
Aug 21 2020	17655	14	510	0
Aug 22 2020	17480	12	203	0
Aug 23 2020	17370	10	115	0
Aug 24 2020	17620	8	607	0
Aug 25 2020	17617	7	527	0
Aug 26 2020	17833	11	526	0
Aug 27 2020	17957	10	535	0
Aug 28 2020	18337	5	614	0
Aug 29 2020	17858	3	195	0
Aug 30 2020	17303	6	117	0
