Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	0	0	0	0
Mar 07 2020	0	0	0	0
Mar 08 2020	0	0	0	0
Mar 09 2020	0	0	0	0
Mar 10 2020	2	0	0	0
Mar 11 2020	2	0	0	0
Mar 12 2020	3	0	1	0
Mar 13 2020	10	0	7	0
Mar 14 2020	10	0	0	0
Mar 15 2020	10	0	0	0
Mar 16 2020	11	0	1	0
Mar 17 2020	12	0	1	0
Mar 18 2020	12	0	0	0
Mar 19 2020	15	0	3	0
Mar 20 2020	16	0	1	0
Mar 21 2020	19	0	3	0
Mar 22 2020	24	0	5	0
Mar 23 2020	27	0	3	0
Mar 24 2020	29	0	2	0
Mar 25 2020	32	0	3	0
Mar 26 2020	61	0	29	0
Mar 27 2020	61	0	0	0
Mar 28 2020	74	0	13	0
Mar 29 2020	80	0	7	0
Mar 30 2020	92	4	16	0
Mar 31 2020	99	3	10	0
Apr 01 2020	105	1	8	0
Apr 02 2020	112	1	8	0
Apr 03 2020	120	1	9	0
Apr 04 2020	126	1	7	0
Apr 05 2020	143	0	18	0
Apr 06 2020	168	1	26	0
Apr 07 2020	175	4	11	0
Apr 08 2020	190	1	16	0
Apr 09 2020	240	4	54	0
Apr 10 2020	243	1	4	0
Apr 11 2020	249	1	7	0
Apr 12 2020	269	5	25	0
Apr 13 2020	295	4	30	0
Apr 14 2020	314	1	24	0
Apr 15 2020	356	0	43	0
Apr 16 2020	392	1	44	0
Apr 17 2020	401	3	24	0
Apr 18 2020	424	0	28	0
Apr 19 2020	450	1	27	0
Apr 20 2020	493	1	44	0
Apr 21 2020	520	1	34	0
Apr 22 2020	520	4	11	0
Apr 23 2020	579	4	63	0
Apr 24 2020	606	4	31	0
Apr 25 2020	699	1	104	0
Apr 26 2020	735	3	59	0
Apr 27 2020	808	5	84	0
Apr 28 2020	850	4	64	0
Apr 29 2020	874	3	39	0
Apr 30 2020	919	5	57	0
May 01 2020	957	4	57	0
May 02 2020	1012	5	62	0
May 03 2020	1222	6	241	0
May 04 2020	1333	6	124	0
May 05 2020	1404	8	87	0
May 06 2020	1507	5	121	0
May 07 2020	1574	6	84	0
May 08 2020	1734	14	195	0
May 09 2020	1896	5	185	0
May 10 2020	2036	10	171	0
May 11 2020	2135	5	119	0
May 12 2020	2379	5	275	0
May 13 2020	2490	8	133	0
May 14 2020	2630	18	184	0
May 15 2020	2824	13	224	0
May 16 2020	2936	15	205	0
May 17 2020	3145	1	249	0
May 18 2020	3382	5	262	0
May 19 2020	3541	6	175	0
May 20 2020	3710	19	218	0
May 21 2020	4115	13	438	0
May 22 2020	4354	21	268	0
May 23 2020	4713	19	392	0
May 24 2020	5002	13	336	0
May 25 2020	5317	13	348	0
May 26 2020	5682	14	397	0
May 27 2020	6111	17	476	0
May 28 2020	6723	8	632	0
May 29 2020	7276	17	619	0
May 30 2020	7600	9	344	0
May 31 2020	8308	13	861	0
Jun 01 2020	8615	4	390	0
Jun 02 2020	8955	40	549	0
Jun 03 2020	9210	44	460	0
Jun 04 2020	9616	32	647	0
Jun 05 2020	10053	19	607	0
Jun 06 2020	10440	15	483	0
Jun 07 2020	10871	36	630	0
Jun 08 2020	10958	14	285	0
Jun 09 2020	11178	13	306	0
Jun 10 2020	11827	15	695	0
Jun 11 2020	12360	33	637	0
Jun 12 2020	13105	28	884	0
Jun 13 2020	13775	35	764	0
Jun 14 2020	14316	35	913	0
Jun 15 2020	14553	35	617	0
Jun 16 2020	14822	28	614	0
Jun 17 2020	15274	36	810	0
Jun 18 2020	15799	27	802	0
Jun 19 2020	16590	23	814	0
Jun 20 2020	16876	23	977	0
Jun 21 2020	17463	33	1036	0
Jun 22 2020	17927	44	876	0
Jun 23 2020	18567	62	1105	0
Jun 24 2020	18985	35	896	0
Jun 25 2020	19548	40	1098	0
Jun 26 2020	19972	49	1016	0
Jun 27 2020	20466	28	920	0
Jun 28 2020	21250	47	1253	0
Jun 29 2020	21681	58	848	0
Jun 30 2020	21795	76	601	0
Jul 01 2020	22409	68	1094	0
Jul 02 2020	22889	104	1008	0
Jul 03 2020	23503	93	1301	0
Jul 04 2020	24321	64	1290	0
Jul 05 2020	24991	77	1253	0
Jul 06 2020	25749	73	1226	0
Jul 07 2020	26644	55	1212	0
Jul 08 2020	27140	71	1036	0
Jul 09 2020	28032	62	1439	0
Jul 10 2020	28609	81	1129	0
Jul 11 2020	29412	85	1452	0
Jul 12 2020	30564	68	1635	0
Jul 13 2020	30972	69	987	0
Jul 14 2020	31506	78	1063	0
Jul 15 2020	32556	42	1617	0
Jul 16 2020	33311	58	1351	0
Jul 17 2020	34572	55	1938	0
Jul 18 2020	35529	86	1946	0
Jul 19 2020	37171	76	2036	0
Jul 20 2020	38203	59	1444	0
Jul 21 2020	39201	89	1409	0
Jul 22 2020	40080	72	1366	0
Jul 23 2020	41355	72	1778	0
Jul 24 2020	42058	105	1117	0
Jul 25 2020	42590	88	1204	0
Jul 26 2020	43996	82	1825	0
Jul 27 2020	44863	63	1148	0
Jul 28 2020	46221	85	1752	0
Jul 29 2020	46777	97	1146	0
Jul 30 2020	47332	117	1207	0
Jul 31 2020	48119	114	1700	0
Aug 01 2020	49287	110	1555	0
Aug 02 2020	50790	115	2004	0
Aug 03 2020	51844	118	1360	0
Aug 04 2020	53083	100	1693	0
Aug 05 2020	53596	122	1515	0
Aug 06 2020	54243	86	1780	0
Aug 07 2020	54483	106	1282	0
Aug 08 2020	55107	78	1468	0
Aug 09 2020	55423	83	1164	0
Aug 10 2020	55394	69	944	0
Aug 11 2020	55919	96	1636	0
Aug 12 2020	56618	64	1693	0
Aug 13 2020	57196	88	1743	0
Aug 14 2020	57618	76	1388	0
Aug 15 2020	58034	72	1491	0
Aug 16 2020	58230	85	1196	0
Aug 17 2020	58503	72	1198	0
Aug 18 2020	58316	86	879	0
Aug 19 2020	58896	64	1796	0
Aug 20 2020	59504	81	2031	0
Aug 21 2020	59277	96	1015	0
Aug 22 2020	59536	81	1370	0
Aug 23 2020	58681	101	992	0
Aug 24 2020	57805	89	722	0
Aug 25 2020	57058	92	999	0
Aug 26 2020	55970	114	851	0
Aug 27 2020	55461	82	1095	0
Aug 28 2020	54286	86	1035	0
Aug 29 2020	53101	72	1280	0
Aug 30 2020	52089	122	945	0
Aug 31 2020	50915	40	614	0
