Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	1	0	0	0
Feb 26 2020	1	0	0	0
Feb 27 2020	1	0	0	0
Feb 28 2020	1	0	0	0
Feb 29 2020	2	0	1	0
Mar 01 2020	2	0	0	0
Mar 02 2020	2	0	0	0
Mar 03 2020	2	0	0	0
Mar 04 2020	3	0	1	0
Mar 05 2020	8	0	5	0
Mar 06 2020	13	0	5	0
Mar 07 2020	19	0	6	0
Mar 08 2020	25	0	6	0
Mar 09 2020	25	0	0	0
Mar 10 2020	34	0	9	0
Mar 11 2020	52	0	18	0
Mar 12 2020	77	0	25	0
Mar 13 2020	150	0	74	1
Mar 14 2020	150	0	0	0
Mar 15 2020	198	0	49	1
Mar 16 2020	232	0	34	0
Mar 17 2020	344	1	113	0
Mar 18 2020	525	3	184	0
Mar 19 2020	634	3	112	0
Mar 20 2020	962	4	332	0
Mar 21 2020	1164	7	209	0
Mar 22 2020	1527	7	370	0
Mar 23 2020	1898	9	380	0
Mar 24 2020	2211	12	325	0
Mar 25 2020	2507	13	309	0
Mar 26 2020	2919	18	434	4
Mar 27 2020	3339	15	435	0
Mar 28 2020	3807	22	490	0
Mar 29 2020	4139	22	354	0
Mar 30 2020	4373	27	376	115
Mar 31 2020	5420	38	1092	7
Apr 01 2020	6548	41	1169	0
Apr 02 2020	7636	82	1170	0
Apr 03 2020	8753	39	1156	0
Apr 04 2020	9843	82	1172	0
Apr 05 2020	10700	41	898	0
Apr 06 2020	11556	78	934	0
Apr 07 2020	13295	122	1861	0
Apr 08 2020	15328	134	2167	0
Apr 09 2020	17116	134	1968	46
Apr 10 2020	18655	114	1653	0
Apr 11 2020	19762	72	1179	0
Apr 12 2020	20916	83	1237	0
Apr 13 2020	22056	105	1245	0
Apr 14 2020	9798	204	1842	13896
Apr 15 2020	12940	225	3367	0
Apr 16 2020	14835	190	2085	0
Apr 17 2020	17657	194	3016	0
Apr 18 2020	20494	220	3057	0
Apr 19 2020	14207	101	1943	8129
Apr 20 2020	16183	125	2101	0
Apr 21 2020	16177	154	2350	2202
Apr 22 2020	17707	165	2692	997
Apr 23 2020	19798	407	3757	1259
Apr 24 2020	21878	357	3522	1085
Apr 25 2020	26229	375	6236	1510
Apr 26 2020	28690	226	3683	996
Apr 27 2020	31086	272	3662	994
Apr 28 2020	35594	520	6434	1406
Apr 29 2020	40051	448	6498	1593
Apr 30 2020	43905	390	6052	1808
May 01 2020	48052	509	6767	2111
May 02 2020	49279	340	4474	2907
May 03 2020	51558	275	4614	2060
May 04 2020	55566	318	7159	2833
May 05 2020	59060	578	6485	2413
May 06 2020	67198	667	11963	3158
May 07 2020	71738	600	9132	3992
May 08 2020	77232	804	10257	3959
May 09 2020	84399	664	10226	2395
May 10 2020	87325	467	6675	3282
May 11 2020	90869	502	6480	2434
May 12 2020	93367	779	8506	5229
May 13 2020	98388	754	11620	5845
May 14 2020	110333	835	13838	1058
May 15 2020	119391	824	15390	5508
May 16 2020	128860	816	15002	4717
May 17 2020	131895	485	7983	4463
May 18 2020	139171	735	14368	6357
May 19 2020	148295	1130	16609	6355
May 20 2020	159057	911	21592	9919
May 21 2020	166225	1188	17662	9306
May 22 2020	175841	966	20081	9499
May 23 2020	184297	965	16600	7179
May 24 2020	192558	703	16311	7347
May 25 2020	200942	806	13124	3934
May 26 2020	210918	1027	15778	4775
May 27 2020	224116	1148	22425	8079
May 28 2020	220719	1067	24286	26616
May 29 2020	249230	1180	29691	0
May 30 2020	266382	890	30270	12228
May 31 2020	281216	480	16501	1187
Jun 01 2020	290583	732	14638	4539
Jun 02 2020	287127	1232	27415	29639
Jun 03 2020	287739	1269	27465	25584
Jun 04 2020	309422	1492	32068	8893
Jun 05 2020	325020	1008	30304	13698
Jun 06 2020	338371	910	27735	13474
Jun 07 2020	356308	542	18479	0
Jun 08 2020	350934	813	19030	23591
Jun 09 2020	381120	1185	31371	0
Jun 10 2020	358238	1300	33285	54867
Jun 11 2020	371169	1261	30635	16443
Jun 12 2020	394715	843	24389	0
Jun 13 2020	383822	890	21011	31014
Jun 14 2020	390473	598	17181	9932
Jun 15 2020	397444	729	23806	16106
Jun 16 2020	422353	1338	37487	11240
Jun 17 2020	413942	1209	31651	38853
Jun 18 2020	435917	1204	23179	0
Jun 19 2020	473309	1221	55518	16905
Jun 20 2020	481191	968	31747	22897
Jun 21 2020	461384	601	16945	36151
Jun 22 2020	485130	748	24494	0
Jun 23 2020	489896	1364	40355	34225
Jun 24 2020	493339	1103	41223	36677
Jun 25 2020	533060	1180	40901	0
Jun 26 2020	531409	1055	47170	47766
Jun 27 2020	548067	994	36088	18436
Jun 28 2020	558991	555	29477	17998
Jun 29 2020	559952	727	25375	23687
Jun 30 2020	564211	1271	38209	32679
Jul 01 2020	571349	1057	45135	36940
Jul 02 2020	528766	1277	48252	89558
Jul 03 2020	539864	1264	42223	29861
Jul 04 2020	541183	1111	35231	32801
Jul 05 2020	567004	535	26356	0
Jul 06 2020	587954	656	21606	0
Jul 07 2020	541594	1312	48856	93904
Jul 08 2020	536345	1187	41773	45835
Jul 09 2020	543640	1199	43147	34653
Jul 10 2020	554626	1270	45488	33232
Jul 11 2020	562334	968	36678	28002
Jul 12 2020	587180	659	25505	0
Jul 13 2020	608315	770	21905	0
Jul 14 2020	650460	1341	43486	0
Jul 15 2020	646944	1261	39927	42182
Jul 16 2020	578164	1299	44074	111555
Jul 17 2020	611203	1110	34149	0
Jul 18 2020	637015	885	26697	0
Jul 19 2020	656620	716	24788	4467
Jul 20 2020	639682	718	21870	38090
Jul 21 2020	626530	1346	45138	56944
Jul 22 2020	624567	1293	65703	66373
Jul 23 2020	643437	1317	58404	38217
Jul 24 2020	678721	1178	58574	22112
Jul 25 2020	700836	1111	48503	25277
Jul 26 2020	707032	556	23598	16846
Jul 27 2020	696619	627	23710	33496
Jul 28 2020	683003	955	41399	54060
Jul 29 2020	686651	1554	71265	66063
Jul 30 2020	707269	1189	58596	36789
Jul 31 2020	698738	1191	52802	60142
Aug 01 2020	740505	1048	42815	0
Aug 02 2020	764931	514	24940	0
Aug 03 2020	754092	572	18089	28356
Aug 04 2020	750795	1394	56726	58629
Aug 05 2020	754438	1322	54990	50025
Aug 06 2020	781212	1226	55107	27107
Aug 07 2020	809135	1058	49779	20798
Aug 08 2020	828879	841	46564	25979
Aug 09 2020	826381	593	22337	24242
Aug 10 2020	802178	721	22010	45492
Aug 11 2020	776608	1242	55230	79558
Aug 12 2020	767290	1164	58405	66559
Aug 13 2020	778158	1301	59478	47309
Aug 14 2020	798951	1007	49548	27748
Aug 15 2020	817348	726	39155	20032
Aug 16 2020	810984	582	22489	28271
