Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	7	0	0	0
Feb 16 2020	7	0	0	0
Feb 17 2020	7	0	0	0
Feb 18 2020	7	0	0	0
Feb 19 2020	7	0	0	0
Feb 20 2020	6	0	0	1
Feb 21 2020	6	0	1	1
Feb 22 2020	6	0	0	0
Feb 23 2020	7	0	1	0
Feb 24 2020	8	0	1	0
Feb 25 2020	8	0	0	0
Feb 26 2020	9	0	1	0
Feb 27 2020	11	0	2	0
Feb 28 2020	12	0	1	0
Feb 29 2020	16	0	5	1
Mar 01 2020	20	0	4	0
Mar 02 2020	20	0	3	3
Mar 03 2020	23	0	3	0
Mar 04 2020	27	0	4	0
Mar 05 2020	29	0	3	1
Mar 06 2020	46	0	17	0
Mar 07 2020	52	0	6	0
Mar 08 2020	58	0	6	0
Mar 09 2020	68	1	11	0
Mar 10 2020	86	0	18	0
Mar 11 2020	100	0	15	1
Mar 12 2020	130	0	32	2
Mar 13 2020	186	0	56	0
Mar 14 2020	240	0	54	0
Mar 15 2020	329	0	89	0
Mar 16 2020	429	0	100	0
Mar 17 2020	582	3	157	1
Mar 18 2020	708	3	129	0
Mar 19 2020	853	1	146	0
Mar 20 2020	1063	2	214	2
Mar 21 2020	1303	1	241	0
Mar 22 2020	1441	4	142	0
Mar 23 2020	1964	0	621	98
Mar 24 2020	2662	3	701	0
Mar 25 2020	3205	1	617	73
Mar 26 2020	3793	3	634	43
Mar 27 2020	4379	2	714	126
Mar 28 2020	5224	11	898	42
Mar 29 2020	5706	6	665	177
Mar 30 2020	6313	1	1128	520
Mar 31 2020	7314	14	1164	149
Apr 01 2020	7932	7	1119	494
Apr 02 2020	9232	9	1552	243
Apr 03 2020	10051	66	1092	207
Apr 04 2020	11130	49	1537	409
Apr 05 2020	12339	44	1600	347
Apr 06 2020	12771	49	1155	674
Apr 07 2020	13546	43	1230	412
Apr 08 2020	14511	56	1541	520
Apr 09 2020	15020	55	1327	763
Apr 10 2020	15627	74	1383	702
Apr 11 2020	16322	60	1170	415
Apr 12 2020	16559	84	1065	744
Apr 13 2020	17208	64	1297	584
Apr 14 2020	18049	63	1383	479
Apr 15 2020	18498	123	1316	744
Apr 16 2020	19368	107	1727	750
Apr 17 2020	20193	182	1821	814
Apr 18 2020	20870	115	1456	664
Apr 19 2020	21749	158	1673	636
Apr 20 2020	22666	113	1773	743
Apr 21 2020	23547	110	1593	602
Apr 22 2020	24373	144	1768	798
Apr 23 2020	25378	140	1920	775
Apr 24 2020	26276	172	1778	708
Apr 25 2020	26630	156	1466	956
Apr 26 2020	27113	162	1541	896
Apr 27 2020	27677	94	1605	947
Apr 28 2020	28135	146	1526	922
Apr 29 2020	28417	152	1571	1137
Apr 30 2020	28823	137	1639	1096
May 01 2020	29134	186	1825	1328
May 02 2020	29531	206	1653	1050
May 03 2020	31010	174	2760	1107
May 04 2020	31084	115	1298	1109
May 05 2020	31210	172	1274	976
May 06 2020	31294	188	1450	1178
May 07 2020	31730	189	1426	801
May 08 2020	31633	175	1512	1434
May 09 2020	31897	161	1268	843
May 10 2020	32073	123	1146	847
May 11 2020	32130	178	1133	898
May 12 2020	32136	122	1176	1048
May 13 2020	31959	176	1121	1122
May 14 2020	32022	133	1123	927
May 15 2020	32262	168	1212	804
May 16 2020	32499	90	1251	924
May 17 2020	32789	117	1138	731
May 18 2020	33078	103	1070	678
May 19 2020	33236	60	1040	822
May 20 2020	33471	69	1030	726
May 21 2020	33596	118	1182	939
May 22 2020	33751	122	1156	879
May 23 2020	34084	97	1141	711
May 24 2020	34379	103	1078	680
May 25 2020	34669	69	1012	653
May 26 2020	34783	121	936	701
May 27 2020	34736	94	872	825
May 28 2020	34927	126	993	676
May 29 2020	35043	112	906	678
May 30 2020	35128	102	772	585
May 31 2020	35015	94	757	776
Jun 01 2020	34704	222	758	847
Jun 02 2020	34747	31	705	631
Jun 03 2020	34662	69	675	691
Jun 04 2020	34509	103	641	691
Jun 05 2020	34150	139	609	829
Jun 06 2020	33760	66	722	1046
Jun 07 2020	33716	67	642	619
Jun 08 2020	33468	26	545	767
Jun 09 2020	33270	35	409	572
