Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	1	0	0	0
Mar 07 2020	1	0	0	0
Mar 08 2020	1	0	0	0
Mar 09 2020	3	0	2	0
Mar 10 2020	3	0	0	0
Mar 11 2020	9	0	6	0
Mar 12 2020	9	0	0	0
Mar 13 2020	16	0	7	0
Mar 14 2020	24	0	8	0
Mar 15 2020	34	0	10	0
Mar 16 2020	53	0	20	0
Mar 17 2020	64	0	11	0
Mar 18 2020	92	0	28	0
Mar 19 2020	107	0	15	0
Mar 20 2020	144	0	37	0
Mar 21 2020	195	0	51	0
Mar 22 2020	226	0	35	0
Mar 23 2020	271	1	46	0
Mar 24 2020	369	0	101	0
Mar 25 2020	458	1	92	0
Mar 26 2020	477	2	21	0
Mar 27 2020	523	0	48	0
Mar 28 2020	592	0	69	0
Mar 29 2020	682	4	94	0
Mar 30 2020	769	4	96	0
Mar 31 2020	859	2	108	0
Apr 01 2020	1009	1	159	0
Apr 02 2020	1087	2	96	0
Apr 03 2020	1187	6	106	0
Apr 04 2020	1289	7	139	0
Apr 05 2020	1362	3	79	0
Apr 06 2020	1445	11	94	0
Apr 07 2020	1630	4	201	0
Apr 08 2020	1876	5	274	0
Apr 09 2020	1980	14	169	0
Apr 10 2020	2196	11	250	0
Apr 11 2020	2395	20	236	0
Apr 12 2020	2397	9	67	0
Apr 13 2020	2421	3	76	0
Apr 14 2020	2498	15	127	0
Apr 15 2020	2522	4	126	0
Apr 16 2020	2539	13	128	0
Apr 17 2020	2652	9	206	0
Apr 18 2020	2764	13	182	0
Apr 19 2020	2902	13	171	0
Apr 20 2020	2984	10	185	0
Apr 21 2020	3149	7	172	0
Apr 22 2020	3280	10	207	0
Apr 23 2020	3419	9	205	0
Apr 24 2020	3653	10	320	0
Apr 25 2020	3842	8	261	0
Apr 26 2020	4002	11	237	0
Apr 27 2020	4134	9	218	0
Apr 28 2020	4412	16	352	0
Apr 29 2020	4518	9	258	0
Apr 30 2020	4775	15	300	0
May 01 2020	5141	21	499	0
May 02 2020	5295	10	279	0
May 03 2020	5606	16	383	0
May 04 2020	5808	18	305	0
May 05 2020	6222	20	640	0
May 06 2020	6414	19	346	0
May 07 2020	6749	10	497	0
May 08 2020	7199	21	595	0
May 09 2020	7481	17	444	0
May 10 2020	7895	18	568	0
May 11 2020	8309	16	550	0
May 12 2020	8808	14	659	0
May 13 2020	9288	16	658	0
May 14 2020	9727	16	680	0
May 15 2020	10210	21	606	0
May 16 2020	10790	16	723	0
May 17 2020	11249	12	635	0
May 18 2020	11800	18	721	0
May 19 2020	12272	21	640	0
May 20 2020	12801	17	752	0
May 21 2020	13247	22	643	0
May 22 2020	13874	30	801	0
May 23 2020	14754	23	1046	0
May 24 2020	15432	22	998	0
May 25 2020	15966	23	806	0
May 26 2020	16716	26	1022	0
May 27 2020	17190	27	1101	0
May 28 2020	17879	19	1262	0
May 29 2020	18922	31	1322	0
May 30 2020	20225	37	1548	0
May 31 2020	19901	49	1147	0
Jun 01 2020	19863	30	1110	0
Jun 02 2020	19682	40	1340	0
Jun 03 2020	20021	36	1521	0
Jun 04 2020	21112	42	1766	0
Jun 05 2020	21852	58	1515	0
Jun 06 2020	22440	60	1392	0
Jun 07 2020	22655	54	1209	0
Jun 08 2020	22984	49	1483	0
Jun 09 2020	24172	64	1359	0
Jun 10 2020	24916	61	1604	0
Jun 11 2020	25934	55	1530	0
Jun 12 2020	26598	57	1646	0
Jun 13 2020	27728	47	1888	0
Jun 14 2020	29450	75	2193	0
Jun 15 2020	31385	59	2124	0
Jun 16 2020	32764	75	1868	0
Jun 17 2020	33856	63	2115	0
Jun 18 2020	35587	86	3171	0
Jun 19 2020	37243	95	3059	0
Jun 20 2020	38008	81	2357	0
Jun 21 2020	39055	111	3019	0
Jun 22 2020	39905	73	2531	0
Jun 23 2020	40709	94	2389	0
Jun 24 2020	42951	87	3541	0
Jun 25 2020	44596	163	3486	0
Jun 26 2020	46694	157	3843	0
Jun 27 2020	49379	128	4149	0
Jun 28 2020	50383	167	3178	0
Jun 29 2020	51866	117	3274	0
Jun 30 2020	52439	111	2803	0
Jul 01 2020	55132	136	4163	0
Jul 02 2020	57938	171	4101	0
Jul 03 2020	60394	136	3395	0
Jul 04 2020	62884	165	3884	0
Jul 05 2020	65165	122	3721	0
Jul 06 2020	65701	146	3171	0
Jul 07 2020	68274	149	4213	0
Jul 08 2020	70477	168	4144	0
Jul 09 2020	72987	187	5335	0
Jul 10 2020	77051	211	6803	0
Jul 11 2020	79057	194	4586	0
Jul 12 2020	81687	188	5083	0
Jul 13 2020	83013	148	3832	0
Jul 14 2020	85467	170	5621	0
Jul 15 2020	87619	189	5271	0
Jul 16 2020	91013	215	8037	0
Jul 17 2020	95215	259	8934	0
Jul 18 2020	98348	228	8560	0
Jul 19 2020	98749	220	6578	0
Jul 20 2020	101272	193	6727	0
Jul 21 2020	105032	237	7033	0
Jul 22 2020	109442	207	7390	0
Jul 23 2020	110734	315	7945	0
Jul 24 2020	111702	287	7168	0
Jul 25 2020	112859	294	7254	0
Jul 26 2020	115414	256	8181	0
Jul 27 2020	117163	252	8125	0
Jul 28 2020	121621	297	10284	0
Jul 29 2020	123824	380	8670	0
Jul 30 2020	127515	356	9965	0
Jul 31 2020	131016	295	9488	0
Aug 01 2020	135143	225	10673	0
Aug 02 2020	139762	320	11470	0
Aug 03 2020	143106	367	10199	0
Aug 04 2020	143406	298	7129	0
Aug 05 2020	147773	309	10735	0
Aug 06 2020	153416	315	11996	0
Aug 07 2020	156451	311	9486	0
Aug 08 2020	159739	290	9674	0
Aug 09 2020	161951	302	10611	0
Aug 10 2020	162984	312	10142	0
Aug 11 2020	166551	321	12830	0
Aug 12 2020	168897	362	12066	0
Aug 13 2020	169166	308	11286	0
Aug 14 2020	169323	347	11306	0
Aug 15 2020	167459	318	11578	0
Aug 16 2020	165799	287	11643	0
Aug 17 2020	159763	275	8328	0
Aug 18 2020	161180	247	12462	0
Aug 19 2020	159901	360	13056	0
Aug 20 2020	158412	204	11541	0
Aug 21 2020	156630	385	8419	0
Aug 22 2020	156343	400	10965	0
Aug 23 2020	149801	348	8044	0
Aug 24 2020	149913	296	10549	0
Aug 25 2020	148769	277	10432	0
Aug 26 2020	146965	295	10142	0
Aug 27 2020	145761	284	9752	0
