Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	1	0	0	0
Feb 16 2020	1	0	0	0
Feb 17 2020	1	0	0	0
Feb 18 2020	1	0	0	0
Feb 19 2020	1	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	1	0	1	0
Mar 02 2020	1	0	0	0
Mar 03 2020	1	0	0	0
Mar 04 2020	1	0	0	0
Mar 05 2020	2	0	1	0
Mar 06 2020	14	0	12	0
Mar 07 2020	47	0	33	0
Mar 08 2020	53	1	7	0
Mar 09 2020	57	0	4	0
Mar 10 2020	32	0	0	0
Mar 11 2020	39	0	8	0
Mar 12 2020	51	1	13	0
Mar 13 2020	64	0	13	0
Mar 14 2020	81	0	17	0
Mar 15 2020	92	0	16	0
Mar 16 2020	130	2	40	0
Mar 17 2020	164	2	30	0
Mar 18 2020	176	0	14	0
Mar 19 2020	207	1	46	0
Mar 20 2020	235	1	29	0
Mar 21 2020	242	2	9	0
Mar 22 2020	257	4	33	0
Mar 23 2020	279	5	39	0
Mar 24 2020	302	1	36	0
Mar 25 2020	340	1	54	0
Mar 26 2020	369	3	39	0
Mar 27 2020	390	6	41	0
Mar 28 2020	419	6	40	0
Mar 29 2020	437	4	33	0
Mar 30 2020	465	1	47	0
Mar 31 2020	507	5	54	0
Apr 01 2020	548	6	69	0
Apr 02 2020	606	6	86	0
Apr 03 2020	703	8	120	0
Apr 04 2020	758	5	85	0
Apr 05 2020	848	7	103	0
Apr 06 2020	978	7	149	0
Apr 07 2020	1080	9	128	0
Apr 08 2020	1152	9	110	0
Apr 09 2020	1233	15	139	0
Apr 10 2020	1275	17	95	0
Apr 11 2020	1367	11	145	0
Apr 12 2020	1317	13	126	0
Apr 13 2020	1437	5	125	0
Apr 14 2020	1583	14	160	0
Apr 15 2020	1733	5	155	0
Apr 16 2020	1881	13	168	0
Apr 17 2020	1993	9	171	0
Apr 18 2020	2107	19	188	0
Apr 19 2020	2173	15	112	0
Apr 20 2020	2262	11	189	0
Apr 21 2020	2356	14	157	0
Apr 22 2020	2448	12	169	0
Apr 23 2020	2600	11	232	0
Apr 24 2020	2723	7	201	0
Apr 25 2020	2898	13	227	0
Apr 26 2020	3041	10	215	0
Apr 27 2020	3209	20	248	0
Apr 28 2020	3379	22	260	0
Apr 29 2020	3553	21	226	0
Apr 30 2020	3764	12	269	0
May 01 2020	4029	14	358	0
May 02 2020	4256	9	298	0
May 03 2020	4474	14	272	0
May 04 2020	4745	7	348	0
May 05 2020	5019	16	388	0
May 06 2020	5304	17	387	0
May 07 2020	5612	13	393	0
May 08 2020	6028	21	495	0
May 09 2020	6448	11	488	0
May 10 2020	6800	11	436	0
May 11 2020	7041	8	346	0
May 12 2020	7223	11	347	0
May 13 2020	7389	12	338	0
May 14 2020	7632	15	398	0
May 15 2020	7837	21	399	0
May 16 2020	8157	20	491	0
May 17 2020	8427	18	510	0
May 18 2020	8679	15	535	0
May 19 2020	9083	14	720	0
May 20 2020	9555	21	745	0
May 21 2020	10090	16	774	0
May 22 2020	10705	11	783	0
May 23 2020	11150	28	727	0
May 24 2020	11694	29	752	0
May 25 2020	12284	19	702	0
May 26 2020	12932	14	789	0
May 27 2020	13645	19	910	0
May 28 2020	14589	29	1127	0
May 29 2020	15692	34	1289	0
May 30 2020	16843	34	1367	0
May 31 2020	17989	46	1536	0
Jun 01 2020	18932	46	1399	0
Jun 02 2020	19657	47	1152	0
Jun 03 2020	20177	36	1079	0
Jun 04 2020	20885	38	1152	0
Jun 05 2020	21791	40	1348	0
Jun 06 2020	22876	32	1497	0
Jun 07 2020	23881	39	1467	0
Jun 08 2020	24798	34	1365	0
Jun 09 2020	25737	35	1385	0
Jun 10 2020	26653	36	1455	0
Jun 11 2020	27658	35	1442	0
Jun 12 2020	28773	45	1577	0
Jun 13 2020	29967	62	1677	0
Jun 14 2020	31092	91	1618	0
Jun 15 2020	32288	97	1691	0
Jun 16 2020	33360	94	1567	0
Jun 17 2020	34228	84	1363	0
Jun 18 2020	34971	88	1218	0
Jun 19 2020	36266	79	1774	0
Jun 20 2020	37325	89	1547	0
Jun 21 2020	38304	87	1475	0
Jun 22 2020	39398	85	1576	0
Jun 23 2020	40241	87	1332	0
Jun 24 2020	41176	85	1420	0
Jun 25 2020	42259	83	1569	0
Jun 26 2020	43398	87	1625	0
Jun 27 2020	44075	88	1168	0
Jun 28 2020	44860	81	1265	0
Jun 29 2020	45931	83	1566	0
Jun 30 2020	46898	81	1557	0
Jul 01 2020	47899	81	1503	0
Jul 02 2020	48891	86	1485	0
Jul 03 2020	49820	81	1412	0
Jul 04 2020	50652	79	1324	0
Jul 05 2020	51184	63	1218	0
Jul 06 2020	51562	79	969	0
Jul 07 2020	52072	67	1057	0
Jul 08 2020	52499	75	1025	0
Jul 09 2020	52884	53	950	0
Jul 10 2020	53259	85	981	0
Jul 11 2020	53513	67	923	0
Jul 12 2020	53793	89	912	0
Jul 13 2020	54091	77	931	0
Jul 14 2020	54378	73	929	0
Jul 15 2020	54641	59	913	0
Jul 16 2020	54960	53	928	0
Jul 17 2020	54984	68	703	0
Jul 18 2020	55053	63	698	0
Jul 19 2020	55093	51	603	0
Jul 20 2020	55126	50	627	0
Jul 21 2020	55206	47	676	0
Jul 22 2020	55230	41	667	0
Jul 23 2020	54867	40	668	0
Jul 24 2020	54584	38	659	0
Jul 25 2020	54122	40	511	0
Jul 26 2020	53625	48	479	0
Jul 27 2020	52992	46	420	0
Jul 28 2020	52297	39	465	0
Jul 29 2020	51603	37	409	0
Jul 30 2020	50747	46	401	0
Jul 31 2020	49635	31	321	0
Aug 01 2020	48345	29	238	0
Aug 02 2020	47163	31	167	0
Aug 03 2020	45686	23	157	0
Aug 04 2020	44271	24	112	0
Aug 05 2020	42763	18	123	0
Aug 06 2020	41157	21	131	0
Aug 07 2020	39623	20	141	0
Aug 08 2020	38650	21	167	0
Aug 09 2020	37805	17	178	0
Aug 10 2020	36852	26	174	0
Aug 11 2020	35887	24	168	0
Aug 12 2020	34977	26	129	0
Aug 13 2020	34111	22	145	0
Aug 14 2020	33238	17	112	0
Aug 15 2020	32360	17	116	0
Aug 16 2020	31572	19	139	0
Aug 17 2020	30766	13	115	0
Aug 18 2020	30007	11	163	0
Aug 19 2020	29164	13	161	0
Aug 20 2020	28351	15	111	0
Aug 21 2020	27599	19	123	0
Aug 22 2020	26876	12	89	0
Aug 23 2020	26151	19	103	0
Aug 24 2020	25381	18	138	0
Aug 25 2020	24604	18	141	0
Aug 26 2020	23795	19	206	0
Aug 27 2020	23108	25	237	0
Aug 28 2020	22504	20	223	0
Aug 29 2020	21819	14	212	0
Aug 30 2020	21208	23	230	0
