Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	0	0	0	0
Mar 07 2020	0	0	0	0
Mar 08 2020	0	0	0	0
Mar 09 2020	0	0	0	0
Mar 10 2020	0	0	0	0
Mar 11 2020	0	0	0	0
Mar 12 2020	0	0	0	0
Mar 13 2020	1	0	0	0
Mar 14 2020	1	0	0	0
Mar 15 2020	4	0	3	0
Mar 16 2020	5	0	1	0
Mar 17 2020	6	0	1	0
Mar 18 2020	6	0	0	0
Mar 19 2020	7	0	1	0
Mar 20 2020	9	0	2	0
Mar 21 2020	9	0	0	0
Mar 22 2020	11	0	2	0
Mar 23 2020	11	0	0	0
Mar 24 2020	12	0	1	0
Mar 25 2020	12	0	0	0
Mar 26 2020	12	0	0	0
Mar 27 2020	16	0	4	0
Mar 28 2020	15	0	0	0
Mar 29 2020	20	0	5	0
Mar 30 2020	19	0	2	0
Mar 31 2020	24	0	3	0
Apr 01 2020	27	0	3	0
Apr 02 2020	26	0	0	0
Apr 03 2020	32	0	6	0
Apr 04 2020	34	0	3	0
Apr 05 2020	37	0	5	0
Apr 06 2020	38	0	1	0
Apr 07 2020	46	0	8	0
Apr 08 2020	49	0	3	0
Apr 09 2020	50	0	1	0
Apr 10 2020	58	1	9	0
Apr 11 2020	56	0	4	0
Apr 12 2020	58	0	2	0
Apr 13 2020	57	0	3	0
Apr 14 2020	65	0	8	0
Apr 15 2020	67	0	3	0
Apr 16 2020	74	0	7	0
Apr 17 2020	78	0	4	0
Apr 18 2020	86	0	9	0
Apr 19 2020	89	0	3	0
Apr 20 2020	92	0	3	0
Apr 21 2020	95	0	3	0
Apr 22 2020	92	0	2	0
Apr 23 2020	92	0	0	0
Apr 24 2020	89	0	1	0
Apr 25 2020	90	0	5	0
Apr 26 2020	79	0	1	0
Apr 27 2020	71	0	1	0
Apr 28 2020	73	0	2	0
Apr 29 2020	69	0	4	0
Apr 30 2020	69	0	1	0
May 01 2020	64	0	2	0
May 02 2020	61	0	0	0
May 03 2020	57	0	2	0
May 04 2020	62	0	5	0
May 05 2020	50	1	5	0
May 06 2020	65	0	17	0
May 07 2020	94	0	29	0
May 08 2020	95	0	3	0
May 09 2020	108	1	16	0
May 10 2020	135	0	29	0
May 11 2020	140	0	11	0
May 12 2020	150	0	11	0
May 13 2020	150	0	2	0
May 14 2020	159	0	9	0
May 15 2020	170	0	15	0
May 16 2020	188	0	19	0
May 17 2020	199	0	11	0
May 18 2020	231	0	35	0
May 19 2020	240	0	13	0
May 20 2020	262	0	24	0
May 21 2020	271	0	10	0
May 22 2020	300	0	34	0
May 23 2020	338	0	61	0
May 24 2020	425	0	88	0
May 25 2020	491	0	73	0
May 26 2020	528	1	46	0
May 27 2020	544	0	30	0
May 28 2020	633	1	100	0
May 29 2020	763	1	137	0
May 30 2020	847	0	95	0
May 31 2020	952	3	109	0
Jun 01 2020	1028	1	85	0
Jun 02 2020	1099	2	87	0
Jun 03 2020	1223	3	142	0
Jun 04 2020	1368	1	150	0
Jun 05 2020	1524	1	169	0
Jun 06 2020	1633	1	129	0
Jun 07 2020	1649	7	86	0
Jun 08 2020	1768	0	136	0
Jun 09 2020	1925	5	180	0
Jun 10 2020	2070	3	170	0
Jun 11 2020	2196	5	164	0
Jun 12 2020	2417	7	245	0
Jun 13 2020	2616	8	251	0
Jun 14 2020	2743	2	179	0
Jun 15 2020	2841	3	176	0
Jun 16 2020	2831	1	109	0
Jun 17 2020	2847	2	129	0
Jun 18 2020	2955	2	195	0
Jun 19 2020	2969	7	116	0
Jun 20 2020	3275	0	399	0
Jun 21 2020	3245	2	63	0
Jun 22 2020	3291	1	131	0
Jun 23 2020	3361	0	185	0
Jun 24 2020	3470	3	186	0
Jun 25 2020	3550	3	141	0
Jun 26 2020	3648	8	250	0
Jun 27 2020	3461	5	145	0
Jun 28 2020	3459	4	119	0
Jun 29 2020	3313	5	157	0
Jun 30 2020	3313	0	0	0
Jul 01 2020	3313	0	0	0
Jul 02 2020	3313	0	0	0
Jul 03 2020	3313	0	0	0
Jul 04 2020	3313	0	0	0
Jul 05 2020	3313	0	0	0
Jul 06 2020	3313	0	0	0
Jul 07 2020	3313	0	0	0
Jul 08 2020	4224	17	928	0
Jul 09 2020	4423	0	199	0
Jul 10 2020	4566	4	147	0
Jul 11 2020	4848	0	282	0
Jul 12 2020	5003	3	158	0
Jul 13 2020	5208	1	206	0
Jul 14 2020	5400	11	203	0
Jul 15 2020	5605	7	212	0
Jul 16 2020	5897	2	294	0
Jul 17 2020	6223	2	328	0
Jul 18 2020	6554	13	344	0
Jul 19 2020	6906	4	356	0
Jul 20 2020	7607	3	704	0
Jul 21 2020	5444	10	865	0
Jul 22 2020	5830	8	452	0
Jul 23 2020	6091	9	409	0
Jul 24 2020	6708	3	760	0
Jul 25 2020	7073	9	555	0
Jul 26 2020	7529	14	720	0
Jul 27 2020	7933	5	579	0
Jul 28 2020	8435	11	653	0
Jul 29 2020	8872	14	610	0
Jul 30 2020	9589	10	805	0
Jul 31 2020	10306	11	915	0
Aug 01 2020	10522	8	469	0
Aug 02 2020	10795	28	707	0
Aug 03 2020	11022	26	583	0
Aug 04 2020	11294	7	588	0
Aug 05 2020	11382	13	459	0
Aug 06 2020	11508	9	564	0
Aug 07 2020	11657	15	552	0
Aug 08 2020	12156	10	801	0
Aug 09 2020	12205	17	565	0
Aug 10 2020	12760	13	773	0
Aug 11 2020	13039	20	584	0
Aug 12 2020	13621	23	943	0
Aug 13 2020	14297	16	1086	0
Aug 14 2020	15090	13	1038	0
Aug 15 2020	16348	17	1652	0
Aug 16 2020	16989	19	982	0
Aug 17 2020	18268	16	1460	0
Aug 18 2020	19212	28	1386	0
Aug 19 2020	20150	28	1336	0
Aug 20 2020	21680	20	1778	0
Aug 21 2020	23115	17	1829	0
Aug 22 2020	23891	25	1368	0
Aug 23 2020	24998	16	1638	0
Aug 24 2020	26189	14	1472	0
Aug 25 2020	27183	17	1545	0
Aug 26 2020	28185	16	1533	0
Aug 27 2020	28833	20	1186	0
Aug 28 2020	29967	13	1733	0
Aug 29 2020	30768	12	1514	0
Aug 30 2020	31947	23	1468	0
Aug 31 2020	32328	16	1009	0
Sep 01 2020	32989	19	1173	0
Sep 02 2020	33660	18	1105	0
Sep 03 2020	34074	10	804	0
Sep 04 2020	35024	24	1303	0
