Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	13	0	0	0
Feb 16 2020	13	0	0	0
Feb 17 2020	9	0	0	4
Feb 18 2020	7	0	0	2
Feb 19 2020	7	0	0	0
Feb 20 2020	3	0	0	4
Feb 21 2020	2	0	0	1
Feb 22 2020	2	0	0	0
Feb 23 2020	2	0	0	0
Feb 24 2020	2	0	0	0
Feb 25 2020	3	0	2	1
Feb 26 2020	11	0	8	0
Feb 27 2020	32	0	22	1
Feb 28 2020	58	0	26	0
Feb 29 2020	63	0	5	0
Mar 01 2020	114	0	51	0
Mar 02 2020	149	0	35	0
Mar 03 2020	187	0	38	0
Mar 04 2020	246	0	59	0
Mar 05 2020	528	0	283	1
Mar 06 2020	652	0	125	1
Mar 07 2020	782	0	130	0
Mar 08 2020	1022	0	240	0
Mar 09 2020	1204	2	184	0
Mar 10 2020	1545	0	341	0
Mar 11 2020	1938	1	401	7
Mar 12 2020	2714	3	779	0
Mar 13 2020	3621	2	930	21
Mar 14 2020	4544	1	924	0
Mar 15 2020	5754	4	1214	0
Mar 16 2020	7188	4	1459	21
Mar 17 2020	9274	9	2095	0
Mar 18 2020	12194	2	2960	38
Mar 19 2020	15161	16	2993	10
Mar 20 2020	19600	24	4528	65
Mar 21 2020	22071	16	2516	29
Mar 22 2020	24513	10	2509	57
Mar 23 2020	28480	29	4183	187
Mar 24 2020	29542	36	3935	2837
Mar 25 2020	33570	47	4332	257
Mar 26 2020	37998	61	6615	2126
Mar 27 2020	43862	84	6933	985
Mar 28 2020	48781	82	6824	1823
Mar 29 2020	52683	108	4740	730
Mar 30 2020	52740	104	4450	4289
Mar 31 2020	54933	130	4923	2600
Apr 01 2020	58349	157	6173	2600
Apr 02 2020	61245	177	6813	3740
Apr 03 2020	65306	169	6365	2135
Apr 04 2020	68244	170	4933	1825
Apr 05 2020	69834	141	4031	2300
Apr 06 2020	72859	227	3252	0
Apr 07 2020	69559	207	4288	7381
Apr 08 2020	64639	334	5633	10219
Apr 09 2020	63212	259	4939	6107
Apr 10 2020	65513	129	3936	1506
Apr 11 2020	65171	136	3281	3487
Apr 12 2020	64521	152	2402	2900
Apr 13 2020	62566	173	2218	4000
Apr 14 2020	60502	302	2138	3900
Apr 15 2020	58335	310	2543	4400
Apr 16 2020	56631	249	2945	4400
Apr 17 2020	53915	301	3699	6114
Apr 18 2020	53769	187	2327	2286
Apr 19 2020	53083	104	2018	2600
Apr 20 2020	50685	221	1323	3500
Apr 21 2020	48148	225	1388	3700
Apr 22 2020	45913	230	2195	4200
Apr 23 2020	44233	261	2481	3900
Apr 24 2020	42417	186	1870	3500
Apr 25 2020	40814	117	1514	3000
Apr 26 2020	39772	99	1257	2200
Apr 27 2020	38109	151	988	2500
Apr 28 2020	36174	189	1154	2900
Apr 29 2020	34647	154	1627	3000
Apr 30 2020	32860	157	1470	3100
May 01 2020	30415	113	1068	3400
May 02 2020	29129	76	890	2100
May 03 2020	28172	54	697	1600
May 04 2020	26433	127	488	2100
May 05 2020	24888	0	855	2400
May 06 2020	23164	283	1155	2596
May 07 2020	22111	117	1268	2204
May 08 2020	21351	118	1158	1800
May 09 2020	20448	39	736	1600
May 10 2020	19883	20	555	1100
May 11 2020	19271	92	697	1217
May 12 2020	18206	77	595	1583
May 13 2020	17510	123	927	1500
May 14 2020	16720	67	877	1600
May 15 2020	15971	73	724	1400
May 16 2020	15590	26	545	900
May 17 2020	15175	22	407	800
May 18 2020	14539	74	638	1200
May 19 2020	13907	70	538	1100
May 20 2020	13334	77	704	1200
May 21 2020	12685	39	490	1100
May 22 2020	12334	43	692	1000
May 23 2020	11693	14	273	900
May 24 2020	11630	5	342	400
May 25 2020	11134	57	461	900
May 26 2020	10763	70	499	800
May 27 2020	10535	35	607	800
May 28 2020	10655	37	557	400
May 29 2020	10298	24	567	900
May 30 2020	9767	6	275	800
May 31 2020	9662	5	200	300
Jun 01 2020	9220	13	271	700
Jun 02 2020	8990	56	326	500
Jun 03 2020	8399	25	334	900
Jun 04 2020	8360	37	498	500
Jun 05 2020	8124	27	491	700
Jun 06 2020	8000	6	282	400
Jun 07 2020	7966	7	173	200
Jun 08 2020	7795	7	336	500
Jun 09 2020	7458	48	311	600
Jun 10 2020	6945	13	0	500
Jun 11 2020	6717	7	279	500
Jun 12 2020	6761	12	456	400
Jun 13 2020	6629	4	172	300
Jun 14 2020	6574	3	248	300
Jun 15 2020	6532	15	373	400
Jun 16 2020	6345	25	338	500
Jun 17 2020	6950	17	1122	500
Jun 18 2020	7053	19	622	500
Jun 19 2020	7273	14	534	300
Jun 20 2020	7528	1	556	300
Jun 21 2020	7686	1	359	200
Jun 22 2020	7823	7	544	400
Jun 23 2020	8065	17	659	400
