Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	3	0
Mar 03 2020	0	0	1	0
Mar 04 2020	0	0	22	0
Mar 05 2020	0	0	1	0
Mar 06 2020	0	0	1	0
Mar 07 2020	0	0	3	0
Mar 08 2020	0	0	6	0
Mar 09 2020	0	0	7	1
Mar 10 2020	0	0	15	0
Mar 11 2020	0	0	0	0
Mar 12 2020	0	1	12	0
Mar 13 2020	0	1	8	6
Mar 14 2020	0	0	18	0
Mar 15 2020	0	0	14	3
Mar 16 2020	0	0	15	0
Mar 17 2020	0	1	14	1
Mar 18 2020	0	0	26	0
Mar 19 2020	0	1	25	6
Mar 20 2020	0	1	55	3
Mar 21 2020	0	0	83	0
Mar 22 2020	0	3	64	1
Mar 23 2020	0	3	103	10
Mar 24 2020	0	0	37	6
Mar 25 2020	0	2	121	3
Mar 26 2020	0	8	70	2
Mar 27 2020	0	0	160	28
Mar 28 2020	0	4	100	11
Mar 29 2020	0	3	37	11
Mar 30 2020	0	5	227	7
Mar 31 2020	0	3	146	21
Apr 01 2020	0	23	601	25
Apr 02 2020	0	14	545	43
Apr 03 2020	0	14	516	1
Apr 04 2020	0	13	529	37
Apr 05 2020	0	19	701	99
Apr 06 2020	0	18	489	47
Apr 07 2020	0	24	573	93
Apr 08 2020	0	18	565	38
Apr 09 2020	0	49	809	129
Apr 10 2020	0	22	875	139
Apr 11 2020	0	39	846	195
Apr 12 2020	0	43	759	111
Apr 13 2020	0	27	1248	101
Apr 14 2020	0	35	1034	178
Apr 15 2020	0	29	883	149
Apr 16 2020	0	26	1060	260
Apr 17 2020	0	38	922	273
Apr 18 2020	0	36	2013	422
Apr 19 2020	0	38	1250	391
Apr 20 2020	0	33	924	419
Apr 21 2020	0	53	1541	702
Apr 22 2020	0	36	1290	395
Apr 23 2020	0	40	1669	642
Apr 24 2020	0	59	1408	484
Apr 25 2020	0	45	1836	443
Apr 26 2020	0	56	1607	584
Apr 27 2020	0	58	1561	614
Apr 28 2020	0	70	1873	610
Apr 29 2020	0	72	1738	690
Apr 30 2020	0	76	1801	631
May 01 2020	0	71	2394	939
May 02 2020	0	103	2442	812
May 03 2020	0	69	2806	956
May 04 2020	0	177	3932	1072
May 05 2020	0	129	2963	1295
May 06 2020	0	93	3587	1189
May 07 2020	0	107	3364	1445
May 08 2020	0	97	3344	1111
May 09 2020	0	118	3113	1414
May 10 2020	0	114	4353	1668
May 11 2020	0	83	3607	1580
May 12 2020	0	123	3524	1871
May 13 2020	0	139	3763	1980
May 14 2020	0	100	3942	1569
May 15 2020	0	106	3787	2289
May 16 2020	0	121	4864	3966
May 17 2020	0	156	5050	2571
May 18 2020	0	134	4630	2438
May 19 2020	0	148	6147	3076
May 20 2020	0	134	5553	3113
May 21 2020	0	152	6198	3131
May 22 2020	0	145	6568	3271
May 23 2020	0	144	6629	2561
May 24 2020	0	158	7113	3307
May 25 2020	0	151	6414	3014
May 26 2020	0	175	5843	3571
May 27 2020	0	195	7293	3472
May 28 2020	0	179	7300	3171
May 29 2020	0	275	8105	11707
May 30 2020	0	215	8336	4309
May 31 2020	0	230	8782	4916
Jun 01 2020	0	206	7761	3902
Jun 02 2020	0	228	8821	4531
Jun 03 2020	0	266	9633	3786
Jun 04 2020	0	283	9889	4379
Jun 05 2020	0	293	9471	4783
Jun 06 2020	0	304	10438	5462
Jun 07 2020	0	268	10864	5153
Jun 08 2020	0	273	8442	5247
Jun 09 2020	0	253	8852	5070
Jun 10 2020	0	397	12375	6814
Jun 11 2020	0	402	11128	5993
Jun 12 2020	0	398	11320	7259
Jun 13 2020	0	316	12023	8095
Jun 14 2020	0	330	11157	7363
Jun 15 2020	0	404	10243	10631
Jun 16 2020	0	2048	11135	7232
Jun 17 2020	0	349	13103	6886
Jun 18 2020	0	354	13827	10744
Jun 19 2020	0	378	14721	9024
Jun 20 2020	0	314	15915	13975
Jun 21 2020	0	435	15183	9071
Jun 22 2020	0	320	13540	10885
Jun 23 2020	0	478	15665	10437
Jun 24 2020	0	433	16870	13114
Jun 25 2020	0	410	18185	13983
Jun 26 2020	0	389	18276	10246
Jun 27 2020	0	423	20131	14229
Jun 28 2020	0	395	19620	11628
Jun 29 2020	0	426	18339	13497
Jun 30 2020	0	520	18256	12565
Jul 01 2020	0	450	19428	12060
Jul 02 2020	0	389	21948	20006
Jul 03 2020	0	456	22721	14417
Jul 04 2020	0	627	24015	14743
Jul 05 2020	0	430	23932	15829
Jul 06 2020	0	488	22510	15259
Jul 07 2020	0	489	23135	16908
Jul 08 2020	0	502	25571	19496
Jul 09 2020	0	495	25790	19406
Jul 10 2020	0	532	27761	20246
Jul 11 2020	0	558	27755	20025
Jul 12 2020	0	515	29108	18198
Jul 13 2020	0	557	28179	17683
Jul 14 2020	0	609	29842	20968
Jul 15 2020	0	638	32682	20655
Jul 16 2020	0	702	35468	22867
Jul 17 2020	0	694	34820	17476
Jul 18 2020	0	556	37407	23552
Jul 19 2020	0	690	40243	22769
Jul 20 2020	0	616	36810	24303
Jul 21 2020	0	693	39168	27691
Jul 22 2020	0	1151	45599	31873
Jul 23 2020	0	774	48446	33327
Jul 24 2020	0	784	48892	32514
Jul 25 2020	0	713	48472	36128
Jul 26 2020	0	744	50525	32500
Jul 27 2020	0	654	46484	34454
Jul 28 2020	0	802	49632	35581
Jul 29 2020	0	798	52249	32841
Jul 30 2020	0	808	54966	37482
Jul 31 2020	0	790	57704	36554
Aug 01 2020	0	879	54865	51232
Aug 02 2020	0	781	52783	40349
Aug 03 2020	0	836	50629	43212
Aug 04 2020	0	875	51282	51220
Aug 05 2020	0	953	56626	45540
Aug 06 2020	0	931	62170	50184
Aug 07 2020	0	969	61455	50285
Aug 08 2020	0	907	65156	52135
Aug 09 2020	0	1042	62117	54474
Aug 10 2020	0	920	53016	47362
Aug 11 2020	0	863	61252	56461
Aug 12 2020	0	977	67066	57759
Aug 13 2020	0	1035	64142	54776
Aug 14 2020	0	1024	65609	56920
Aug 15 2020	0	981	63986	53116
Aug 16 2020	0	998	58108	57404
Aug 17 2020	0	902	54288	58172
Aug 18 2020	0	1125	65022	60455
Aug 19 2020	0	1009	69196	59365
Aug 20 2020	0	1007	68507	61873
Aug 21 2020	0	984	69039	62858
Aug 22 2020	0	946	70068	59101
Aug 23 2020	0	870	61749	56896
Aug 24 2020	0	883	59696	66305
Aug 25 2020	0	1101	66873	64151
Aug 26 2020	0	1046	75995	56191
