Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	3	0	3	0
Feb 21 2020	14	2	13	0
Feb 22 2020	23	2	11	0
Feb 23 2020	34	2	14	1
Feb 24 2020	46	4	18	2
Feb 25 2020	54	4	34	22
Feb 26 2020	95	3	44	0
Feb 27 2020	165	7	106	29
Feb 28 2020	281	8	143	19
Feb 29 2020	427	9	205	50
Mar 01 2020	749	11	385	52
Mar 02 2020	1144	12	523	116
Mar 03 2020	1824	11	835	144
Mar 04 2020	2278	15	586	117
Mar 05 2020	2666	16	591	187
Mar 06 2020	3710	16	1234	174
Mar 07 2020	4009	21	1076	756
Mar 08 2020	4238	49	743	465
Mar 09 2020	4530	43	595	260
Mar 10 2020	5020	54	881	337
Mar 11 2020	5687	63	958	228
Mar 12 2020	6370	75	1075	317
Mar 13 2020	7321	85	1289	253
Mar 14 2020	7779	97	1365	810
Mar 15 2020	8624	113	1209	251
Mar 16 2020	9142	129	1053	406
Mar 17 2020	9792	135	1178	393
Mar 18 2020	10516	147	1192	321
Mar 19 2020	11144	149	1046	269
Mar 20 2020	11466	149	1237	766
Mar 21 2020	11419	123	966	890
Mar 22 2020	12040	129	1028	278
Mar 23 2020	12861	127	1411	463
Mar 24 2020	13964	122	1762	537
Mar 25 2020	15315	143	2206	712
Mar 26 2020	16715	157	2389	832
Mar 27 2020	18821	144	2926	676
Mar 28 2020	21212	139	3076	546
Mar 29 2020	23278	123	2901	712
Mar 30 2020	24827	117	3186	1520
Mar 31 2020	27051	141	3110	745
Apr 01 2020	29084	138	2988	817
Apr 02 2020	30597	124	2875	1238
Apr 03 2020	31954	134	2715	1224
Apr 04 2020	32555	158	2560	1801
Apr 05 2020	32612	151	2483	2275
Apr 06 2020	32525	136	2274	2225
Apr 07 2020	31678	133	2089	2803
Apr 08 2020	30781	121	1997	2773
Apr 09 2020	29801	117	1634	2497
Apr 10 2020	28495	122	1972	3156
Apr 11 2020	23725	125	1837	6482
Apr 12 2020	23318	117	1657	1947
Apr 13 2020	22735	111	1617	2089
Apr 14 2020	22065	98	1574	2146
Apr 15 2020	21679	94	1512	1804
Apr 16 2020	20897	92	1606	2296
Apr 17 2020	20472	89	1499	1835
Apr 18 2020	19850	73	1374	1923
Apr 19 2020	20070	87	1343	1036
Apr 20 2020	19023	91	1294	2250
Apr 21 2020	18540	88	1297	1692
Apr 22 2020	17492	94	1194	2148
Apr 23 2020	16702	90	1030	1730
Apr 24 2020	16021	93	1168	1756
Apr 25 2020	15485	76	1134	1594
Apr 26 2020	15114	60	1153	1464
Apr 27 2020	14733	96	991	1276
Apr 28 2020	14268	71	1112	1506
Apr 29 2020	13909	80	1073	1352
Apr 30 2020	13509	71	983	1312
May 01 2020	13237	63	1006	1215
May 02 2020	12942	65	802	1032
May 03 2020	12799	47	976	1072
May 04 2020	12991	74	1223	957
May 05 2020	13155	63	1323	1096
May 06 2020	13645	78	1680	1112
May 07 2020	13905	68	1485	1157
May 08 2020	14313	55	1556	1093
May 09 2020	14567	48	1529	1227
May 10 2020	14820	51	1383	1079
May 11 2020	15179	45	1683	1279
May 12 2020	15677	48	1481	935
May 13 2020	16514	50	1958	1071
May 14 2020	17140	71	1808	1111
May 15 2020	17897	48	2102	1297
May 16 2020	18308	35	1757	1311
May 17 2020	18746	51	1806	1317
May 18 2020	19774	69	2294	1197
May 19 2020	20311	62	2111	1512
May 20 2020	20958	64	2346	1635
May 21 2020	21528	66	2392	1756
May 22 2020	22076	51	2311	1712
May 23 2020	22090	59	1869	1796
May 24 2020	22483	58	2180	1729
May 25 2020	22560	34	2023	1912
May 26 2020	22566	57	1787	1724
May 27 2020	22851	56	2080	1739
May 28 2020	23234	63	2258	1812
May 29 2020	24060	50	2819	1943
May 30 2020	24389	57	2282	1896
May 31 2020	24821	63	2516	2021
Jun 01 2020	25563	81	2979	2156
Jun 02 2020	26543	64	3117	2073
Jun 03 2020	27478	70	3134	2129
Jun 04 2020	28714	59	3574	2279
Jun 05 2020	29281	63	2886	2256
Jun 06 2020	29178	75	2269	2297
Jun 07 2020	29159	72	2364	2311
Jun 08 2020	29121	70	2043	2011
Jun 09 2020	29045	74	2095	2097
Jun 10 2020	28842	81	2011	2133
Jun 11 2020	28909	78	2218	2073
Jun 12 2020	29237	75	2389	1986
Jun 13 2020	29477	71	2410	2099
Jun 14 2020	29916	107	2472	1926
Jun 15 2020	30336	113	2449	1916
Jun 16 2020	30699	115	2563	2085
Jun 17 2020	31054	120	2612	2137
Jun 18 2020	31384	87	2596	2179
Jun 19 2020	31678	120	2615	2201
Jun 20 2020	31693	115	2322	2192
Jun 21 2020	31738	116	2368	2207
Jun 22 2020	31356	119	2573	2836
Jun 23 2020	30947	121	2445	2733
Jun 24 2020	30409	133	2531	2936
Jun 25 2020	29863	134	2595	3007
Jun 26 2020	29633	109	2628	2749
Jun 27 2020	29155	125	2456	2809
Jun 28 2020	28851	144	2489	2649
Jun 29 2020	28355	162	2536	2870
Jun 30 2020	28087	147	2457	2578
Jul 01 2020	27766	141	2549	2729
Jul 02 2020	27659	148	2652	2611
Jul 03 2020	27723	154	2566	2348
Jul 04 2020	27521	148	2449	2503
Jul 05 2020	27537	163	2560	2381
Jul 06 2020	27237	160	2613	2753
Jul 07 2020	26757	200	2637	2917
Jul 08 2020	26832	153	2691	2463
Jul 09 2020	25977	221	2079	2713
Jul 10 2020	25258	142	2262	2839
Jul 11 2020	24816	188	2397	2651
Jul 12 2020	24481	194	2186	2327
Jul 13 2020	24081	203	2349	2546
Jul 14 2020	23692	179	2521	2731
Jul 15 2020	23590	199	2388	2291
Jul 16 2020	22845	198	2500	3047
Jul 17 2020	22776	183	2379	2265
Jul 18 2020	22327	188	2166	2427
Jul 19 2020	21812	209	2182	2488
Jul 20 2020	21710	217	2414	2299
Jul 21 2020	21842	229	2625	2264
Jul 22 2020	21720	219	2586	2489
Jul 23 2020	21730	221	2621	2390
Jul 24 2020	22022	215	2489	1982
Jul 25 2020	22036	195	2316	2107
Jul 26 2020	22259	216	2333	1894
Jul 27 2020	22550	212	2434	1931
Jul 28 2020	23107	235	2667	1875
Jul 29 2020	23450	196	2636	2097
Jul 30 2020	23761	226	2621	2084
Jul 31 2020	23919	197	2674	2319
Aug 01 2020	23940	216	2548	2311
Aug 02 2020	24145	208	2685	2272
Aug 03 2020	24402	215	2598	2126
Aug 04 2020	24634	212	2751	2307
Aug 05 2020	24749	185	2697	2397
Aug 06 2020	24678	174	2634	2531
Aug 07 2020	24711	156	2450	2261
Aug 08 2020	24306	132	2125	2398
Aug 09 2020	23914	163	2020	2249
Aug 10 2020	23586	189	2132	2271
Aug 11 2020	23769	184	2345	1978
Aug 12 2020	24467	188	2510	1624
Aug 13 2020	25104	174	2625	1814
Aug 14 2020	25683	169	2501	1753
Aug 15 2020	25948	161	2245	1819
