Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	1	0	0	0
Feb 23 2020	1	0	0	0
Feb 24 2020	1	0	0	0
Feb 25 2020	5	0	4	0
Feb 26 2020	5	0	0	0
Feb 27 2020	7	0	2	0
Feb 28 2020	8	0	1	0
Feb 29 2020	13	0	5	0
Mar 01 2020	19	0	6	0
Mar 02 2020	27	0	8	0
Mar 03 2020	32	0	5	0
Mar 04 2020	35	2	5	0
Mar 05 2020	37	1	3	0
Mar 06 2020	41	1	6	0
Mar 07 2020	49	0	8	0
Mar 08 2020	58	2	11	0
Mar 09 2020	61	1	6	0
Mar 10 2020	49	0	0	0
Mar 11 2020	49	0	0	0
Mar 12 2020	51	1	12	0
Mar 13 2020	68	1	18	0
Mar 14 2020	74	1	9	0
Mar 15 2020	88	0	14	0
Mar 16 2020	91	0	9	0
Mar 17 2020	102	1	21	0
Mar 18 2020	111	1	10	0
Mar 19 2020	130	1	28	0
Mar 20 2020	142	4	16	0
Mar 21 2020	146	0	6	0
Mar 22 2020	156	3	19	0
Mar 23 2020	181	3	33	0
Mar 24 2020	214	4	50	0
Mar 25 2020	214	2	30	0
Mar 26 2020	241	7	36	0
Mar 27 2020	296	4	76	0
Mar 28 2020	333	2	48	0
Mar 29 2020	362	0	41	0
Mar 30 2020	432	4	83	0
Mar 31 2020	474	4	64	0
Apr 01 2020	494	2	34	0
Apr 02 2020	516	2	44	0
Apr 03 2020	540	0	48	0
Apr 04 2020	563	2	58	0
Apr 05 2020	621	5	83	0
Apr 06 2020	623	3	70	0
Apr 07 2020	684	1	91	0
Apr 08 2020	681	4	80	0
Apr 09 2020	667	0	30	0
Apr 10 2020	659	1	47	0
Apr 11 2020	645	2	39	0
Apr 12 2020	636	4	34	0
Apr 13 2020	583	2	26	0
Apr 14 2020	556	0	22	0
Apr 15 2020	524	1	15	0
Apr 16 2020	498	1	19	0
Apr 17 2020	495	1	48	0
Apr 18 2020	478	1	31	0
Apr 19 2020	448	0	26	0
Apr 20 2020	449	0	35	0
Apr 21 2020	423	1	28	0
Apr 22 2020	402	0	29	0
Apr 23 2020	423	0	46	0
Apr 24 2020	418	3	31	0
Apr 25 2020	453	0	55	0
Apr 26 2020	470	1	57	0
Apr 27 2020	473	1	27	0
Apr 28 2020	519	2	81	0
Apr 29 2020	565	2	75	0
Apr 30 2020	617	1	82	0
May 01 2020	645	1	68	0
May 02 2020	651	1	66	0
May 03 2020	709	2	77	0
May 04 2020	704	1	50	0
May 05 2020	758	4	85	0
May 06 2020	776	0	49	0
May 07 2020	815	0	63	0
May 08 2020	838	2	60	0
May 09 2020	870	3	76	0
May 10 2020	924	2	88	0
May 11 2020	918	1	51	0
May 12 2020	898	2	95	0
May 13 2020	951	3	119	0
May 14 2020	1000	0	111	0
May 15 2020	987	2	50	0
May 16 2020	1013	4	67	0
May 17 2020	1063	2	144	0
May 18 2020	1117	4	150	0
May 19 2020	1114	4	57	0
May 20 2020	1152	3	113	0
May 21 2020	1254	6	153	0
May 22 2020	1285	7	87	0
May 23 2020	1535	5	308	0
May 24 2020	1571	8	197	0
May 25 2020	1658	3	163	0
May 26 2020	1827	6	216	0
May 27 2020	2056	6	287	0
May 28 2020	2307	4	322	0
May 29 2020	2644	6	416	0
May 30 2020	2874	10	306	0
May 31 2020	3078	10	260	0
Jun 01 2020	3378	10	429	0
Jun 02 2020	3644	20	519	0
Jun 03 2020	3817	21	781	0
Jun 04 2020	4231	15	672	0
Jun 05 2020	4988	14	1006	0
Jun 06 2020	5876	33	1252	0
Jun 07 2020	6834	28	1268	0
Jun 08 2020	7539	24	1115	0
Jun 09 2020	8045	22	787	0
Jun 10 2020	8774	34	1146	0
Jun 11 2020	9650	31	1261	0
Jun 12 2020	10406	39	1095	0
Jun 13 2020	10886	53	1180	0
Jun 14 2020	11481	58	1259	0
Jun 15 2020	11392	45	1106	0
Jun 16 2020	12126	60	1385	0
Jun 17 2020	12711	61	1554	0
Jun 18 2020	13528	83	1463	0
Jun 19 2020	14222	69	1635	0
Jun 20 2020	14998	88	1870	0
Jun 21 2020	15833	87	1646	0
Jun 22 2020	16724	67	1808	0
Jun 23 2020	17498	84	1826	0
Jun 24 2020	18558	79	2200	0
Jun 25 2020	19651	107	2437	0
Jun 26 2020	20775	122	2054	0
Jun 27 2020	21664	101	2069	0
Jun 28 2020	22524	96	2140	0
Jun 29 2020	22338	83	1749	0
Jun 30 2020	22406	104	1958	0
Jul 01 2020	23207	107	2415	0
Jul 02 2020	23636	110	2184	0
Jul 03 2020	24158	102	2312	0
Jul 04 2020	24909	106	2334	0
Jul 05 2020	24989	105	2125	0
Jul 06 2020	24967	94	1796	0
Jul 07 2020	25764	118	2426	0
Jul 08 2020	26784	94	2741	0
Jul 09 2020	27228	103	2170	0
Jul 10 2020	28120	78	2848	0
Jul 11 2020	29060	95	2734	0
Jul 12 2020	29632	95	2312	0
Jul 13 2020	29487	100	2229	0
Jul 14 2020	27630	95	2022	0
Jul 15 2020	27814	87	2110	0
Jul 16 2020	28310	90	2281	0
Jul 17 2020	28060	94	2023	0
Jul 18 2020	28037	75	2049	0
Jul 19 2020	28221	90	2310	0
Jul 20 2020	27988	88	2163	0
Jul 21 2020	28259	81	2466	0
Jul 22 2020	28676	92	2706	0
Jul 23 2020	28699	80	2361	0
Jul 24 2020	29231	90	2485	0
Jul 25 2020	29972	72	2862	0
Jul 26 2020	30453	78	2459	0
Jul 27 2020	30983	96	2553	0
Jul 28 2020	29735	77	2747	0
Jul 29 2020	30236	68	2968	0
Jul 30 2020	31046	68	2963	0
Jul 31 2020	32434	70	3346	0
Aug 01 2020	32624	64	2095	0
Aug 02 2020	32397	63	2447	0
Aug 03 2020	32841	66	2735	0
Aug 04 2020	33602	83	2836	0
Aug 05 2020	34020	77	2834	0
Aug 06 2020	34417	67	3047	0
Aug 07 2020	35631	75	3461	0
Aug 08 2020	36575	74	3325	0
Aug 09 2020	36948	82	2726	0
Aug 10 2020	38345	72	3484	0
Aug 11 2020	39362	67	3396	0
Aug 12 2020	40307	57	3441	0
Aug 13 2020	41428	53	3841	0
Aug 14 2020	42452	68	4013	0
Aug 15 2020	44098	76	4293	0
Aug 16 2020	45697	75	4348	0
Aug 17 2020	45234	94	3202	0
Aug 18 2020	46833	82	4576	0
Aug 19 2020	48312	85	4093	0
Aug 20 2020	49389	87	3995	0
Aug 21 2020	50356	75	4288	0
Aug 22 2020	51304	70	3965	0
Aug 23 2020	51504	75	3291	0
Aug 24 2020	51077	91	3644	0
Aug 25 2020	51590	77	3962	0
Aug 26 2020	51901	72	3837	0
Aug 27 2020	51686	72	3651	0
Aug 28 2020	51924	74	4177	0
Aug 29 2020	51535	77	3834	0
Aug 30 2020	51338	68	3731	0
