Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	7	0	0	0
Feb 16 2020	7	0	0	0
Feb 17 2020	7	0	0	0
Feb 18 2020	7	0	0	0
Feb 19 2020	7	0	0	0
Feb 20 2020	6	0	0	1
Feb 21 2020	7	0	1	0
Feb 22 2020	7	0	0	0
Feb 23 2020	7	0	0	0
Feb 24 2020	8	0	1	0
Feb 25 2020	8	0	0	0
Feb 26 2020	8	0	0	0
Feb 27 2020	9	0	1	0
Feb 28 2020	12	0	3	0
Feb 29 2020	12	0	0	0
Mar 01 2020	13	0	1	0
Mar 02 2020	18	0	5	0
Mar 03 2020	21	0	3	0
Mar 04 2020	21	0	0	0
Mar 05 2020	30	0	9	0
Mar 06 2020	34	0	4	0
Mar 07 2020	38	0	4	0
Mar 08 2020	47	0	9	0
Mar 09 2020	51	0	4	0
Mar 10 2020	84	0	33	0
Mar 11 2020	103	0	19	0
Mar 12 2020	125	0	22	0
Mar 13 2020	159	0	35	1
Mar 14 2020	188	0	29	0
Mar 15 2020	228	0	40	0
Mar 16 2020	301	0	73	0
Mar 17 2020	393	0	94	2
Mar 18 2020	516	0	125	2
Mar 19 2020	648	0	136	4
Mar 20 2020	814	1	168	1
Mar 21 2020	1023	0	209	0
Mar 22 2020	1270	0	252	5
Mar 23 2020	1614	0	350	6
Mar 24 2020	2026	3	420	5
Mar 25 2020	2442	1	423	6
Mar 26 2020	2947	5	519	9
Mar 27 2020	3359	2	432	18
Mar 28 2020	3825	1	476	9
Mar 29 2020	4336	3	528	14
Mar 30 2020	4853	1	551	33
Mar 31 2020	5543	4	737	43
Apr 01 2020	6197	8	694	32
Apr 02 2020	6833	9	724	79
Apr 03 2020	7374	5	600	54
Apr 04 2020	7744	6	428	52
Apr 05 2020	8220	7	584	101
Apr 06 2020	8543	8	449	118
Apr 07 2020	8791	8	376	120
Apr 08 2020	9017	8	340	106
Apr 09 2020	9238	9	340	110
Apr 10 2020	9460	8	355	125
Apr 11 2020	9676	6	342	120
Apr 12 2020	9963	6	551	258
Apr 13 2020	10113	9	437	278
Apr 14 2020	10213	8	394	286
Apr 15 2020	10229	13	305	276
Apr 16 2020	10190	7	296	328
Apr 17 2020	10122	9	297	356
Apr 18 2020	10150	11	288	249
Apr 19 2020	10036	8	274	380
Apr 20 2020	9879	6	297	448
Apr 21 2020	9776	10	279	372
Apr 22 2020	9608	3	226	391
Apr 23 2020	9550	4	275	329
Apr 24 2020	9459	3	249	337
Apr 25 2020	9240	3	159	375
Apr 26 2020	8889	2	82	431
Apr 27 2020	8545	4	127	467
Apr 28 2020	8137	5	161	564
Apr 29 2020	7863	6	82	350
Apr 30 2020	7574	6	143	426
May 01 2020	7263	4	116	423
May 02 2020	7039	3	57	278
May 03 2020	6777	3	27	286
May 04 2020	6572	3	55	257
May 05 2020	6285	2	33	318
May 06 2020	6088	1	65	261
May 07 2020	5923	1	61	225
May 08 2020	5728	6	33	222
May 09 2020	5654	3	20	91
May 10 2020	5511	4	29	168
May 11 2020	5218	5	39	327
May 12 2020	4980	3	23	258
May 13 2020	4839	3	39	177
May 14 2020	4618	3	22	240
May 15 2020	4470	0	12	160
May 16 2020	4370	3	5	102
May 17 2020	4231	4	15	150
May 18 2020	3981	3	27	274
May 19 2020	3849	2	22	152
May 20 2020	3754	1	15	109
May 21 2020	3650	0	18	122
May 22 2020	3507	0	19	162
May 23 2020	3468	0	5	44
May 24 2020	3365	1	13	115
May 25 2020	3253	2	22	132
May 26 2020	3212	0	50	91
May 27 2020	3190	2	40	60
May 28 2020	3153	1	77	113
May 29 2020	3227	0	113	39
May 30 2020	3215	0	29	41
May 31 2020	3241	0	87	61
Jun 01 2020	3271	3	100	67
Jun 02 2020	3337	2	121	53
Jun 03 2020	3405	1	96	27
Jun 04 2020	3505	0	142	42
Jun 05 2020	3594	1	127	37
Jun 06 2020	3644	4	78	24
Jun 07 2020	3740	2	140	42
Jun 08 2020	3880	0	179	39
Jun 09 2020	4007	1	174	46
Jun 10 2020	4195	1	241	52
Jun 11 2020	4332	0	192	55
Jun 12 2020	4463	0	184	53
