Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	3	0	0	0
Feb 16 2020	3	0	0	0
Feb 17 2020	3	0	0	0
Feb 18 2020	3	0	0	0
Feb 19 2020	3	0	0	0
Feb 20 2020	4	0	1	0
Feb 21 2020	19	1	17	1
Feb 22 2020	75	1	58	1
Feb 23 2020	152	1	78	0
Feb 24 2020	220	4	72	0
Feb 25 2020	310	4	94	0
Feb 26 2020	455	1	147	1
Feb 27 2020	593	5	185	42
Feb 28 2020	824	4	236	1
Feb 29 2020	1054	8	242	4
Mar 01 2020	1586	12	577	33
Mar 02 2020	1848	11	339	66
Mar 03 2020	2279	27	469	11
Mar 04 2020	2726	28	591	116
Mar 05 2020	3322	41	775	138
Mar 06 2020	3948	49	784	109
Mar 07 2020	5102	36	1256	66
Mar 08 2020	6440	134	1505	33
Mar 09 2020	8052	97	1811	102
Mar 10 2020	8585	169	983	281
Mar 11 2020	10676	197	2329	41
Mar 12 2020	12944	190	2672	214
Mar 13 2020	15077	251	2565	181
Mar 14 2020	17897	176	3524	528
Mar 15 2020	20778	369	3620	370
Mar 16 2020	23271	350	3258	415
Mar 17 2020	26285	346	3552	192
Mar 18 2020	28959	477	4238	1087
Mar 19 2020	33476	429	5362	416
Mar 20 2020	38187	630	6032	691
Mar 21 2020	43047	797	6602	945
Mar 22 2020	47040	654	5601	954
Mar 23 2020	50844	604	4817	409
Mar 24 2020	54479	746	5277	896
Mar 25 2020	57989	686	5235	1039
Mar 26 2020	62520	715	6247	1001
Mar 27 2020	66958	922	5950	590
Mar 28 2020	70646	892	6017	1437
Mar 29 2020	74491	759	5252	648
Mar 30 2020	76158	816	4077	1594
Mar 31 2020	78288	841	4083	1112
Apr 01 2020	81254	730	4817	1121
Apr 02 2020	83759	763	4702	1434
Apr 03 2020	86123	770	4618	1484
Apr 04 2020	89039	684	4841	1241
Apr 05 2020	92040	527	4349	821
Apr 06 2020	94003	639	3626	1024
Apr 07 2020	94894	607	3057	1559
Apr 08 2020	96107	544	3861	2104
Apr 09 2020	97744	613	4234	1984
Apr 10 2020	99159	573	3978	1990
Apr 11 2020	101184	622	4731	2084
Apr 12 2020	103194	433	4124	1681
Apr 13 2020	104573	569	3175	1227
