Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	0	0	0	0
Mar 07 2020	0	0	0	0
Mar 08 2020	0	0	0	0
Mar 09 2020	0	0	0	0
Mar 10 2020	0	0	0	0
Mar 11 2020	0	0	0	0
Mar 12 2020	0	0	0	0
Mar 13 2020	1	0	0	0
Mar 14 2020	1	0	0	0
Mar 15 2020	3	0	2	0
Mar 16 2020	3	0	0	0
Mar 17 2020	4	0	1	0
Mar 18 2020	7	0	3	0
Mar 19 2020	7	0	0	0
Mar 20 2020	7	0	0	0
Mar 21 2020	7	0	0	0
Mar 22 2020	15	0	8	0
Mar 23 2020	16	0	1	0
Mar 24 2020	25	0	9	0
Mar 25 2020	27	0	3	0
Mar 26 2020	29	0	3	0
Mar 27 2020	29	0	0	0
Mar 28 2020	36	0	7	0
Mar 29 2020	40	0	4	0
Mar 30 2020	48	0	8	0
Mar 31 2020	57	0	9	0
Apr 01 2020	76	0	22	0
Apr 02 2020	102	2	29	0
Apr 03 2020	113	1	12	0
Apr 04 2020	117	0	4	0
Apr 05 2020	133	0	16	0
Apr 06 2020	147	2	16	0
Apr 07 2020	157	0	14	0
Apr 08 2020	161	0	7	0
Apr 09 2020	161	1	5	0
Apr 10 2020	153	0	5	0
Apr 11 2020	152	0	2	0
Apr 12 2020	156	1	6	0
Apr 13 2020	146	1	11	0
Apr 14 2020	153	0	8	0
Apr 15 2020	145	1	9	0
Apr 16 2020	153	1	9	0
Apr 17 2020	165	0	12	0
Apr 18 2020	171	1	16	0
Apr 19 2020	168	2	8	0
Apr 20 2020	176	0	11	0
Apr 21 2020	184	0	15	0
Apr 22 2020	191	0	7	0
Apr 23 2020	188	0	17	0
Apr 24 2020	197	0	16	0
Apr 25 2020	199	0	7	0
Apr 26 2020	200	0	12	0
Apr 27 2020	197	0	8	0
Apr 28 2020	195	0	11	0
Apr 29 2020	197	1	10	0
Apr 30 2020	187	2	12	0
May 01 2020	190	4	15	0
May 02 2020	210	1	24	0
May 03 2020	218	2	30	0
May 04 2020	235	0	25	0
May 05 2020	268	0	45	0
May 06 2020	302	2	47	0
May 07 2020	315	3	25	0
May 08 2020	322	0	14	0
May 09 2020	342	1	28	0
May 10 2020	320	2	23	0
May 11 2020	331	1	28	0
May 12 2020	332	3	15	0
May 13 2020	320	4	22	0
May 14 2020	335	2	21	0
May 15 2020	355	3	23	0
May 16 2020	376	5	49	0
May 17 2020	417	0	57	0
May 18 2020	411	0	25	0
May 19 2020	432	0	51	0
May 20 2020	487	0	66	0
May 21 2020	555	0	80	0
May 22 2020	600	0	52	0
May 23 2020	631	0	31	0
May 24 2020	648	1	22	0
May 25 2020	693	1	72	0
May 26 2020	751	0	62	0
May 27 2020	867	3	123	0
May 28 2020	993	3	147	0
May 29 2020	1093	4	127	0
May 30 2020	1200	1	143	0
May 31 2020	1254	1	74	0
Jun 01 2020	1303	5	59	0
Jun 02 2020	1350	2	72	0
Jun 03 2020	1397	3	123	0
Jun 04 2020	1464	4	124	0
Jun 05 2020	1528	1	134	0
Jun 06 2020	1565	4	126	0
Jun 07 2020	1669	1	167	0
Jun 08 2020	1632	1	95	0
Jun 09 2020	1724	3	127	0
Jun 10 2020	1592	1	105	0
Jun 11 2020	1651	3	121	0
Jun 12 2020	1640	4	90	0
Jun 13 2020	1711	4	152	0
Jun 14 2020	1802	3	137	0
Jun 15 2020	1890	1	133	0
Jun 16 2020	1965	1	133	0
Jun 17 2020	2113	2	184	0
Jun 18 2020	2173	10	213	0
Jun 19 2020	2165	2	117	0
Jun 20 2020	2218	2	104	0
Jun 21 2020	2448	2	260	0
Jun 22 2020	2407	2	59	0
Jun 23 2020	2421	3	155	0
Jun 24 2020	2618	2	254	0
Jun 25 2020	2748	2	178	0
Jun 26 2020	2827	5	149	0
Jun 27 2020	3059	4	278	0
Jun 28 2020	3269	2	259	0
Jun 29 2020	3331	1	120	0
Jun 30 2020	3468	4	176	0
Jul 01 2020	3707	1	307	0
Jul 02 2020	3945	3	268	0
Jul 03 2020	4137	2	247	0
Jul 04 2020	4402	5	389	0
Jul 05 2020	4641	1	309	0
Jul 06 2020	4647	4	181	0
Jul 07 2020	4706	3	183	0
Jul 08 2020	4862	2	278	0
Jul 09 2020	5219	4	447	0
Jul 10 2020	5582	8	473	0
Jul 11 2020	5724	3	278	0
Jul 12 2020	6036	1	379	0
Jul 13 2020	6125	12	189	0
Jul 14 2020	6521	5	497	0
Jul 15 2020	6906	7	461	0
Jul 16 2020	6550	8	421	0
Jul 17 2020	6469	5	389	0
Jul 18 2020	6538	3	688	0
Jul 19 2020	6212	9	603	0
Jul 20 2020	5960	4	418	0
Jul 21 2020	5479	12	397	0
Jul 22 2020	5433	10	637	0
Jul 23 2020	5716	3	796	0
Jul 24 2020	5953	11	667	0
Jul 25 2020	6151	4	375	0
Jul 26 2020	6881	2	960	0
Jul 27 2020	7127	5	372	0
Jul 28 2020	7618	14	606	0
Jul 29 2020	7998	12	544	0
Jul 30 2020	8637	14	788	0
Jul 31 2020	9285	16	723	0
Aug 01 2020	9647	23	727	0
Aug 02 2020	10254	5	690	0
Aug 03 2020	10430	13	544	0
Aug 04 2020	10237	6	605	0
Aug 05 2020	10092	3	671	0
Aug 06 2020	9929	8	538	0
Aug 07 2020	9733	14	727	0
Aug 08 2020	9374	5	699	0
Aug 09 2020	8539	2	599	0
Aug 10 2020	8308	3	492	0
Aug 11 2020	8288	15	497	0
Aug 12 2020	7947	18	679	0
Aug 13 2020	7932	4	650	0
Aug 14 2020	8240	5	580	0
Aug 15 2020	7842	7	515	0
Aug 16 2020	7186	2	271	0
Aug 17 2020	6743	8	245	0
Aug 18 2020	6729	5	271	0
Aug 19 2020	6760	19	379	0
Aug 20 2020	6829	10	426	0
Aug 21 2020	6747	16	322	0
Aug 22 2020	6693	10	355	0
Aug 23 2020	6640	6	246	0
Aug 24 2020	6524	6	193	0
Aug 25 2020	6549	5	246	0
Aug 26 2020	6432	5	213	0
Aug 27 2020	6705	3	373	0
Aug 28 2020	6857	0	241	0
Aug 29 2020	6806	5	164	0
Aug 30 2020	6935	2	263	0
Aug 31 2020	6800	3	144	0
Sep 01 2020	6485	0	114	0
Sep 02 2020	6659	4	178	0
Sep 03 2020	6283	4	212	0
Sep 04 2020	5898	4	179	0
Sep 05 2020	5896	5	136	0
