Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	0	0	0	0
Mar 07 2020	0	0	0	0
Mar 08 2020	0	0	0	0
Mar 09 2020	0	0	0	0
Mar 10 2020	0	0	0	0
Mar 11 2020	0	0	0	0
Mar 12 2020	0	0	0	0
Mar 13 2020	0	0	0	0
Mar 14 2020	0	0	0	0
Mar 15 2020	0	0	0	0
Mar 16 2020	0	0	0	0
Mar 17 2020	0	0	0	0
Mar 18 2020	0	0	0	0
Mar 19 2020	0	0	0	0
Mar 20 2020	0	0	0	0
Mar 21 2020	0	0	0	0
Mar 22 2020	0	0	0	0
Mar 23 2020	0	0	0	0
Mar 24 2020	1	0	0	0
Mar 25 2020	1	0	0	0
Mar 26 2020	1	0	0	0
Mar 27 2020	1	0	0	0
Mar 28 2020	3	0	2	0
Mar 29 2020	8	0	5	0
Mar 30 2020	8	0	0	0
Mar 31 2020	9	0	2	0
Apr 01 2020	10	0	0	0
Apr 02 2020	10	0	1	0
Apr 03 2020	16	0	6	0
Apr 04 2020	17	0	1	0
Apr 05 2020	17	0	0	0
Apr 06 2020	17	0	1	0
Apr 07 2020	18	0	1	0
Apr 08 2020	12	0	1	0
Apr 09 2020	15	0	3	0
Apr 10 2020	15	0	0	0
Apr 11 2020	16	0	1	0
Apr 12 2020	15	0	0	0
Apr 13 2020	16	0	1	0
Apr 14 2020	25	0	9	0
Apr 15 2020	36	0	13	0
Apr 16 2020	37	0	1	0
Apr 17 2020	37	0	0	0
Apr 18 2020	37	0	0	0
Apr 19 2020	39	0	2	0
Apr 20 2020	35	0	0	0
Apr 21 2020	43	0	8	0
Apr 22 2020	44	0	1	0
Apr 23 2020	43	1	0	0
Apr 24 2020	41	0	1	0
Apr 25 2020	41	0	0	0
Apr 26 2020	41	0	0	0
Apr 27 2020	41	0	0	0
Apr 28 2020	41	0	0	0
Apr 29 2020	41	0	0	0
Apr 30 2020	40	1	0	0
May 01 2020	42	0	2	0
May 02 2020	38	0	0	0
May 03 2020	38	0	0	0
May 04 2020	37	0	0	0
May 05 2020	37	0	0	0
May 06 2020	37	0	1	0
May 07 2020	37	0	0	0
May 08 2020	37	0	0	0
May 09 2020	37	0	0	0
May 10 2020	37	0	0	0
May 11 2020	33	0	0	0
May 12 2020	33	0	0	0
May 13 2020	33	0	0	0
May 14 2020	33	0	0	0
May 15 2020	33	0	0	0
May 16 2020	34	0	1	0
May 17 2020	27	0	0	0
May 18 2020	27	0	0	0
May 19 2020	30	0	3	0
May 20 2020	31	0	1	0
May 21 2020	33	0	2	0
May 22 2020	31	0	1	0
May 23 2020	33	0	3	0
May 24 2020	33	0	0	0
May 25 2020	32	0	0	0
May 26 2020	34	0	2	0
May 27 2020	55	1	22	0
May 28 2020	59	1	6	0
May 29 2020	72	0	13	0
May 30 2020	75	0	12	0
May 31 2020	99	0	26	0
Jun 01 2020	111	0	12	0
Jun 02 2020	125	0	14	0
Jun 03 2020	139	0	14	0
Jun 04 2020	152	0	13	0
Jun 05 2020	182	0	30	0
Jun 06 2020	199	0	17	0
Jun 07 2020	199	0	0	0
Jun 08 2020	270	0	76	0
Jun 09 2020	296	0	27	0
Jun 10 2020	314	0	19	0
Jun 11 2020	329	0	15	0
Jun 12 2020	344	1	16	0
Jun 13 2020	348	2	9	0
Jun 14 2020	381	2	36	0
Jun 15 2020	387	0	13	0
Jun 16 2020	398	0	17	0
Jun 17 2020	412	0	16	0
Jun 18 2020	419	0	10	0
Jun 19 2020	427	0	10	0
Jun 20 2020	436	0	24	0
Jun 21 2020	458	0	27	0
Jun 22 2020	469	0	24	0
Jun 23 2020	490	7	44	0
Jun 24 2020	514	1	31	0
Jun 25 2020	540	0	28	0
Jun 26 2020	553	0	15	0
Jun 27 2020	538	0	14	0
Jun 28 2020	545	3	35	0
Jun 29 2020	573	2	40	0
Jun 30 2020	591	1	22	0
Jul 01 2020	626	1	50	0
Jul 02 2020	641	1	17	0
Jul 03 2020	661	1	27	0
Jul 04 2020	704	0	71	0
Jul 05 2020	753	5	57	0
Jul 06 2020	814	2	71	0
Jul 07 2020	852	1	65	0
Jul 08 2020	926	1	86	0
Jul 09 2020	997	2	74	0
Jul 10 2020	997	0	0	0
Jul 11 2020	1011	0	47	0
Jul 12 2020	1053	1	44	0
Jul 13 2020	1105	1	79	0
Jul 14 2020	1151	2	51	0
Jul 15 2020	1173	1	26	0
Jul 16 2020	1227	3	63	0
Jul 17 2020	1277	1	52	0
Jul 18 2020	1358	1	87	0
Jul 19 2020	1400	0	75	0
Jul 20 2020	1490	1	114	0
Jul 21 2020	1559	1	108	0
Jul 22 2020	1634	3	88	0
Jul 23 2020	1757	3	138	0
Jul 24 2020	1863	1	110	0
Jul 25 2020	1979	1	123	0
Jul 26 2020	2056	2	122	0
Jul 27 2020	2186	4	158	0
Jul 28 2020	2371	3	190	0
Jul 29 2020	2555	4	205	0
Jul 30 2020	2761	2	216	0
Jul 31 2020	2929	1	183	0
Aug 01 2020	2992	6	70	0
Aug 02 2020	3131	3	146	0
Aug 03 2020	3345	10	226	0
Aug 04 2020	3495	3	161	0
Aug 05 2020	3736	3	251	0
Aug 06 2020	4120	8	404	0
Aug 07 2020	4311	1	200	0
Aug 08 2020	4428	5	153	0
Aug 09 2020	4631	6	219	0
Aug 10 2020	5080	6	478	0
Aug 11 2020	5430	7	373	0
Aug 12 2020	5701	0	309	0
Aug 13 2020	6099	3	439	0
Aug 14 2020	6340	4	277	0
Aug 15 2020	6699	6	411	0
Aug 16 2020	7086	8	434	0
Aug 17 2020	7453	4	407	0
Aug 18 2020	7901	7	489	0
Aug 19 2020	8276	5	395	0
Aug 20 2020	8487	4	244	0
Aug 21 2020	8888	7	414	0
Aug 22 2020	9164	8	316	0
Aug 23 2020	9164	0	0	0
Aug 24 2020	9714	11	572	0
Aug 25 2020	9966	4	272	0
Aug 26 2020	10472	7	553	0
Aug 27 2020	10846	9	440	0
Aug 28 2020	11093	7	355	0
Aug 29 2020	11394	5	329	0
Aug 30 2020	11781	1	465	0
Aug 31 2020	12270	5	543	0
Sep 01 2020	12706	5	658	0
Sep 02 2020	13160	8	532	0
Sep 03 2020	13663	4	617	0
Sep 04 2020	14273	8	672	0
Sep 05 2020	14797	10	649	0
Sep 06 2020	15383	13	655	0
Sep 07 2020	16412	11	1085	0
