Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	-2	0	0	0
Feb 16 2020	-2	0	0	0
Feb 17 2020	-2	0	0	0
Feb 18 2020	-2	0	0	0
Feb 19 2020	-2	0	0	0
Feb 20 2020	-2	0	0	0
Feb 21 2020	-2	0	0	0
Feb 22 2020	-2	0	0	0
Feb 23 2020	-2	0	0	0
Feb 24 2020	-2	0	0	0
Feb 25 2020	-2	0	0	0
Feb 26 2020	-2	0	0	0
Feb 27 2020	-2	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	2	0	2	0
Mar 01 2020	3	0	1	0
Mar 02 2020	4	0	1	0
Mar 03 2020	3	0	0	1
Mar 04 2020	3	0	0	0
Mar 05 2020	2	1	0	0
Mar 06 2020	2	0	0	0
Mar 07 2020	2	0	0	0
Mar 08 2020	3	0	1	0
Mar 09 2020	0	0	0	3
Mar 10 2020	0	0	0	0
Mar 11 2020	4	0	4	0
Mar 12 2020	5	0	1	0
Mar 13 2020	8	0	3	0
Mar 14 2020	19	0	11	0
Mar 15 2020	36	1	18	0
Mar 16 2020	46	0	10	0
Mar 17 2020	76	0	30	0
Mar 18 2020	87	0	11	0
Mar 19 2020	111	2	26	0
Mar 20 2020	155	3	47	0
Mar 21 2020	195	0	40	0
Mar 22 2020	244	1	50	0
Mar 23 2020	311	0	67	0
Mar 24 2020	362	2	53	0
Mar 25 2020	400	1	39	0
Mar 26 2020	469	3	72	0
Mar 27 2020	581	2	114	0
Mar 28 2020	709	8	136	0
Mar 29 2020	804	9	135	31
Mar 30 2020	939	15	150	0
Mar 31 2020	1034	9	104	0
Apr 01 2020	1145	14	125	0
Apr 02 2020	1288	25	168	0
Apr 03 2020	805	21	136	598
Apr 04 2020	962	27	184	0
Apr 05 2020	1138	33	209	0
Apr 06 2020	1361	38	261	0
Apr 07 2020	1634	33	306	0
Apr 08 2020	1934	57	357	0
Apr 09 2020	2283	60	409	0
Apr 10 2020	2501	50	268	0
Apr 11 2020	2856	61	416	0
Apr 12 2020	2027	77	387	1139
Apr 13 2020	2331	81	456	71
Apr 14 2020	2490	84	364	121
Apr 15 2020	2628	98	397	161
Apr 16 2020	2981	110	463	0
Apr 17 2020	3334	112	465	0
Apr 18 2020	3826	105	597	0
Apr 19 2020	3829	137	642	502
Apr 20 2020	4483	135	789	0
Apr 21 2020	4832	179	528	0
Apr 22 2020	5380	205	753	0
Apr 23 2020	6245	212	1077	0
Apr 24 2020	7156	213	1124	0
Apr 25 2020	3689	224	1279	4522
Apr 26 2020	4429	261	1001	0
Apr 27 2020	3810	276	862	1205
Apr 28 2020	3653	305	880	732
Apr 29 2020	2303	276	1263	2337
Apr 30 2020	3071	313	1081	0
May 01 2020	4161	381	1471	0
May 02 2020	4424	347	1564	954
May 03 2020	4341	406	1393	1070
May 04 2020	5420	349	1428	0
May 05 2020	4052	357	1480	2491
May 06 2020	3888	448	1156	872
May 07 2020	4137	441	1661	971
May 08 2020	5784	399	2046	0
May 09 2020	4823	396	1968	2533
May 10 2020	4882	432	2001	1510
May 11 2020	4811	408	1613	1276
May 12 2020	5720	438	1347	0
May 13 2020	4500	447	2062	2835
May 14 2020	4890	477	1922	1055
May 15 2020	5405	487	2487	1485
May 16 2020	5407	538	2516	1976
May 17 2020	5645	545	2180	1397
May 18 2020	5782	524	2142	1481
May 19 2020	5639	576	2492	2059
May 20 2020	5925	578	2801	1937
May 21 2020	6120	575	2321	1551
May 22 2020	6850	558	3069	1781
May 23 2020	7271	567	3056	2068
May 24 2020	7972	542	3437	2194
May 25 2020	7784	537	2854	2505
May 26 2020	7292	592	2566	2466
May 27 2020	7916	614	3567	2329
May 28 2020	8718	609	3575	2164
May 29 2020	9362	588	3487	2255
May 30 2020	9110	612	3332	2972
May 31 2020	9262	566	2979	2261
Jun 01 2020	9468	593	3254	2455
Jun 02 2020	8541	623	2861	3165
Jun 03 2020	9061	680	4017	2817
Jun 04 2020	9495	642	4039	2963
Jun 05 2020	11239	665	4586	2177
Jun 06 2020	11940	644	4487	3142
Jun 07 2020	12108	588	3710	2954
Jun 08 2020	12176	654	3597	2875
Jun 09 2020	11375	683	3096	3214
Jun 10 2020	11862	733	4335	3115
Jun 11 2020	13042	679	5041	3182
Jun 12 2020	13155	698	4945	4134
Jun 13 2020	14177	666	5391	3703
Jun 14 2020	13854	722	3607	3208
