Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	1	0
Mar 06 2020	0	0	0	0
Mar 07 2020	0	0	0	0
Mar 08 2020	0	0	0	0
Mar 09 2020	0	0	0	0
Mar 10 2020	0	1	1	0
Mar 11 2020	0	0	3	0
Mar 12 2020	0	0	0	0
Mar 13 2020	0	0	1	0
Mar 14 2020	0	0	11	0
Mar 15 2020	0	0	10	0
Mar 16 2020	0	0	9	0
Mar 17 2020	0	1	7	0
Mar 18 2020	0	0	10	0
Mar 19 2020	0	0	9	0
Mar 20 2020	0	1	23	0
Mar 21 2020	0	0	10	0
Mar 22 2020	0	1	19	0
Mar 23 2020	0	0	28	0
Mar 24 2020	0	1	27	0
Mar 25 2020	0	1	55	0
Mar 26 2020	0	5	50	0
Mar 27 2020	0	12	70	0
Mar 28 2020	0	2	57	0
Mar 29 2020	0	1	77	0
Mar 30 2020	0	7	77	0
Mar 31 2020	0	3	61	0
Apr 01 2020	0	3	37	0
Apr 02 2020	0	5	54	0
Apr 03 2020	0	4	83	0
Apr 04 2020	0	11	128	0
Apr 05 2020	0	11	102	0
Apr 06 2020	0	10	99	0
Apr 07 2020	0	10	64	0
Apr 08 2020	0	3	91	0
Apr 09 2020	0	4	99	0
Apr 10 2020	0	10	74	0
Apr 11 2020	0	4	97	0
Apr 12 2020	0	7	116	0
Apr 13 2020	0	8	102	0
Apr 14 2020	0	0	125	0
Apr 15 2020	0	1	136	0
Apr 16 2020	0	3	259	0
Apr 17 2020	0	5	281	0
Apr 18 2020	0	2	121	0
Apr 19 2020	0	4	170	0
Apr 20 2020	0	2	191	0
Apr 21 2020	0	2	163	0
Apr 22 2020	0	4	237	0
Apr 23 2020	0	6	122	0
Apr 24 2020	0	3	190	0
Apr 25 2020	0	1	139	0
Apr 26 2020	0	2	168	0
Apr 27 2020	0	1	55	0
Apr 28 2020	0	3	132	0
Apr 29 2020	0	3	69	0
Apr 30 2020	0	2	102	0
May 01 2020	0	1	146	0
May 02 2020	0	2	160	0
May 03 2020	0	1	174	0
May 04 2020	0	5	150	0
May 05 2020	0	2	166	0
May 06 2020	0	2	189	0
May 07 2020	0	0	140	0
May 08 2020	0	3	163	0
May 09 2020	0	0	199	0
May 10 2020	0	2	153	0
May 11 2020	0	0	218	0
May 12 2020	0	0	137	0
May 13 2020	0	0	94	0
May 14 2020	0	2	95	0
May 15 2020	0	0	45	0
May 16 2020	0	2	89	0
May 17 2020	0	0	129	0
May 18 2020	0	0	82	0
May 19 2020	0	1	71	0
May 20 2020	0	1	110	0
May 21 2020	0	2	78	0
May 22 2020	0	1	121	0
May 23 2020	0	1	74	0
May 24 2020	0	1	27	0
May 25 2020	0	1	99	0
May 26 2020	0	2	45	0
May 27 2020	0	0	24	0
May 28 2020	0	0	42	0
May 29 2020	0	0	71	0
May 30 2020	0	2	66	0
May 31 2020	0	1	27	0
Jun 01 2020	0	0	26	0
Jun 02 2020	0	1	33	0
Jun 03 2020	0	0	56	0
Jun 04 2020	0	2	81	0
Jun 05 2020	0	0	68	0
Jun 06 2020	0	0	80	0
Jun 07 2020	0	0	73	0
Jun 08 2020	0	0	78	0
Jun 09 2020	0	2	135	0
Jun 10 2020	0	1	71	0
Jun 11 2020	0	0	29	0
Jun 12 2020	0	1	73	0
Jun 13 2020	0	0	82	0
Jun 14 2020	0	0	101	0
Jun 15 2020	0	0	92	0
Jun 16 2020	0	0	46	0
Jun 17 2020	0	1	66	0
Jun 18 2020	0	0	77	0
Jun 19 2020	0	0	539	0
Jun 20 2020	0	0	226	0
Jun 21 2020	0	1	138	0
Jun 22 2020	0	0	195	0
Jun 23 2020	0	0	172	0
Jun 24 2020	0	2	563	0
Jun 25 2020	0	1	431	0
Jun 26 2020	0	1	295	0
Jun 27 2020	0	2	244	0
Jun 28 2020	0	1	175	0
Jun 29 2020	0	4	238	0
Jun 30 2020	0	3	243	0
Jul 01 2020	0	0	103	0
Jul 02 2020	0	1	333	0
Jul 03 2020	0	1	319	0
Jul 04 2020	0	2	534	0
Jul 05 2020	0	3	393	0
Jul 06 2020	0	2	164	0
Jul 07 2020	0	3	228	0
Jul 08 2020	0	2	164	0
Jul 09 2020	0	0	308	0
Jul 10 2020	0	1	249	0
Jul 11 2020	0	2	214	0
Jul 12 2020	0	5	203	0
Jul 13 2020	0	5	191	0
Jul 14 2020	0	2	161	0
Jul 15 2020	0	2	165	0
Jul 16 2020	0	4	283	0
Jul 17 2020	0	1	181	0
Jul 18 2020	0	5	289	0
Jul 19 2020	0	4	221	0
Jul 20 2020	0	3	326	0
Jul 21 2020	0	4	180	0
Jul 22 2020	0	5	220	0
Jul 23 2020	0	7	302	0
Jul 24 2020	0	7	570	0
Jul 25 2020	0	6	811	0
Jul 26 2020	0	8	633	0
Jul 27 2020	0	3	609	0
Jul 28 2020	0	11	500	0
Jul 29 2020	0	7	826	0
Jul 30 2020	0	12	1046	0
Jul 31 2020	0	7	1063	0
Aug 01 2020	0	14	693	0
Aug 02 2020	0	15	522	0
Aug 03 2020	0	19	659	0
Aug 04 2020	0	16	1021	0
Aug 05 2020	0	18	1283	0
Aug 06 2020	0	14	1144	0
Aug 07 2020	0	12	1018	0
Aug 08 2020	0	19	1345	0
Aug 09 2020	0	18	1230	0
Aug 10 2020	0	18	826	0
Aug 11 2020	0	17	1132	0
Aug 12 2020	0	23	1499	0
Aug 13 2020	0	28	1241	0
Aug 14 2020	0	27	1306	0
Aug 15 2020	0	21	1776	0
Aug 16 2020	0	26	1472	0
Aug 17 2020	0	23	1069	0
Aug 18 2020	0	33	1245	0
Aug 19 2020	0	29	1510	0
Aug 20 2020	0	32	1325	0
Aug 21 2020	0	42	1609	0
Aug 22 2020	0	41	1565	0
Aug 23 2020	0	30	1537	0
Aug 24 2020	0	32	903	0
Aug 25 2020	0	35	1276	0
Aug 26 2020	0	29	1336	0
Aug 27 2020	0	27	1221	0
Aug 28 2020	0	41	1404	0
Aug 29 2020	0	26	1567	0
Aug 30 2020	0	33	1343	0
Aug 31 2020	0	30	1191	0
Sep 01 2020	0	43	1191	0
Sep 02 2020	0	32	1672	0
Sep 03 2020	0	37	1402	0
Sep 04 2020	0	39	1750	0
Sep 05 2020	0	37	1555	0
Sep 06 2020	0	32	2234	0
Sep 07 2020	0	33	1386	0
Sep 08 2020	0	33	1941	0
