Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	1	0	0	0
Feb 28 2020	2	0	1	0
Feb 29 2020	7	0	5	0
Mar 01 2020	10	0	3	0
Mar 02 2020	18	0	8	0
Mar 03 2020	23	0	5	0
Mar 04 2020	38	0	15	0
Mar 05 2020	81	1	44	0
Mar 06 2020	127	0	46	0
Mar 07 2020	185	2	60	0
Mar 08 2020	261	1	77	0
Mar 09 2020	317	0	56	0
Mar 10 2020	377	1	61	0
Mar 11 2020	498	0	121	0
Mar 12 2020	602	5	111	0
Mar 13 2020	790	2	190	0
Mar 14 2020	937	8	155	0
Mar 15 2020	1109	4	176	0
Mar 16 2020	1368	19	278	0
Mar 17 2020	1645	15	292	0
Mar 18 2020	1973	18	346	0
Mar 19 2020	2352	30	409	0
Mar 20 2020	2856	30	534	0
Mar 21 2020	3450	43	637	0
Mar 22 2020	3989	34	573	0
Mar 23 2020	4471	63	545	0
Mar 24 2020	5202	80	811	0
Mar 25 2020	5975	78	852	0
Mar 26 2020	6882	112	1019	0
Mar 27 2020	7961	93	1172	0
Mar 28 2020	8988	132	1159	0
Mar 29 2020	9752	93	1104	0
Mar 30 2020	10461	175	884	0
Mar 31 2020	11172	134	845	0
Apr 01 2020	12025	166	1019	0
Apr 02 2020	12960	148	1083	0
Apr 03 2020	13822	164	1026	0
Apr 04 2020	14611	115	904	0
Apr 05 2020	15734	101	1224	0
Apr 06 2020	16452	234	952	0
Apr 07 2020	17082	147	777	0
Apr 08 2020	17903	148	969	0
Apr 09 2020	19001	115	1213	0
Apr 10 2020	20204	132	1335	0
Apr 11 2020	21426	94	1316	0
Apr 12 2020	22514	86	1174	0
Apr 13 2020	23356	122	964	0
Apr 14 2020	24035	189	868	0
Apr 15 2020	24588	181	734	0
Apr 16 2020	25505	144	1061	0
Apr 17 2020	26598	142	1235	0
Apr 18 2020	27655	83	1140	0
Apr 19 2020	28654	67	1066	0
Apr 20 2020	29239	165	750	0
Apr 21 2020	29792	138	729	0
Apr 22 2020	29970	123	708	0
Apr 23 2020	30057	112	887	0
Apr 24 2020	30003	120	806	0
Apr 25 2020	29693	66	655	0
Apr 26 2020	29199	43	655	0
Apr 27 2020	28435	48	400	0
Apr 28 2020	27405	145	171	0
Apr 29 2020	26968	84	386	0
Apr 30 2020	26623	98	514	0
May 01 2020	26083	94	475	0
May 02 2020	25470	69	445	0
May 03 2020	24822	26	335	0
May 04 2020	24057	86	199	0
May 05 2020	23200	36	317	0
May 06 2020	22432	84	232	0
May 07 2020	22123	71	455	0
May 08 2020	21481	63	319	0
May 09 2020	20602	18	289	0
May 10 2020	19514	16	245	0
May 11 2020	18321	54	161	0
May 12 2020	17345	52	196	0
May 13 2020	16632	28	227	0
May 14 2020	16009	53	270	0
May 15 2020	15501	27	200	0
May 16 2020	14646	10	189	0
May 17 2020	13532	14	125	0
May 18 2020	12531	21	146	0
May 19 2020	11561	33	108	0
May 20 2020	11015	27	198	0
May 21 2020	10553	13	253	0
May 22 2020	10023	23	188	0
May 23 2020	9324	11	176	0
May 24 2020	8693	8	172	0
May 25 2020	8229	26	209	0
May 26 2020	7718	15	133	0
May 27 2020	7491	32	190	0
May 28 2020	7506	28	182	0
May 29 2020	7304	20	176	0
May 30 2020	6936	5	131	0
May 31 2020	6645	6	185	0
Jun 01 2020	6304	5	103	0
Jun 02 2020	6066	10	102	0
Jun 03 2020	5950	13	86	0
Jun 04 2020	5840	15	209	0
Jun 05 2020	5827	6	210	0
Jun 06 2020	5559	2	183	0
Jun 07 2020	5478	3	239	0
Jun 08 2020	5342	15	165	0
Jun 09 2020	5265	11	164	0
Jun 10 2020	5297	2	184	0
Jun 11 2020	5258	9	164	0
Jun 12 2020	5246	4	210	0
Jun 13 2020	5157	2	179	0
Jun 14 2020	5096	6	143	0
Jun 15 2020	5073	5	165	0
Jun 16 2020	5088	4	139	0
Jun 17 2020	5059	4	117	0
Jun 18 2020	5067	3	115	0
Jun 19 2020	4971	8	107	0
Jun 20 2020	4801	1	76	0
Jun 21 2020	4705	0	91	0
Jun 22 2020	4589	5	65	0
Jun 23 2020	4484	2	64	0
Jun 24 2020	4356	3	82	0
Jun 25 2020	4333	3	110	0
Jun 26 2020	4235	2	91	0
Jun 27 2020	4124	0	69	0
Jun 28 2020	4019	2	73	0
Jun 29 2020	3960	6	76	0
Jun 30 2020	3829	2	50	0
Jul 01 2020	3787	3	62	0
Jul 02 2020	3763	2	77	0
Jul 03 2020	3748	6	75	0
Jul 04 2020	3605	1	61	0
Jul 05 2020	3468	1	73	0
Jul 06 2020	3318	4	36	0
Jul 07 2020	3117	3	37	0
Jul 08 2020	3007	0	52	0
Jul 09 2020	2895	0	52	0
Jul 10 2020	2753	0	42	0
Jul 11 2020	2670	0	81	0
Jul 12 2020	2561	0	101	0
Jul 13 2020	2453	0	71	0
Jul 14 2020	2362	1	53	0
Jul 15 2020	2304	0	106	0
Jul 16 2020	2264	0	99	0
Jul 17 2020	2250	0	103	0
Jul 18 2020	2262	0	127	0
Jul 19 2020	2299	0	144	0
Jul 20 2020	2408	0	185	0
Jul 21 2020	2477	3	163	0
Jul 22 2020	2583	0	168	0
Jul 23 2020	2682	0	163	0
Jul 24 2020	2791	0	191	0
Jul 25 2020	2817	1	137	0
Jul 26 2020	2940	1	214	0
Jul 27 2020	3073	4	205	0
Jul 28 2020	3225	2	223	0
Jul 29 2020	3398	0	247	0
Jul 30 2020	3690	0	342	0
Jul 31 2020	3965	1	338	0
Aug 01 2020	4319	1	431	0
Aug 02 2020	4611	0	366	0
Aug 03 2020	4921	1	372	0
Aug 04 2020	5331	3	485	0
Aug 05 2020	5724	0	426	0
Aug 06 2020	6287	1	601	0
Aug 07 2020	6752	3	519	0
Aug 08 2020	7189	0	486	0
Aug 09 2020	7724	0	577	0
Aug 10 2020	8271	2	630	0
Aug 11 2020	8949	2	779	0
Aug 12 2020	9530	4	654	0
Aug 13 2020	10056	2	577	0
Aug 14 2020	10586	2	636	0
Aug 15 2020	11141	3	655	0
Aug 16 2020	11548	0	507	0
Aug 17 2020	11900	3	482	0
Aug 18 2020	12242	6	489	0
Aug 19 2020	12605	10	552	0
Aug 20 2020	12977	4	529	0
Aug 21 2020	13343	5	535	0
Aug 22 2020	13693	0	508	0
Aug 23 2020	13957	2	457	0
Aug 24 2020	14391	5	574	0
Aug 25 2020	14589	8	415	0
Aug 26 2020	14960	3	571	0
Aug 27 2020	15248	2	510	0
Aug 28 2020	15506	4	507	0
Aug 29 2020	15669	0	501	0
Aug 30 2020	15839	0	508	0
