Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	0	0	0	0
Mar 07 2020	0	0	0	0
Mar 08 2020	0	0	0	0
Mar 09 2020	0	0	0	0
Mar 10 2020	0	0	0	0
Mar 11 2020	0	0	0	0
Mar 12 2020	0	0	0	0
Mar 13 2020	0	0	0	0
Mar 14 2020	0	0	0	0
Mar 15 2020	0	0	0	0
Mar 16 2020	0	0	0	0
Mar 17 2020	0	0	0	0
Mar 18 2020	0	0	0	0
Mar 19 2020	0	0	0	0
Mar 20 2020	0	0	0	0
Mar 21 2020	0	0	2	0
Mar 22 2020	0	0	0	0
Mar 23 2020	0	0	4	0
Mar 24 2020	0	0	2	0
Mar 25 2020	0	0	4	0
Mar 26 2020	0	0	0	0
Mar 27 2020	0	0	1	0
Mar 28 2020	0	0	0	0
Mar 29 2020	0	0	0	0
Mar 30 2020	0	0	0	0
Mar 31 2020	0	0	1	0
Apr 01 2020	0	0	0	0
Apr 02 2020	0	0	2	0
Apr 03 2020	0	0	0	0
Apr 04 2020	0	0	-1	0
Apr 05 2020	0	0	1	0
Apr 06 2020	0	0	0	0
Apr 07 2020	0	0	0	0
Apr 08 2020	0	0	0	0
Apr 09 2020	0	0	0	0
Apr 10 2020	0	0	0	0
Apr 11 2020	0	0	0	0
Apr 12 2020	0	0	0	0
Apr 13 2020	0	0	0	0
Apr 14 2020	0	0	0	0
Apr 15 2020	0	0	0	0
Apr 16 2020	0	0	0	0
Apr 17 2020	0	0	0	0
Apr 18 2020	0	0	0	0
Apr 19 2020	0	0	0	0
Apr 20 2020	0	0	0	0
Apr 21 2020	0	0	0	0
Apr 22 2020	0	0	0	0
Apr 23 2020	0	0	0	0
Apr 24 2020	0	0	0	0
Apr 25 2020	0	0	0	0
Apr 26 2020	0	0	0	0
Apr 27 2020	0	0	0	0
Apr 28 2020	0	0	0	0
Apr 29 2020	0	0	0	0
Apr 30 2020	0	0	0	0
May 01 2020	0	0	0	0
May 02 2020	0	0	0	0
May 03 2020	0	0	0	0
May 04 2020	0	0	0	0
May 05 2020	0	0	0	0
May 06 2020	0	0	0	0
May 07 2020	0	0	0	0
May 08 2020	0	0	0	0
May 09 2020	0	0	0	0
May 10 2020	0	0	0	0
May 11 2020	0	0	0	0
May 12 2020	0	0	0	0
May 13 2020	0	0	0	0
May 14 2020	0	0	0	0
May 15 2020	0	0	0	0
May 16 2020	0	0	0	0
May 17 2020	0	0	0	0
May 18 2020	0	0	0	0
May 19 2020	0	0	0	0
May 20 2020	0	0	0	0
May 21 2020	0	0	0	0
May 22 2020	0	0	0	0
May 23 2020	0	0	0	0
May 24 2020	0	0	0	0
May 25 2020	0	0	0	0
May 26 2020	0	0	0	0
May 27 2020	0	0	0	0
May 28 2020	0	0	1	0
May 29 2020	0	0	0	0
May 30 2020	0	0	0	0
May 31 2020	0	0	0	0
Jun 01 2020	0	0	1	0
Jun 02 2020	0	0	0	0
Jun 03 2020	0	0	0	0
Jun 04 2020	0	0	0	0
Jun 05 2020	0	0	0	0
Jun 06 2020	0	0	0	0
Jun 07 2020	0	0	0	0
Jun 08 2020	0	0	0	0
Jun 09 2020	0	0	1	0
Jun 10 2020	0	0	0	0
Jun 11 2020	0	0	0	0
Jun 12 2020	0	0	0	0
Jun 13 2020	0	0	0	0
Jun 14 2020	0	0	0	0
Jun 15 2020	0	0	0	0
Jun 16 2020	0	0	0	0
Jun 17 2020	0	0	0	0
Jun 18 2020	0	0	0	0
Jun 19 2020	0	0	0	0
Jun 20 2020	0	0	0	0
Jun 21 2020	0	0	0	0
Jun 22 2020	0	0	0	0
Jun 23 2020	0	0	0	0
Jun 24 2020	0	0	0	0
Jun 25 2020	0	0	0	0
Jun 26 2020	0	0	0	0
Jun 27 2020	0	0	0	0
Jun 28 2020	0	0	0	0
Jun 29 2020	0	0	0	0
Jun 30 2020	0	0	0	0
Jul 01 2020	0	0	0	0
Jul 02 2020	0	0	0	0
Jul 03 2020	0	0	0	0
Jul 04 2020	0	0	0	0
Jul 05 2020	0	0	0	0
Jul 06 2020	0	0	0	0
Jul 07 2020	0	0	0	0
Jul 08 2020	0	0	0	0
Jul 09 2020	0	0	0	0
Jul 10 2020	0	0	0	0
Jul 11 2020	0	0	0	0
Jul 12 2020	0	0	0	0
Jul 13 2020	0	0	0	0
Jul 14 2020	0	0	0	0
Jul 15 2020	0	0	1	0
Jul 16 2020	0	0	0	0
Jul 17 2020	0	0	0	0
Jul 18 2020	0	0	0	0
Jul 19 2020	0	0	0	0
Jul 20 2020	0	0	0	0
Jul 21 2020	0	0	0	0
Jul 22 2020	0	0	0	0
Jul 23 2020	0	0	0	0
Jul 24 2020	0	0	0	0
Jul 25 2020	0	0	0	0
Jul 26 2020	0	0	0	0
Jul 27 2020	0	0	0	0
Jul 28 2020	0	0	0	0
Jul 29 2020	0	0	0	0
Jul 30 2020	0	0	0	0
Jul 31 2020	0	0	0	0
Aug 01 2020	0	0	0	0
Aug 02 2020	0	0	0	0
Aug 03 2020	0	0	0	0
Aug 04 2020	0	0	0	0
Aug 05 2020	0	0	0	0
Aug 06 2020	0	0	0	0
Aug 07 2020	0	0	0	0
Aug 08 2020	0	0	1	0
Aug 09 2020	0	0	0	0
Aug 10 2020	0	0	0	0
Aug 11 2020	0	0	0	0
Aug 12 2020	0	0	0	0
Aug 13 2020	0	0	0	0
Aug 14 2020	0	0	0	0
Aug 15 2020	0	0	0	0
Aug 16 2020	0	0	0	0
Aug 17 2020	0	0	0	0
Aug 18 2020	0	0	0	0
Aug 19 2020	0	0	0	0
Aug 20 2020	0	0	0	0
Aug 21 2020	0	0	0	0
Aug 22 2020	0	0	0	0
Aug 23 2020	0	0	0	0
Aug 24 2020	0	0	0	0
Aug 25 2020	0	0	0	0
Aug 26 2020	0	0	0	0
Aug 27 2020	0	0	0	0
Aug 28 2020	0	0	0	0
Aug 29 2020	0	0	0	0
Aug 30 2020	0	0	0	0
Aug 31 2020	0	0	0	0
Sep 01 2020	0	0	0	0
Sep 02 2020	0	0	0	0
Sep 03 2020	0	0	3	0
Sep 04 2020	0	0	0	0
Sep 05 2020	0	0	0	0
Sep 06 2020	0	0	0	0
Sep 07 2020	0	0	0	0
Sep 08 2020	0	0	0	0
Sep 09 2020	0	0	0	0
Sep 10 2020	0	0	0	0
