Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	1	0	1	0
Feb 29 2020	1	0	0	0
Mar 01 2020	1	0	0	0
Mar 02 2020	1	0	0	0
Mar 03 2020	1	0	0	0
Mar 04 2020	1	0	0	0
Mar 05 2020	1	0	0	0
Mar 06 2020	1	0	0	0
Mar 07 2020	1	0	0	0
Mar 08 2020	1	0	0	0
Mar 09 2020	2	0	1	0
Mar 10 2020	2	0	0	0
Mar 11 2020	2	0	0	0
Mar 12 2020	2	0	0	0
Mar 13 2020	2	0	0	0
Mar 14 2020	2	0	0	0
Mar 15 2020	1	0	0	0
Mar 16 2020	1	0	0	0
Mar 17 2020	2	0	1	0
Mar 18 2020	7	0	5	0
Mar 19 2020	11	0	4	0
Mar 20 2020	11	0	0	0
Mar 21 2020	21	0	10	0
Mar 22 2020	28	0	8	0
Mar 23 2020	37	1	10	0
Mar 24 2020	41	0	4	0
Mar 25 2020	48	0	7	0
Mar 26 2020	61	0	14	0
Mar 27 2020	66	0	5	0
Mar 28 2020	93	0	27	0
Mar 29 2020	107	0	14	0
Mar 30 2020	121	1	20	0
Mar 31 2020	125	0	4	0
Apr 01 2020	163	0	39	0
Apr 02 2020	162	0	10	0
Apr 03 2020	181	2	26	0
Apr 04 2020	185	0	4	0
Apr 05 2020	194	1	18	0
Apr 06 2020	198	0	6	0
Apr 07 2020	204	1	16	0
Apr 08 2020	226	0	22	0
Apr 09 2020	230	1	12	0
Apr 10 2020	240	0	17	0
Apr 11 2020	238	3	13	0
Apr 12 2020	228	0	5	0
Apr 13 2020	242	0	20	0
Apr 14 2020	263	1	30	0
Apr 15 2020	267	1	34	0
Apr 16 2020	277	1	35	0
Apr 17 2020	317	4	51	0
Apr 18 2020	357	2	49	0
Apr 19 2020	436	2	85	0
Apr 20 2020	455	1	38	0
Apr 21 2020	560	3	117	0
Apr 22 2020	648	3	91	0
Apr 23 2020	753	3	108	0
Apr 24 2020	855	1	114	0
Apr 25 2020	925	3	87	0
Apr 26 2020	994	5	91	0
Apr 27 2020	1042	0	64	0
Apr 28 2020	1233	4	195	0
Apr 29 2020	1370	7	196	0
Apr 30 2020	1555	7	204	0
May 01 2020	1751	10	238	0
May 02 2020	1952	17	218	0
May 03 2020	2071	2	170	0
May 04 2020	2292	6	244	0
May 05 2020	2371	5	148	0
May 06 2020	2508	5	195	0
May 07 2020	2818	4	381	0
May 08 2020	3116	10	386	0
May 09 2020	3278	11	239	0
May 10 2020	3478	15	248	0
May 11 2020	3589	7	242	0
May 12 2020	3670	8	146	0
May 13 2020	3737	6	184	0
May 14 2020	3815	3	191	0
May 15 2020	3954	4	283	0
May 16 2020	3973	5	176	0
May 17 2020	4183	6	338	0
May 18 2020	4340	9	216	0
May 19 2020	4475	1	226	0
May 20 2020	4637	8	276	0
May 21 2020	4898	11	339	0
May 22 2020	5033	10	245	0
May 23 2020	5131	0	265	0
May 24 2020	5350	5	313	0
May 25 2020	5524	7	229	0
May 26 2020	5710	16	276	0
May 27 2020	5978	5	389	0
May 28 2020	6064	5	182	0
May 29 2020	6344	2	387	0
May 30 2020	6726	12	553	0
May 31 2020	6868	14	307	0
Jun 01 2020	7157	12	416	0
Jun 02 2020	7265	15	241	0
Jun 03 2020	7522	1	347	0
Jun 04 2020	7658	8	350	0
Jun 05 2020	7815	10	328	0
Jun 06 2020	8065	9	389	0
Jun 07 2020	8173	12	253	0
Jun 08 2020	8400	7	315	0
Jun 09 2020	8893	4	663	0
Jun 10 2020	9140	17	409	0
Jun 11 2020	9673	5	681	0
Jun 12 2020	9891	12	627	0
Jun 13 2020	10174	8	501	0
Jun 14 2020	10445	13	403	0
Jun 15 2020	10885	4	573	0
Jun 16 2020	11070	31	490	0
Jun 17 2020	11299	14	587	0
Jun 18 2020	11698	6	745	0
Jun 19 2020	12079	12	667	0
Jun 20 2020	12584	19	661	0
Jun 21 2020	12847	12	436	0
Jun 22 2020	13285	7	675	0
Jun 23 2020	13500	8	452	0
Jun 24 2020	13865	9	649	0
Jun 25 2020	14243	7	594	0
Jun 26 2020	14491	5	684	0
Jun 27 2020	14894	4	779	0
Jun 28 2020	14995	7	490	0
Jun 29 2020	15158	8	566	0
Jun 30 2020	15358	17	561	0
Jul 01 2020	15729	13	790	0
Jul 02 2020	15693	13	626	0
Jul 03 2020	15867	12	454	0
Jul 04 2020	16071	6	603	0
Jul 05 2020	16401	11	544	0
Jul 06 2020	16804	9	575	0
Jul 07 2020	17012	15	503	0
Jul 08 2020	17192	15	460	0
Jul 09 2020	17513	5	499	0
Jul 10 2020	17819	20	575	0
Jul 11 2020	18160	15	664	0
Jul 12 2020	18371	16	571	0
Jul 13 2020	18738	4	595	0
Jul 14 2020	19070	10	463	0
Jul 15 2020	19500	6	643	0
Jul 16 2020	19793	9	595	0
Jul 17 2020	20049	3	600	0
Jul 18 2020	20391	6	653	0
Jul 19 2020	20769	11	556	0
Jul 20 2020	21091	12	562	0
Jul 21 2020	21319	4	576	0
Jul 22 2020	21716	8	543	0
Jul 23 2020	22054	20	604	0
Jul 24 2020	22135	12	591	0
Jul 25 2020	22173	11	438	0
Jul 26 2020	22300	2	555	0
Jul 27 2020	22117	2	648	0
Jul 28 2020	22172	8	624	0
Jul 29 2020	22331	5	404	0
Jul 30 2020	22541	5	481	0
Jul 31 2020	22707	1	462	0
Aug 01 2020	22567	4	386	0
Aug 02 2020	22645	5	304	0
Aug 03 2020	22570	8	288	0
Aug 04 2020	11672	14	304	0
Aug 05 2020	11798	17	457	0
Aug 06 2020	11884	3	354	0
Aug 07 2020	12114	6	443	0
Aug 08 2020	12154	6	453	0
Aug 09 2020	12446	3	437	0
Aug 10 2020	12571	5	290	0
Aug 11 2020	12725	6	423	0
Aug 12 2020	12844	0	453	0
Aug 13 2020	12841	10	373	0
Aug 14 2020	11474	7	329	0
Aug 15 2020	11506	1	325	0
Aug 16 2020	11596	1	298	0
Aug 17 2020	11674	2	417	0
Aug 18 2020	11863	4	410	0
Aug 19 2020	12199	4	593	0
Aug 20 2020	12403	7	476	0
Aug 21 2020	12423	4	340	0
Aug 22 2020	12141	1	601	0
Aug 23 2020	12280	5	322	0
Aug 24 2020	12287	2	321	0
Aug 25 2020	11829	3	252	0
Aug 26 2020	11730	3	221	0
Aug 27 2020	11580	1	296	0
Aug 28 2020	11449	0	160	0
Aug 29 2020	11402	0	250	0
Aug 30 2020	11339	2	138	0
Aug 31 2020	11357	0	143	0
Sep 01 2020	11214	10	239	0
Sep 02 2020	10997	4	216	0
Sep 03 2020	10912	21	124	0
