Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	2	0	0	0
Feb 27 2020	2	0	0	0
Feb 28 2020	2	0	0	0
Feb 29 2020	4	0	2	0
Mar 01 2020	4	0	0	0
Mar 02 2020	4	0	0	0
Mar 03 2020	5	0	1	0
Mar 04 2020	5	0	0	0
Mar 05 2020	5	0	0	0
Mar 06 2020	5	0	1	1
Mar 07 2020	5	0	0	0
Mar 08 2020	6	0	1	0
Mar 09 2020	15	0	9	0
Mar 10 2020	17	0	3	1
Mar 11 2020	18	0	1	0
Mar 12 2020	19	0	1	0
Mar 13 2020	26	0	7	0
Mar 14 2020	31	0	5	0
Mar 15 2020	51	0	20	0
Mar 16 2020	182	0	131	0
Mar 17 2020	245	0	63	0
Mar 18 2020	292	2	60	11
Mar 19 2020	439	0	147	0
Mar 20 2020	485	1	47	0
Mar 21 2020	629	0	144	0
Mar 22 2020	758	2	131	0
Mar 23 2020	856	1	99	0
Mar 24 2020	947	1	97	5
Mar 25 2020	1034	1	91	3
Mar 26 2020	1171	1	138	0
Mar 27 2020	1339	2	172	2
Mar 28 2020	1454	1	122	6
Mar 29 2020	1554	2	102	0
Mar 30 2020	1620	7	120	47
Mar 31 2020	1836	5	221	0
Apr 01 2020	1997	1	180	18
Apr 02 2020	2262	7	303	31
Apr 03 2020	2520	6	265	1
Apr 04 2020	2646	1	132	5
Apr 05 2020	2899	6	339	80
Apr 06 2020	3454	6	609	48
Apr 07 2020	3549	4	269	170
Apr 08 2020	3735	4	228	38
Apr 09 2020	3852	4	226	105
Apr 10 2020	3902	1	206	155
Apr 11 2020	4162	21	316	35
Apr 12 2020	4110	5	219	266
Apr 13 2020	4307	2	266	67
Apr 14 2020	4362	3	341	283
Apr 15 2020	4824	16	546	68
Apr 16 2020	5143	18	536	199
Apr 17 2020	5122	7	106	120
Apr 18 2020	5660	8	613	67
Apr 19 2020	6308	26	710	36
Apr 20 2020	6742	8	544	102
Apr 21 2020	7286	26	673	103
Apr 22 2020	7703	11	511	83
Apr 23 2020	8479	24	981	181
Apr 24 2020	8925	19	883	418
Apr 25 2020	9580	17	783	111
Apr 26 2020	10103	12	605	70
Apr 27 2020	10586	11	587	93
Apr 28 2020	11058	21	697	204
Apr 29 2020	11747	32	913	192
Apr 30 2020	11996	19	948	680
May 01 2020	13311	58	1619	246
May 02 2020	13818	21	930	402
May 03 2020	14498	21	1062	361
May 04 2020	14814	20	857	521
May 05 2020	15716	40	1108	166
May 06 2020	16370	31	1165	480
May 07 2020	17574	43	1430	183
May 08 2020	18284	15	1791	1066
May 09 2020	20267	39	2301	279
May 10 2020	21587	24	1598	254
May 11 2020	22037	8	607	149
May 12 2020	23368	59	1733	343
May 13 2020	25609	39	2624	344
May 14 2020	25294	9	490	796
May 15 2020	26230	34	1430	460
May 16 2020	27054	32	1581	725
May 17 2020	27904	41	1352	461
May 18 2020	29266	31	1974	581
May 19 2020	30503	37	1841	567
May 20 2020	31775	48	1932	612
May 21 2020	32881	33	2193	1054
May 22 2020	34386	52	2603	1046
May 23 2020	34642	35	1743	1452
May 24 2020	36228	33	2164	545
May 25 2020	37657	35	1748	284
May 26 2020	38150	31	1356	832
May 27 2020	38739	29	1446	828
May 28 2020	39690	36	2076	1089
May 29 2020	40358	59	2801	2074
May 30 2020	40880	81	2429	1826
May 31 2020	42687	92	3039	1140
Jun 01 2020	44777	62	2964	812
Jun 02 2020	47607	81	3938	1027
Jun 03 2020	49789	70	4065	1813
Jun 04 2020	53300	85	4801	1205
Jun 05 2020	56144	71	3985	1070
Jun 06 2020	59394	101	4734	1383
Jun 07 2020	63400	70	4960	884
Jun 08 2020	67170	68	4728	890
Jun 09 2020	71044	109	4646	663
Jun 10 2020	75053	86	5385	1290
Jun 11 2020	78699	105	5834	2083
Jun 12 2020	83129	111	6397	1856
Jun 13 2020	79700	92	6472	9809
Jun 14 2020	84762	84	6825	1679
Jun 15 2020	87923	101	5248	1986
Jun 16 2020	89583	114	4443	2669
Jun 17 2020	93233	142	5839	2047
Jun 18 2020	97690	123	5358	778
Jun 19 2020	100324	142	4944	2168
Jun 20 2020	104648	159	6604	2121
Jun 21 2020	105087	124	4951	4388
Jun 22 2020	105899	93	4471	3566
Jun 23 2020	107723	109	3946	2013
Jun 24 2020	107270	62	3892	4283
Jun 25 2020	107607	154	4044	3553
Jun 26 2020	107460	61	2775	2861
Jun 27 2020	107784	76	3138	2738
Jun 28 2020	106052	86	4072	5718
Jun 29 2020	106775	51	3557	2783
Jun 30 2020	106361	143	2825	3096
Jul 01 2020	108100	95	4133	2299
Jul 02 2020	108466	81	4339	3892
Jul 03 2020	103543	81	4087	8929
Jul 04 2020	95388	71	3387	11471
Jul 05 2020	93746	97	3191	4736
Jul 06 2020	95219	52	3344	1819
Jul 07 2020	94522	80	2691	3308
Jul 08 2020	91408	86	2980	6008
Jul 09 2020	90358	63	3359	4346
Jul 10 2020	89250	78	2751	3781
Jul 11 2020	87892	68	2752	4042
Jul 12 2020	86770	77	2521	3566
Jul 13 2020	84234	72	2753	5217
Jul 14 2020	77418	56	1979	8739
Jul 15 2020	77360	69	2165	2154
Jul 16 2020	73536	42	2145	5927
Jul 17 2020	70570	51	2085	5000
Jul 18 2020	57666	49	1917	14772
Jul 19 2020	53431	48	1580	5767
Jul 20 2020	53333	32	1587	1653
Jul 21 2020	52203	42	1013	2101
Jul 22 2020	51057	40	1332	2438
Jul 23 2020	50080	33	1763	2707
Jul 24 2020	44625	56	1209	6608
Jul 25 2020	29274	25	1487	16813
Jul 26 2020	29626	36	1226	838
Jul 27 2020	27189	21	1176	3592
Jul 28 2020	26691	24	936	1410
Jul 29 2020	25279	28	1063	2447
Jul 30 2020	25112	33	1114	1248
Jul 31 2020	24941	28	903	1046
Aug 01 2020	24912	20	841	850
Aug 02 2020	24908	6	552	550
Aug 03 2020	24935	8	331	296
Aug 04 2020	24827	16	432	524
Aug 05 2020	20597	16	675	4889
Aug 06 2020	19530	22	727	1772
Aug 07 2020	18253	18	782	2041
Aug 08 2020	17573	17	842	1505
Aug 09 2020	17548	15	634	644
Aug 10 2020	17555	16	539	516
Aug 11 2020	17588	16	531	482
Aug 12 2020	16353	18	730	1947
Aug 13 2020	16229	10	753	867
Aug 14 2020	15685	15	626	1155
Aug 15 2020	16014	9	747	409
Aug 16 2020	16001	6	670	677
Aug 17 2020	13706	7	498	2786
Aug 18 2020	13385	16	617	922
Aug 19 2020	11868	11	613	2119
Aug 20 2020	11697	8	513	676
Aug 21 2020	11542	10	630	775
Aug 22 2020	10378	12	586	1738
Aug 23 2020	10446	4	591	519
