Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	0	0	0	0
Mar 07 2020	0	0	0	0
Mar 08 2020	0	0	0	0
Mar 09 2020	0	0	0	0
Mar 10 2020	1	0	0	0
Mar 11 2020	13	1	13	0
Mar 12 2020	13	0	0	0
Mar 13 2020	26	0	13	0
Mar 14 2020	42	0	16	0
Mar 15 2020	54	0	12	0
Mar 16 2020	68	0	14	0
Mar 17 2020	68	0	0	0
Mar 18 2020	108	0	40	0
Mar 19 2020	135	0	28	1
Mar 20 2020	198	0	63	0
Mar 21 2020	241	2	45	0
Mar 22 2020	309	0	68	0
Mar 23 2020	338	3	32	0
Mar 24 2020	436	0	98	0
Mar 25 2020	548	2	115	1
Mar 26 2020	663	1	116	0
Mar 27 2020	770	5	112	0
Mar 28 2020	880	3	115	2
Mar 29 2020	961	7	88	0
Mar 30 2020	1039	3	86	5
Mar 31 2020	1142	3	106	0
Apr 01 2020	1276	2	136	0
Apr 02 2020	1429	5	158	0
Apr 03 2020	1622	4	198	1
Apr 04 2020	1742	5	128	3
Apr 05 2020	1742	0	0	0
Apr 06 2020	2031	9	299	1
Apr 07 2020	2031	0	0	0
Apr 08 2020	2449	8	428	2
Apr 09 2020	2670	3	224	0
Apr 10 2020	2883	8	222	1
Apr 11 2020	3132	5	260	6
Apr 12 2020	3284	8	166	6
Apr 13 2020	3317	7	72	32
Apr 14 2020	3407	1	102	11
Apr 15 2020	3573	8	177	3
Apr 16 2020	3573	0	0	0
Apr 17 2020	3809	6	265	23
Apr 18 2020	3972	7	194	24
Apr 19 2020	4013	4	63	18
Apr 20 2020	4176	6	194	25
Apr 21 2020	4318	10	191	39
Apr 22 2020	4449	5	163	27
Apr 23 2020	4593	3	171	24
Apr 24 2020	4749	2	174	16
Apr 25 2020	4865	8	172	48
Apr 26 2020	5041	5	200	19
Apr 27 2020	5245	6	241	31
Apr 28 2020	5399	2	242	86
Apr 29 2020	5540	9	179	29
Apr 30 2020	5673	2	178	43
May 01 2020	5768	10	154	49
May 02 2020	5906	4	188	46
May 03 2020	6252	5	370	19
May 04 2020	6356	3	107	0
May 05 2020	6458	3	190	85
May 06 2020	6490	7	136	97
May 07 2020	6654	8	208	36
May 08 2020	6757	7	137	27
May 09 2020	6953	6	202	0
May 10 2020	3544	6	212	3615
May 11 2020	3517	7	166	186
May 12 2020	3680	5	168	0
May 13 2020	2510	3	167	1334
May 14 2020	2621	4	161	46
May 15 2020	2778	4	174	13
May 16 2020	2922	6	150	0
May 17 2020	3100	3	181	0
May 18 2020	3250	6	157	1
May 19 2020	3392	6	261	113
May 20 2020	3496	6	110	0
May 21 2020	3580	4	139	51
May 22 2020	3697	4	151	30
May 23 2020	3999	4	310	4
May 24 2020	4341	7	349	0
May 25 2020	4594	4	257	0
May 26 2020	4755	3	264	100
May 27 2020	4034	2	281	1000
May 28 2020	4432	5	403	0
May 29 2020	4665	6	400	161
May 30 2020	3274	4	487	1874
May 31 2020	3613	6	445	100
Jun 01 2020	3979	8	374	0
Jun 02 2020	4229	8	258	0
Jun 03 2020	4733	5	514	5
Jun 04 2020	5062	6	435	100
Jun 05 2020	5374	7	419	100
Jun 06 2020	5500	16	541	399
Jun 07 2020	5814	7	421	100
Jun 08 2020	6055	5	429	183
Jun 09 2020	6269	5	379	160
Jun 10 2020	6499	10	656	416
Jun 11 2020	7191	5	697	0
Jun 12 2020	5031	3	625	2782
Jun 13 2020	5871	8	848	0
Jun 14 2020	6483	8	627	7
Jun 15 2020	7208	11	736	0
Jun 16 2020	7731	9	540	8
Jun 17 2020	8353	13	635	0
Jun 18 2020	9094	5	754	8
Jun 19 2020	9430	10	923	577
Jun 20 2020	10370	8	948	0
Jun 21 2020	11170	8	808	0
Jun 22 2020	11567	20	722	305
Jun 23 2020	12084	15	562	30
Jun 24 2020	12689	11	716	100
Jun 25 2020	13673	17	1007	6
Jun 26 2020	14060	11	868	470
Jun 27 2020	14696	17	753	100
Jun 28 2020	15612	12	1028	100
Jun 29 2020	16570	16	1099	125
Jun 30 2020	17174	11	765	150
Jul 01 2020	17873	14	913	200
Jul 02 2020	18125	22	774	500
Jul 03 2020	18352	31	758	500
Jul 04 2020	18502	22	988	816
Jul 05 2020	19416	27	1166	225
Jul 06 2020	20528	23	1185	50
Jul 07 2020	20766	29	957	690
Jul 08 2020	20963	20	960	743
Jul 09 2020	20940	20	965	968
Jul 10 2020	20968	24	1041	989
Jul 11 2020	21269	30	1075	744
Jul 12 2020	21685	16	1301	869
Jul 13 2020	22322	23	1540	880
Jul 14 2020	22473	28	923	744
Jul 15 2020	22844	22	1147	754
Jul 16 2020	23531	18	1130	425
Jul 17 2020	23850	38	1035	678
Jul 18 2020	23696	33	853	974
Jul 19 2020	23890	25	1207	988
Jul 20 2020	24135	31	958	682
Jul 21 2020	23919	32	727	911
Jul 22 2020	23604	21	753	1047
Jul 23 2020	23780	29	911	706
Jul 24 2020	24039	41	1176	876
Jul 25 2020	24161	25	871	724
Jul 26 2020	24871	19	1432	703
Jul 27 2020	25034	28	1146	955
Jul 28 2020	24693	27	781	1095
Jul 29 2020	24579	25	1046	1135
Jul 30 2020	24576	23	922	902
Jul 31 2020	24669	24	1065	948
Aug 01 2020	24853	28	1127	915
Aug 02 2020	24944	22	1070	957
Aug 03 2020	24866	26	1003	1055
Aug 04 2020	24572	25	968	1237
Aug 05 2020	23886	31	807	1462
Aug 06 2020	24186	21	1187	866
Aug 07 2020	24294	17	1142	1017
Aug 08 2020	24558	18	1091	809
Aug 09 2020	24105	30	841	1264
Aug 10 2020	24220	25	902	762
Aug 11 2020	24119	16	1070	1155
Aug 12 2020	24077	23	913	932
Aug 13 2020	24514	19	1069	613
Aug 14 2020	24782	12	956	676
Aug 15 2020	25062	12	1263	971
Aug 16 2020	25172	21	1275	1144
Aug 17 2020	24910	21	603	844
Aug 18 2020	23790	21	247	1346
Aug 19 2020	23653	18	964	1083
Aug 20 2020	22837	17	101	900
Aug 21 2020	22811	15	537	548
Aug 22 2020	23074	19	1088	806
Aug 23 2020	23588	14	1420	892
Aug 24 2020	23394	14	585	765
Aug 25 2020	23703	13	896	574
Aug 26 2020	23555	13	701	836
Aug 27 2020	24038	16	900	401
Aug 28 2020	24056	18	642	606
Aug 29 2020	24235	17	713	517
Aug 30 2020	24323	12	728	628
