Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	1	0	0	0
Mar 07 2020	6	0	5	0
Mar 08 2020	7	0	1	0
Mar 09 2020	9	0	2	0
Mar 10 2020	11	0	2	0
Mar 11 2020	17	0	6	0
Mar 12 2020	22	0	5	0
Mar 13 2020	38	0	16	0
Mar 14 2020	43	0	5	0
Mar 15 2020	71	0	28	0
Mar 16 2020	85	0	15	0
Mar 17 2020	116	0	31	0
Mar 18 2020	144	0	28	0
Mar 19 2020	230	0	89	0
Mar 20 2020	259	0	29	0
Mar 21 2020	306	8	55	0
Mar 22 2020	346	5	45	0
Mar 23 2020	375	3	32	0
Mar 24 2020	391	5	21	0
Mar 25 2020	452	3	64	0
Mar 26 2020	528	11	100	0
Mar 27 2020	565	16	55	0
Mar 28 2020	580	21	36	0
Mar 29 2020	750	11	181	0
Mar 30 2020	779	32	98	0
Mar 31 2020	518	35	115	0
Apr 01 2020	723	53	258	0
Apr 02 2020	636	35	91	0
Apr 03 2020	777	40	181	0
Apr 04 2020	463	88	151	0
Apr 05 2020	803	120	535	0
Apr 06 2020	1032	43	280	0
Apr 07 2020	1041	80	393	0
Apr 08 2020	2320	77	1388	0
Apr 09 2020	2977	152	914	0
Apr 10 2020	3351	136	641	0
Apr 11 2020	3991	141	951	0
Apr 12 2020	4483	120	671	0
Apr 13 2020	5725	179	2265	0
Apr 14 2020	5841	176	519	0
Apr 15 2020	6542	232	1172	0
Apr 16 2020	4301	245	1016	0
Apr 17 2020	4614	264	998	0
Apr 18 2020	5141	261	931	0
Apr 19 2020	5942	280	1208	0
Apr 20 2020	6178	304	697	0
Apr 21 2020	7367	309	1512	0
Apr 22 2020	8431	304	1413	0
Apr 23 2020	9335	365	1664	0
Apr 24 2020	9630	365	734	0
Apr 25 2020	12620	392	3683	0
Apr 26 2020	14142	373	2186	0
Apr 27 2020	14555	432	1182	0
Apr 28 2020	15847	445	2491	0
Apr 29 2020	17266	464	2741	0
Apr 30 2020	19511	432	3045	0
May 01 2020	21777	493	3483	0
May 02 2020	21974	573	2075	0
May 03 2020	23711	541	3394	0
May 04 2020	23678	600	1444	0
May 05 2020	25970	539	3817	0
May 06 2020	26876	608	3628	0
May 07 2020	29087	637	3709	0
May 08 2020	31232	552	3321	0
May 09 2020	32572	594	3168	0
May 10 2020	33121	640	2292	0
May 11 2020	32966	613	1515	0
May 12 2020	34595	690	3237	0
May 13 2020	37335	507	4247	0
May 14 2020	40283	523	4298	0
May 15 2020	41554	624	3891	0
May 16 2020	43955	520	4046	0
May 17 2020	46778	560	3732	0
May 18 2020	47180	573	2660	0
May 19 2020	44790	722	4550	0
May 20 2020	43289	594	4537	0
May 21 2020	45702	717	4749	0
May 22 2020	46754	616	2929	0
May 23 2020	47090	653	4056	0
May 24 2020	48802	613	4205	0
May 25 2020	50922	746	4020	0
May 26 2020	54087	650	5772	0
May 27 2020	56551	427	6154	0
May 28 2020	58568	584	5874	0
May 29 2020	61136	589	6506	0
May 30 2020	64205	661	7386	0
May 31 2020	71575	674	8805	0
Jun 01 2020	75229	610	5563	0
Jun 02 2020	78674	650	4845	0
Jun 03 2020	79058	584	4030	0
Jun 04 2020	78775	658	4284	0
Jun 05 2020	79330	661	4202	0
Jun 06 2020	79547	624	4358	0
Jun 07 2020	80123	693	4757	0
Jun 08 2020	79405	562	3181	0
Jun 09 2020	79339	733	4040	0
Jun 10 2020	78610	714	5087	0
Jun 11 2020	79377	800	5965	0
Jun 12 2020	79893	741	5961	0
Jun 13 2020	78944	741	4383	0
Jun 14 2020	78920	773	4604	0
Jun 15 2020	77624	722	3256	0
Jun 16 2020	75184	808	4164	0
Jun 17 2020	74714	805	3752	0
Jun 18 2020	74837	789	3480	0
Jun 19 2020	73340	704	3537	0
Jun 20 2020	72748	762	3413	0
Jun 21 2020	72372	770	3598	0
Jun 22 2020	70842	688	2511	0
Jun 23 2020	70390	698	3363	0
Jun 24 2020	70403	714	3879	0
Jun 25 2020	69130	701	3913	0
Jun 26 2020	68470	690	3762	0
Jun 27 2020	67139	738	3625	0
Jun 28 2020	65878	717	3430	0
Jun 29 2020	64893	770	2946	0
Jun 30 2020	63715	650	2848	0
Jul 01 2020	62579	690	3264	0
Jul 02 2020	61694	560	3527	0
Jul 03 2020	61027	507	3595	0
Jul 04 2020	60232	507	3481	0
Jul 05 2020	59099	435	3638	0
Jul 06 2020	57926	496	2985	0
Jul 07 2020	57737	445	3575	0
Jul 08 2020	57104	456	3633	0
Jul 09 2020	57043	544	3537	0
Jul 10 2020	56938	467	3198	0
Jul 11 2020	55973	515	3064	0
Jul 12 2020	56086	544	3616	0
Jul 13 2020	55458	528	3797	0
Jul 14 2020	56450	499	3744	0
Jul 15 2020	56632	536	3857	0
Jul 16 2020	55343	557	3862	0
Jul 17 2020	55775	531	3951	0
Jul 18 2020	55093	541	3963	0
Jul 19 2020	54797	517	4090	0
Jul 20 2020	55237	525	4091	0
Jul 21 2020	55525	453	4406	0
Jul 22 2020	56045	443	4463	0
Jul 23 2020	56335	557	4546	0
Jul 24 2020	57205	517	4865	0
Jul 25 2020	56954	467	3923	0
Jul 26 2020	56712	435	4913	0
Jul 27 2020	56567	368	4920	0
Jul 28 2020	57585	365	5288	0
Jul 29 2020	59284	387	5678	0
Jul 30 2020	61843	379	6809	0
Jul 31 2020	65450	424	7243	0
Aug 01 2020	68758	432	7448	0
Aug 02 2020	71537	536	6667	0
Aug 03 2020	71443	440	4250	0
Aug 04 2020	73694	173	6790	0
Aug 05 2020	76855	600	7734	0
Aug 06 2020	80277	456	7785	0
Aug 07 2020	84146	602	8466	0
Aug 08 2020	85959	485	7137	0
Aug 09 2020	87514	608	7012	0
Aug 10 2020	86831	408	5109	0
Aug 11 2020	86418	608	6547	0
Aug 12 2020	88692	419	8875	0
Aug 13 2020	91617	448	9441	0
Aug 14 2020	93137	554	8300	0
Aug 15 2020	96511	584	9507	0
Aug 16 2020	100519	549	10143	0
Aug 17 2020	100183	533	5547	0
Aug 18 2020	104237	472	7828	0
Aug 19 2020	109433	469	9099	0
Aug 20 2020	114262	533	8639	0
Aug 21 2020	118530	562	9008	0
Aug 22 2020	120909	554	9169	0
Aug 23 2020	121226	560	9090	0
Aug 24 2020	118994	400	6112	0
Aug 25 2020	118161	501	6944	0
