Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	2	0	2	0
Mar 07 2020	3	0	1	0
Mar 08 2020	7	0	4	0
Mar 09 2020	21	0	14	0
Mar 10 2020	29	0	8	0
Mar 11 2020	44	1	16	0
Mar 12 2020	44	3	3	0
Mar 13 2020	56	0	12	0
Mar 14 2020	99	3	46	0
Mar 15 2020	124	4	29	0
Mar 16 2020	126	0	2	0
Mar 17 2020	168	2	44	0
Mar 18 2020	178	3	15	0
Mar 19 2020	192	0	15	0
Mar 20 2020	203	1	12	0
Mar 21 2020	275	1	76	0
Mar 22 2020	340	6	72	0
Mar 23 2020	411	8	81	0
Mar 24 2020	497	2	88	0
Mar 25 2020	572	3	83	0
Mar 26 2020	634	7	70	0
Mar 27 2020	718	9	94	0
Mar 28 2020	972	14	268	0
Mar 29 2020	1305	3	338	0
Mar 30 2020	1424	7	126	0
Mar 31 2020	1943	10	529	0
Apr 01 2020	2158	8	223	0
Apr 02 2020	2464	11	317	0
Apr 03 2020	2814	29	379	0
Apr 04 2020	2881	8	75	0
Apr 05 2020	3023	8	150	0
Apr 06 2020	3419	11	407	0
Apr 07 2020	3503	14	103	0
Apr 08 2020	3592	5	104	0
Apr 09 2020	3749	21	203	0
Apr 10 2020	3834	18	117	0
Apr 11 2020	4024	26	229	0
Apr 12 2020	4154	50	217	0
Apr 13 2020	4375	18	279	0
Apr 14 2020	4593	20	286	0
Apr 15 2020	4751	14	227	0
Apr 16 2020	4863	13	204	0
Apr 17 2020	5004	25	214	0
Apr 18 2020	5174	10	206	0
Apr 19 2020	5278	12	169	0
Apr 20 2020	5418	19	197	0
Apr 21 2020	5508	9	138	0
Apr 22 2020	5571	9	109	0
Apr 23 2020	5797	16	267	0
Apr 24 2020	5953	15	207	0
Apr 25 2020	6008	17	101	0
Apr 26 2020	6216	7	280	0
Apr 27 2020	6334	10	195	0
Apr 28 2020	6453	19	178	0
Apr 29 2020	6631	28	250	0
Apr 30 2020	6877	10	272	0
May 01 2020	7109	11	279	0
May 02 2020	7201	24	154	0
May 03 2020	7402	4	290	0
May 04 2020	7547	16	258	0
May 05 2020	7639	14	196	0
May 06 2020	7840	21	315	0
May 07 2020	8040	27	334	0
May 08 2020	8033	11	118	0
May 09 2020	8064	8	144	0
May 10 2020	8151	15	181	0
May 11 2020	8361	7	288	0
May 12 2020	8493	25	260	0
May 13 2020	8595	21	263	0
May 14 2020	8749	18	254	0
May 15 2020	8825	16	212	0
May 16 2020	8927	11	211	0
May 17 2020	9054	7	204	0
May 18 2020	9158	7	202	0
May 19 2020	9262	6	221	0
May 20 2020	9447	5	274	0
May 21 2020	9588	4	210	0
May 22 2020	9648	11	160	0
May 23 2020	9737	6	177	0
May 24 2020	9918	5	254	0
May 25 2020	10123	5	280	0
May 26 2020	10371	13	344	0
May 27 2020	10639	18	374	0
May 28 2020	11069	17	531	0
May 29 2020	11972	21	1029	0
May 30 2020	12466	8	581	0
May 31 2020	13220	7	848	0
Jun 01 2020	13699	3	544	0
Jun 02 2020	13968	6	353	0
Jun 03 2020	14621	8	739	0
Jun 04 2020	15150	10	624	0
Jun 05 2020	15309	3	240	0
Jun 06 2020	15905	7	703	0
Jun 07 2020	16362	9	546	0
Jun 08 2020	16826	8	570	0
Jun 09 2020	17239	6	510	0
Jun 10 2020	17810	10	728	0
Jun 11 2020	17974	9	436	0
Jun 12 2020	18281	16	602	0
Jun 13 2020	18612	22	596	0
Jun 14 2020	18888	14	529	0
Jun 15 2020	19070	10	483	0
Jun 16 2020	19126	5	355	0
Jun 17 2020	19310	5	450	0
Jun 18 2020	19593	8	552	0
Jun 19 2020	19951	14	649	0
Jun 20 2020	20600	20	926	0
Jun 21 2020	20990	19	642	0
Jun 22 2020	21362	8	620	0
Jun 23 2020	22197	9	1125	0
Jun 24 2020	22435	18	463	0
Jun 25 2020	22947	8	762	0
Jun 26 2020	23667	12	988	0
Jun 27 2020	24137	12	718	0
Jun 28 2020	24525	8	642	0
Jun 29 2020	25227	11	967	0
Jun 30 2020	26015	11	1059	0
Jul 01 2020	26803	4	982	0
Jul 02 2020	26858	4	289	0
Jul 03 2020	27983	6	1507	0
Jul 04 2020	29087	10	1470	0
Jul 05 2020	31015	7	2386	0
Jul 06 2020	32845	6	2046	0
Jul 07 2020	34178	6	1516	0
Jul 08 2020	36457	5	2446	0
Jul 09 2020	37627	0	1373	0
Jul 10 2020	38324	46	1142	0
Jul 11 2020	38813	12	1287	0
Jul 12 2020	38679	162	2005	0
Jul 13 2020	34943	63	642	0
Jul 14 2020	35396	6	538	0
Jul 15 2020	36178	11	1289	0
Jul 16 2020	38080	29	2355	0
Jul 17 2020	39541	17	1758	0
Jul 18 2020	41375	113	2233	0
Jul 19 2020	43081	58	2127	0
Jul 20 2020	43906	4	1414	0
Jul 21 2020	45557	2	1832	0
Jul 22 2020	46724	6	1491	0
Jul 23 2020	48119	21	2117	0
Jul 24 2020	50063	15	2070	0
Jul 25 2020	50763	18	1937	0
Jul 26 2020	52367	32	1940	0
Jul 27 2020	53608	14	1586	0
Jul 28 2020	55058	3	1592	0
Jul 29 2020	56470	14	1779	0
Jul 30 2020	22286	23	3810	0
Jul 31 2020	26075	39	3915	0
Aug 01 2020	30857	17	4807	0
Aug 02 2020	35498	20	4873	0
Aug 03 2020	38328	45	3087	0
Aug 04 2020	44356	10	6178	0
Aug 05 2020	47509	8	3328	0
Aug 06 2020	50452	22	3421	0
Aug 07 2020	53734	24	3325	0
Aug 08 2020	57559	41	4066	0
Aug 09 2020	59880	61	2751	0
Aug 10 2020	66106	23	6762	0
Aug 11 2020	68633	18	2711	0
Aug 12 2020	72137	92	4152	0
Aug 13 2020	74651	23	3858	0
Aug 14 2020	79802	15	6027	0
Aug 15 2020	83044	159	4198	0
Aug 16 2020	45975	63	3275	0
Aug 17 2020	49017	18	3166	0
Aug 18 2020	53675	3	4672	0
Aug 19 2020	57501	111	4487	0
Aug 20 2020	60795	86	3834	0
Aug 21 2020	64906	59	4711	0
Aug 22 2020	69362	26	4806	0
Aug 23 2020	55256	31	2281	0
Aug 24 2020	59167	7	4560	0
Aug 25 2020	61717	34	2839	0
Aug 26 2020	65771	99	5165	0
Aug 27 2020	68347	97	3162	0
Aug 28 2020	71723	91	3887	0
Aug 29 2020	74610	93	3561	0
