Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	1	0	1	0
Mar 03 2020	1	0	0	0
Mar 04 2020	1	0	0	0
Mar 05 2020	5	0	4	0
Mar 06 2020	11	0	6	0
Mar 07 2020	11	0	1	1
Mar 08 2020	14	0	3	0
Mar 09 2020	17	0	3	0
Mar 10 2020	17	0	0	0
Mar 11 2020	25	0	8	0
Mar 12 2020	31	0	6	0
Mar 13 2020	37	0	11	5
Mar 14 2020	51	0	14	0
Mar 15 2020	55	0	4	0
Mar 16 2020	85	0	30	0
Mar 17 2020	106	0	21	0
Mar 18 2020	139	0	33	0
Mar 19 2020	190	1	52	0
Mar 20 2020	240	0	54	4
Mar 21 2020	289	0	53	4
Mar 22 2020	350	0	61	0
Mar 23 2020	420	0	71	1
Mar 24 2020	472	0	57	5
Mar 25 2020	626	2	163	7
Mar 26 2020	799	0	182	9
Mar 27 2020	987	1	196	7
Mar 28 2020	1211	0	228	4
Mar 29 2020	1462	4	270	15
Mar 30 2020	1761	1	302	2
Mar 31 2020	2199	8	501	55
Apr 01 2020	2563	7	440	69
Apr 02 2020	3283	6	771	45
Apr 03 2020	3834	4	601	46
Apr 04 2020	4355	9	582	52
Apr 05 2020	4989	2	658	22
Apr 06 2020	5890	2	954	51
Apr 07 2020	6945	11	1154	88
Apr 08 2020	8029	5	1175	86
Apr 09 2020	9357	13	1459	118
Apr 10 2020	11028	18	1786	97
Apr 11 2020	12433	12	1667	250
Apr 12 2020	14349	24	2186	246
Apr 13 2020	16710	18	2558	179
Apr 14 2020	19238	22	2774	224
Apr 15 2020	22306	28	3388	292
Apr 16 2020	25402	34	3448	318
Apr 17 2020	29145	41	4070	286
Apr 18 2020	33423	40	4785	467
Apr 19 2020	39201	48	6060	234
Apr 20 2020	43270	44	4268	155
Apr 21 2020	48434	51	5642	427
Apr 22 2020	53066	57	5236	547
Apr 23 2020	57327	42	4774	471
Apr 24 2020	62439	60	5849	677
Apr 25 2020	67657	66	5966	682
Apr 26 2020	73435	66	6361	517
Apr 27 2020	79007	47	6198	579
Apr 28 2020	84235	73	6411	1110
Apr 29 2020	88141	105	5841	1830
Apr 30 2020	93806	101	7099	1333
May 01 2020	100042	96	7933	1601
May 02 2020	107819	53	9623	1793
May 03 2020	116768	58	10633	1626
May 04 2020	125817	76	10581	1456
May 05 2020	134054	95	10102	1770
May 06 2020	143065	86	10559	1462
May 07 2020	151732	88	11231	2476
May 08 2020	159528	98	10699	2805
May 09 2020	164933	104	10817	5308
May 10 2020	173467	88	11012	2390
May 11 2020	179534	94	11656	5495
May 12 2020	186615	107	10899	3711
May 13 2020	192056	96	10028	4491
May 14 2020	196410	93	9974	5527
May 15 2020	202199	113	10598	4696
May 16 2020	206340	119	9200	4940
May 17 2020	211748	94	9709	4207
May 18 2020	217747	91	8926	2836
May 19 2020	220974	115	9263	5921
May 20 2020	220341	135	8764	9262
May 21 2020	221774	127	8849	7289
May 22 2020	223374	150	8894	7144
May 23 2020	224558	139	9434	8111
May 24 2020	227641	153	8599	5363
May 25 2020	230996	92	8946	5499
May 26 2020	227406	174	8915	12331
May 27 2020	224504	161	8338	11079
May 28 2020	223916	174	8371	8785
May 29 2020	223992	232	8572	8264
May 30 2020	224551	181	8952	8212
May 31 2020	229267	138	9268	4414
Jun 01 2020	234146	162	9035	3994
Jun 02 2020	231719	182	8863	11108
Jun 03 2020	231105	178	8536	8972
Jun 04 2020	231101	169	8831	8666
Jun 05 2020	231626	144	8726	8057
Jun 06 2020	231576	197	8855	8708
Jun 07 2020	235083	134	8984	5343
Jun 08 2020	239999	112	8985	3957
Jun 09 2020	236714	171	8595	11709
Jun 10 2020	234516	216	8404	10386
Jun 11 2020	234754	174	8779	8367
Jun 12 2020	235338	183	8987	8220
Jun 13 2020	238659	114	8706	5271
Jun 14 2020	241966	119	8835	5409
Jun 15 2020	245580	143	8246	4489
Jun 16 2020	243868	193	8248	9767
Jun 17 2020	241481	194	7843	10036
Jun 18 2020	239468	182	7790	9621
Jun 19 2020	236816	181	7972	10443
Jun 20 2020	234358	161	7889	10186
Jun 21 2020	236858	109	7728	5119
Jun 22 2020	239658	95	7600	4705
Jun 23 2020	234917	153	7425	12013
Jun 24 2020	229546	154	7176	12393
Jun 25 2020	230225	92	7113	6342
Jun 26 2020	227861	176	6800	8988
Jun 27 2020	225325	188	6852	9200
Jun 28 2020	226277	104	6791	5735
Jun 29 2020	228560	93	6719	4343
Jun 30 2020	225879	154	6693	9220
Jul 01 2020	221938	216	6556	10281
Jul 02 2020	222504	147	6760	6047
Jul 03 2020	220131	176	6718	8915
Jul 04 2020	217609	168	6632	8986
Jul 05 2020	220340	134	6736	3871
Jul 06 2020	223237	135	6611	3579
Jul 07 2020	219856	198	6368	9551
Jul 08 2020	217614	173	6562	8631
Jul 09 2020	215142	176	6509	8805
Jul 10 2020	213851	174	6635	7752
Jul 11 2020	211896	188	6611	8378
Jul 12 2020	214766	130	6615	3615
Jul 13 2020	218239	104	6537	2960
Jul 14 2020	215508	175	6248	8804
Jul 15 2020	211350	156	6422	10424
Jul 16 2020	209168	167	6428	8443
Jul 17 2020	207707	186	6406	7681
Jul 18 2020	206327	124	6234	7490
Jul 19 2020	208860	95	6109	3481
Jul 20 2020	211457	85	5940	3258
Jul 21 2020	208364	153	5842	8782
Jul 22 2020	204392	165	5862	9669
Jul 23 2020	201816	147	5848	8277
Jul 24 2020	199029	154	5811	8444
Jul 25 2020	196388	146	5871	8366
Jul 26 2020	198966	77	5765	3110
Jul 27 2020	201437	85	5635	3079
Jul 28 2020	197794	150	5395	8888
Jul 29 2020	194984	169	5475	8116
Jul 30 2020	191042	129	5509	9322
Jul 31 2020	187608	161	5482	8755
Aug 01 2020	184861	95	5462	8114
Aug 02 2020	186569	70	5427	3649
Aug 03 2020	188464	79	5394	3420
Aug 04 2020	185601	144	5159	7878
Aug 05 2020	183111	139	5204	7555
Aug 06 2020	180931	116	5267	7331
Aug 07 2020	178818	119	5241	7235
Aug 08 2020	177286	129	5212	6615
Aug 09 2020	179183	77	5189	3215
Aug 10 2020	180972	70	5118	3259
Aug 11 2020	179293	130	4945	6494
Aug 12 2020	177143	129	5102	7123
Aug 13 2020	175978	124	5057	6098
Aug 14 2020	174361	114	5065	6568
Aug 15 2020	172856	119	5061	6447
Aug 16 2020	174200	68	4969	3557
Aug 17 2020	175904	55	4892	3133
Aug 18 2020	173993	132	4748	6527
