Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	1	0	0	0
Mar 06 2020	1	0	0	0
Mar 07 2020	2	0	1	0
Mar 08 2020	3	0	1	0
Mar 09 2020	7	0	4	0
Mar 10 2020	7	0	0	0
Mar 11 2020	13	0	6	0
Mar 12 2020	16	0	3	0
Mar 13 2020	24	0	8	0
Mar 14 2020	38	0	14	0
Mar 15 2020	61	0	23	0
Mar 16 2020	64	0	3	0
Mar 17 2020	85	0	21	0
Mar 18 2020	116	0	31	0
Mar 19 2020	150	0	34	0
Mar 20 2020	202	0	52	0
Mar 21 2020	238	0	38	0
Mar 22 2020	272	0	34	0
Mar 23 2020	399	0	129	0
Mar 24 2020	552	0	153	0
Mar 25 2020	700	0	156	0
Mar 26 2020	919	0	219	0
Mar 27 2020	1143	0	244	0
Mar 28 2020	1160	0	17	0
Mar 29 2020	1253	1	94	0
Mar 30 2020	1298	1	46	0
Mar 31 2020	1323	2	27	0
Apr 01 2020	1331	0	27	0
Apr 02 2020	1413	0	82	0
Apr 03 2020	1407	4	43	0
Apr 04 2020	1487	0	80	0
Apr 05 2020	1555	2	70	0
Apr 06 2020	1585	1	31	0
Apr 07 2020	1647	1	63	0
Apr 08 2020	1739	5	97	0
Apr 09 2020	1829	0	90	0
Apr 10 2020	1575	6	69	0
Apr 11 2020	1599	1	25	0
Apr 12 2020	1745	0	146	0
Apr 13 2020	1843	2	100	0
Apr 14 2020	1987	0	144	0
Apr 15 2020	2072	7	92	0
Apr 16 2020	1662	14	100	0
Apr 17 2020	1839	2	179	0
Apr 18 2020	2090	2	253	0
Apr 19 2020	2213	2	125	0
Apr 20 2020	2199	4	143	0
Apr 21 2020	2365	0	166	0
Apr 22 2020	2529	7	171	0
Apr 23 2020	2418	10	320	0
Apr 24 2020	2683	4	269	0
Apr 25 2020	2818	7	142	0
Apr 26 2020	3003	1	186	0
Apr 27 2020	3248	3	248	0
Apr 28 2020	2845	3	204	0
Apr 29 2020	3191	10	356	0
Apr 30 2020	3490	0	299	0
May 01 2020	3472	13	306	0
May 02 2020	3684	7	387	0
May 03 2020	4126	8	450	0
May 04 2020	4361	7	440	0
May 05 2020	4705	10	354	0
May 06 2020	4528	5	237	0
May 07 2020	4947	8	427	0
May 08 2020	5597	17	667	0
May 09 2020	5282	8	528	0
May 10 2020	5682	8	599	0
May 11 2020	6126	12	641	0
May 12 2020	6828	0	702	0
May 13 2020	7153	13	728	0
May 14 2020	6866	19	669	0
May 15 2020	7238	9	790	0
May 16 2020	7663	14	836	0
May 17 2020	8296	3	1167	0
May 18 2020	8904	22	924	0
May 19 2020	8983	27	772	0
May 20 2020	8767	28	808	0
May 21 2020	9877	31	1141	0
May 22 2020	9681	29	994	0
May 23 2020	10896	10	1225	0
May 24 2020	11119	22	1247	0
May 25 2020	11282	53	1038	0
May 26 2020	11062	44	653	0
May 27 2020	12002	29	1683	0
May 28 2020	12526	26	1475	0
May 29 2020	13612	35	1848	0
May 30 2020	14287	33	1737	0
May 31 2020	15275	41	1726	0
Jun 01 2020	16452	22	1684	0
Jun 02 2020	16837	51	1464	0
Jun 03 2020	17145	38	1723	0
Jun 04 2020	18736	57	3287	0
Jun 05 2020	19545	61	2658	0
Jun 06 2020	20877	45	2554	0
Jun 07 2020	23049	47	2326	0
Jun 08 2020	23830	84	2610	0
Jun 09 2020	22946	84	2125	0
Jun 10 2020	22828	49	2445	0
Jun 11 2020	24160	76	3166	0
Jun 12 2020	25703	71	3379	0
Jun 13 2020	27610	70	3832	0
Jun 14 2020	30189	58	4328	0
Jun 15 2020	32270	91	3516	0
Jun 16 2020	32821	58	2818	0
Jun 17 2020	34592	50	4103	0
Jun 18 2020	37434	64	3499	0
Jun 19 2020	38262	97	3848	0
Jun 20 2020	40695	47	4996	0
Jun 21 2020	44000	54	4649	0
Jun 22 2020	46405	62	4314	0
Jun 23 2020	49225	114	4545	0
Jun 24 2020	53001	106	5722	0
Jun 25 2020	56411	90	6619	0
Jun 26 2020	58453	49	6253	0
Jun 27 2020	62631	75	7254	0
Jun 28 2020	67117	44	6372	0
Jun 29 2020	71510	75	6167	0
Jun 30 2020	75418	132	6987	0
Jul 01 2020	80999	95	8173	0
Jul 02 2020	83672	98	8781	0
Jul 03 2020	88354	111	9118	0
Jul 04 2020	94238	76	10919	0
Jul 05 2020	100785	178	8826	0
Jul 06 2020	105136	114	9025	0
Jul 07 2020	110656	197	10195	0
Jul 08 2020	114846	103	8863	0
Jul 09 2020	122224	122	13757	0
Jul 10 2020	129301	144	12423	0
Jul 11 2020	133226	114	13579	0
Jul 12 2020	138044	111	12131	0
Jul 13 2020	146185	96	11624	0
Jul 14 2020	148478	179	10559	0
Jul 15 2020	146701	110	12834	0
Jul 16 2020	154803	222	13252	0
Jul 17 2020	155450	139	13454	0
Jul 18 2020	164596	148	13365	0
Jul 19 2020	169156	88	13530	0
Jul 20 2020	174539	144	9356	0
Jul 21 2020	169199	200	8219	0
Jul 22 2020	160683	587	13229	0
Jul 23 2020	166581	157	13183	0
Jul 24 2020	170784	257	14028	0
Jul 25 2020	165354	321	12278	0
Jul 26 2020	174503	117	11301	0
Jul 27 2020	171429	306	7139	0
Jul 28 2020	166047	195	7276	0
Jul 29 2020	166514	246	11431	0
Jul 30 2020	165599	324	11113	0
Jul 31 2020	159812	198	11081	0
Aug 01 2020	153440	152	10168	0
Aug 02 2020	156671	219	8245	0
Aug 03 2020	151027	178	5409	0
Aug 04 2020	149407	354	4483	0
Aug 05 2020	143996	425	8611	0
Aug 06 2020	141928	314	8357	0
Aug 07 2020	141463	313	7336	0
Aug 08 2020	139045	309	7759	0
Aug 09 2020	138605	203	6711	0
Aug 10 2020	136387	219	3762	0
Aug 11 2020	129800	134	2526	0
Aug 12 2020	126421	266	2827	0
Aug 13 2020	124501	268	3970	0
Aug 14 2020	106257	294	6313	0
Aug 15 2020	105434	125	4540	0
Aug 16 2020	103513	166	3714	0
Aug 17 2020	100596	147	2556	0
Aug 18 2020	94734	290	2272	0
Aug 19 2020	92502	163	3940	0
Aug 20 2020	90442	200	3903	0
Aug 21 2020	90679	231	3419	0
Aug 22 2020	90211	148	3729	0
Aug 23 2020	90524	74	2744	0
Aug 24 2020	82023	103	1687	0
Aug 25 2020	79536	153	1576	0
Aug 26 2020	77147	199	2700	0
Aug 27 2020	73485	130	2601	0
