Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	708	0	0	0
Feb 16 2020	734	0	26	0
Feb 17 2020	762	0	28	0
Feb 18 2020	790	0	28	0
Feb 19 2020	808	0	18	0
Feb 20 2020	865	0	57	0
Feb 21 2020	927	0	62	0
Feb 22 2020	987	0	60	0
Feb 23 2020	1062	0	75	0
Feb 24 2020	1170	0	108	0
Feb 25 2020	1299	0	129	0
Feb 26 2020	1446	0	147	0
Feb 27 2020	1626	0	180	0
Feb 28 2020	1943	0	317	0
Feb 29 2020	2181	0	238	0
Mar 01 2020	2857	0	676	0
Mar 02 2020	3642	0	785	0
Mar 03 2020	4417	1	776	0
Mar 04 2020	5350	1	934	0
Mar 05 2020	6604	1	1256	0
Mar 06 2020	8183	5	1587	0
Mar 07 2020	9971	2	1814	0
Mar 08 2020	12105	7	2143	0
Mar 09 2020	15420	13	3328	0
Mar 10 2020	19879	6	4568	0
Mar 11 2020	24431	20	4620	0
Mar 12 2020	30194	32	5801	0
Mar 13 2020	37768	49	7627	0
Mar 14 2020	44655	65	7276	0
Mar 15 2020	52299	102	7746	0
Mar 16 2020	61486	50	9250	0
Mar 17 2020	69407	198	8617	0
Mar 18 2020	77994	109	8749	0
Mar 19 2020	86212	200	8444	0
Mar 20 2020	95860	272	10401	0
Mar 21 2020	102276	298	7251	0
Mar 22 2020	108030	405	6609	0
Mar 23 2020	114769	559	8078	0
Mar 24 2020	120577	705	6952	0
Mar 25 2020	125101	680	6777	0
Mar 26 2020	128912	744	6203	0
Mar 27 2020	131687	801	5918	0
Mar 28 2020	133117	875	5233	0
Mar 29 2020	133986	851	4144	0
Mar 30 2020	135995	946	5026	0
Mar 31 2020	137053	775	4312	0
Apr 01 2020	138061	957	5353	0
Apr 02 2020	137318	996	4349	0
Apr 03 2020	137030	881	4363	0
Apr 04 2020	136132	776	3584	0
Apr 05 2020	134689	719	3137	0
Apr 06 2020	135062	725	3455	0
Apr 07 2020	134680	730	3119	0
Apr 08 2020	132487	774	3394	0
Apr 09 2020	130872	679	3208	0
Apr 10 2020	129812	657	3100	0
Apr 11 2020	128645	544	2818	0
Apr 12 2020	126954	625	2216	0
Apr 13 2020	126197	567	2146	0
Apr 14 2020	125111	517	2208	0
Apr 15 2020	123520	577	2335	0
Apr 16 2020	121488	330	2242	0
Apr 17 2020	122998	361	1871	0
Apr 18 2020	122854	586	1636	0
Apr 19 2020	119659	425	1122	0
Apr 20 2020	118687	414	1453	0
Apr 21 2020	117502	446	1305	0
Apr 22 2020	115206	451	1449	0
Apr 23 2020	112388	456	1167	0
Apr 24 2020	94741	380	1101	0
Apr 25 2020	90667	392	751	0
Apr 26 2020	86755	298	551	0
Apr 27 2020	84006	343	699	0
Apr 28 2020	81461	312	838	0
Apr 29 2020	72708	469	742	0
Apr 30 2020	68139	278	735	0
May 01 2020	64103	291	741	0
May 02 2020	60652	286	649	0
May 03 2020	58627	170	448	0
May 04 2020	55902	170	520	0
May 05 2020	52949	192	324	0
May 06 2020	48364	253	309	0
May 07 2020	43908	221	325	0
May 08 2020	39499	237	317	0
May 09 2020	34813	186	249	0
May 10 2020	31673	148	290	0
May 11 2020	30718	127	579	0
May 12 2020	29640	116	538	0
May 13 2020	28128	114	634	0
May 14 2020	26482	137	562	0
May 15 2020	24759	99	612	0
May 16 2020	22864	64	347	0
May 17 2020	21305	54	312	0
May 18 2020	20249	36	580	0
May 19 2020	19745	42	618	0
May 20 2020	18807	68	515	0
May 21 2020	18050	54	548	0
May 22 2020	17222	73	621	0
May 23 2020	16408	52	353	0
