Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	0	0	0	0
Mar 07 2020	0	0	0	0
Mar 08 2020	0	0	0	0
Mar 09 2020	0	0	0	0
Mar 10 2020	0	0	0	0
Mar 11 2020	0	0	0	0
Mar 12 2020	0	0	0	0
Mar 13 2020	0	0	11	0
Mar 14 2020	0	0	3	0
Mar 15 2020	0	0	33	0
Mar 16 2020	0	0	79	0
Mar 17 2020	0	0	139	0
Mar 18 2020	0	1	253	0
Mar 19 2020	0	2	457	0
Mar 20 2020	0	5	846	0
Mar 21 2020	0	12	753	0
Mar 22 2020	0	9	786	0
Mar 23 2020	0	7	797	0
Mar 24 2020	0	7	933	0
Mar 25 2020	0	15	1526	0
Mar 26 2020	0	16	3253	0
Mar 27 2020	0	17	5628	0
Mar 28 2020	0	16	4635	0
Mar 29 2020	0	23	4937	0
Mar 30 2020	0	37	4379	0
Mar 31 2020	0	46	7355	0
Apr 01 2020	0	63	5843	0
Apr 02 2020	0	79	6680	0
Apr 03 2020	0	69	7578	0
Apr 04 2020	0	76	8196	0
Apr 05 2020	0	73	8527	0
Apr 06 2020	0	75	8563	0
Apr 07 2020	0	76	10586	0
Apr 08 2020	0	87	11198	0
Apr 09 2020	0	96	11033	0
Apr 10 2020	0	98	12912	0
Apr 11 2020	0	95	13976	0
Apr 12 2020	0	97	13026	0
Apr 13 2020	0	98	11133	0
Apr 14 2020	0	107	11049	0
Apr 15 2020	0	115	11645	0
Apr 16 2020	0	125	13059	0
Apr 17 2020	0	126	11840	0
Apr 18 2020	0	121	10290	0
Apr 19 2020	0	127	10818	0
Apr 20 2020	0	123	12714	0
Apr 21 2020	0	119	12542	0
Apr 22 2020	0	117	8386	0
Apr 23 2020	0	115	8476	0
Apr 24 2020	0	109	8492	0
Apr 25 2020	0	106	7782	0
Apr 26 2020	0	99	6411	0
Apr 27 2020	0	95	5796	0
Apr 28 2020	0	92	6506	0
Apr 29 2020	0	89	7986	0
Apr 30 2020	0	93	7113	0
May 01 2020	0	84	5951	0
May 02 2020	0	78	5394	0
May 03 2020	0	61	4542	0
May 04 2020	0	64	4390	0
May 05 2020	0	59	4983	0
May 06 2020	0	64	6128	0
May 07 2020	0	57	5378	0
May 08 2020	0	48	5027	0
May 09 2020	0	50	4205	0
May 10 2020	0	47	4194	0
May 11 2020	0	55	3030	0
May 12 2020	0	53	4635	0
May 13 2020	0	58	4458	0
May 14 2020	0	55	4447	0
May 15 2020	0	48	4646	0
May 16 2020	0	41	4379	0
May 17 2020	0	44	3721	0
May 18 2020	0	31	3150	0
May 19 2020	0	28	2780	0
May 20 2020	0	23	2644	0
May 21 2020	0	27	2614	0
May 22 2020	0	27	2589	0
May 23 2020	0	32	3226	0
May 24 2020	0	32	3104	0
May 25 2020	0	29	2685	0
May 26 2020	0	28	2579	0
May 27 2020	0	34	2815	0
May 28 2020	0	30	3215	0
May 29 2020	0	28	3104	0
May 30 2020	0	26	2674	0
May 31 2020	0	25	2282	0
Jun 01 2020	0	23	2249	0
Jun 02 2020	0	22	2138	0
Jun 03 2020	0	24	2358	0
Jun 04 2020	0	21	2687	0
Jun 05 2020	0	18	2530	0
Jun 06 2020	0	21	2388	0
Jun 07 2020	0	23	2486	0
Jun 08 2020	0	19	2690	0
Jun 09 2020	0	18	2701	0
Jun 10 2020	0	17	2508	0
Jun 11 2020	0	17	2685	0
Jun 12 2020	0	15	3250	0
Jun 13 2020	0	14	3969	0
Jun 14 2020	0	15	4249	0
Jun 15 2020	0	18	4330	0
Jun 16 2020	0	17	3990	0
Jun 17 2020	0	19	3887	0
Jun 18 2020	0	21	3547	0
Jun 19 2020	0	23	3302	0
Jun 20 2020	0	22	3395	0
Jun 21 2020	0	23	3242	0
Jun 22 2020	0	24	3297	0
Jun 23 2020	0	27	3449	0
Jun 24 2020	0	24	4058	0
Jun 25 2020	0	21	3966	0
Jun 26 2020	0	19	3797	0
Jun 27 2020	0	17	3732	0
Jun 28 2020	0	15	3688	0
Jun 29 2020	0	18	3737	0
Jun 30 2020	0	16	3517	0
Jul 01 2020	0	19	3242	0
Jul 02 2020	0	17	3226	0
Jul 03 2020	0	19	3188	0
Jul 04 2020	0	20	3139	0
Jul 05 2020	0	19	3123	0
Jul 06 2020	0	16	2954	0
Jul 07 2020	0	19	2864	0
Jul 08 2020	0	22	2832	0
Jul 09 2020	0	18	2785	0
Jul 10 2020	0	23	2728	0
Jul 11 2020	0	21	2764	0
Jul 12 2020	0	19	2753	0
Jul 13 2020	0	19	2742	0
Jul 14 2020	0	20	2698	0
Jul 15 2020	0	17	2576	0
Jul 16 2020	0	21	2538	0
Jul 17 2020	0	18	2519	0
Jul 18 2020	0	17	2497	0
Jul 19 2020	0	16	2513	0
Jul 20 2020	0	17	2532	0
Jul 21 2020	0	18	2524	0
Jul 22 2020	0	19	2453	0
Jul 23 2020	0	18	2483	0
Jul 24 2020	0	17	2549	0
Jul 25 2020	0	16	2505	0
Jul 26 2020	0	17	2521	0
Jul 27 2020	0	17	2500	0
Jul 28 2020	0	15	2619	0
Jul 29 2020	0	14	2562	0
Jul 30 2020	0	15	2630	0
Jul 31 2020	0	17	2671	0
Aug 01 2020	0	19	2709	0
Aug 02 2020	0	18	2685	0
Aug 03 2020	0	19	2706	0
Aug 04 2020	0	18	2946	0
Aug 05 2020	0	19	3204	0
Aug 06 2020	0	14	3136	0
Aug 07 2020	0	15	3223	0
Aug 08 2020	0	16	3188	0
Aug 09 2020	0	15	3215	0
Aug 10 2020	0	14	3245	0
Aug 11 2020	0	15	3218	0
Aug 12 2020	0	18	3297	0
Aug 13 2020	0	21	3381	0
Aug 14 2020	0	22	3335	0
Aug 15 2020	0	21	3416	0
Aug 16 2020	0	19	3242	0
Aug 17 2020	0	22	3354	0
Aug 18 2020	0	20	3435	0
Aug 19 2020	0	23	3544	0
Aug 20 2020	0	19	3841	0
Aug 21 2020	0	22	3272	0
Aug 22 2020	0	22	3561	0
Aug 23 2020	0	19	3310	0
Aug 24 2020	0	18	3925	0
Aug 25 2020	0	24	4086	0
Aug 26 2020	0	20	3571	0
Aug 27 2020	0	26	4056	0
Aug 28 2020	0	36	4126	0
Aug 29 2020	0	39	4213	0
Aug 30 2020	0	42	4031	0
Aug 31 2020	0	44	4317	0
Sep 01 2020	0	47	4276	0
