Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	22	0	0	0
Feb 16 2020	22	0	0	0
Feb 17 2020	22	0	0	0
Feb 18 2020	23	0	1	0
Feb 19 2020	23	0	0	0
Feb 20 2020	23	0	0	0
Feb 21 2020	23	0	0	0
Feb 22 2020	25	0	2	0
Feb 23 2020	24	1	0	0
Feb 24 2020	30	0	6	0
Feb 25 2020	32	0	2	0
Feb 26 2020	35	0	3	0
Feb 27 2020	37	0	2	0
Feb 28 2020	45	0	8	0
Feb 29 2020	57	0	12	0
Mar 01 2020	61	0	4	0
Mar 02 2020	81	0	20	0
Mar 03 2020	121	1	41	0
Mar 04 2020	179	0	58	0
Mar 05 2020	224	1	56	0
Mar 06 2020	271	2	49	0
Mar 07 2020	352	2	83	0
Mar 08 2020	420	0	68	0
Mar 09 2020	473	2	55	0
Mar 10 2020	616	5	148	0
Mar 11 2020	878	3	265	0
Mar 12 2020	1274	7	403	0
Mar 13 2020	1745	13	484	0
Mar 14 2020	2207	16	478	0
Mar 15 2020	2536	21	352	0
Mar 16 2020	2915	30	441	0
Mar 17 2020	3454	50	602	0
Mar 18 2020	4179	58	783	0
Mar 19 2020	5090	73	984	0
Mar 20 2020	6051	79	1040	0
Mar 21 2020	7158	118	1253	0
Mar 22 2020	8198	143	1183	0
Mar 23 2020	9334	183	1361	0
Mar 24 2020	11417	206	2289	0
Mar 25 2020	13507	263	2353	0
Mar 26 2020	15836	337	2666	0
Mar 27 2020	18465	410	3039	0
Mar 28 2020	21157	463	3155	0
Mar 29 2020	23415	516	2774	0
Mar 30 2020	25648	585	2818	0
Mar 31 2020	29133	710	4195	0
Apr 01 2020	32769	827	4463	0
Apr 02 2020	36738	922	4891	0
Apr 03 2020	40556	1006	4824	0
Apr 04 2020	44353	1056	4853	0
Apr 05 2020	47183	1146	3976	0
Apr 06 2020	49520	1219	3556	0
Apr 07 2020	53625	1168	5273	0
Apr 08 2020	57810	1292	5477	0
Apr 09 2020	61497	1459	5146	0
Apr 10 2020	64792	1371	4875	0
Apr 11 2020	67800	1319	4327	0
Apr 12 2020	70023	1362	3585	0
Apr 13 2020	72154	1376	3507	0
Apr 14 2020	75127	1230	4203	0
Apr 15 2020	78210	1252	4335	0
Apr 16 2020	82005	1275	5070	0
Apr 17 2020	85977	1320	5292	0
Apr 18 2020	89687	1267	4977	0
Apr 19 2020	93243	1188	4744	0
Apr 20 2020	96002	1122	3881	0
Apr 21 2020	99284	1159	4441	0
Apr 22 2020	102998	1082	4796	0
Apr 23 2020	107414	1101	5517	0
Apr 24 2020	111543	1037	5166	0
Apr 25 2020	115500	1004	4961	0
Apr 26 2020	118339	918	3757	0
Apr 27 2020	120921	894	3476	0
Apr 28 2020	124794	866	4739	0
Apr 29 2020	128713	800	4719	0
Apr 30 2020	133329	817	5433	0
May 01 2020	137510	780	4961	0
May 02 2020	141491	785	4766	0
May 03 2020	144044	705	3258	0
May 04 2020	146385	661	3002	0
May 05 2020	149107	676	3398	0
May 06 2020	152151	642	3686	0
May 07 2020	155356	627	3832	0
May 08 2020	158514	629	3787	0
May 09 2020	161010	568	3064	0
May 10 2020	162641	539	2170	0
May 11 2020	164485	493	2337	0
May 12 2020	167670	427	3612	0
May 13 2020	170639	441	3410	0
May 14 2020	173515	454	3330	0
May 15 2020	175680	465	2630	0
May 16 2020	177789	421	2530	0
May 17 2020	179452	419	2082	0
May 18 2020	180912	377	1837	0
May 19 2020	183086	407	2581	0
May 20 2020	185778	371	3063	0
May 21 2020	188144	353	2719	0
May 22 2020	186773	342	2567	0
May 23 2020	185207	300	2057	0
May 24 2020	183658	284	1532	0
May 25 2020	179693	281	1373	0
May 26 2020	177873	279	1625	0
May 27 2020	177027	299	2070	0
May 28 2020	174208	281	1825	0
May 29 2020	172234	288	1757	0
May 30 2020	166240	254	1531	0
May 31 2020	162701	219	1132	0
Jun 01 2020	159036	195	1080	0
Jun 02 2020	156537	199	1439	0
Jun 03 2020	153601	233	1492	0
Jun 04 2020	151040	203	1369	0
Jun 05 2020	148299	183	1249	0
Jun 06 2020	144493	184	1123	0
Jun 07 2020	140567	151	804	0
Jun 08 2020	135926	163	722	0
Jun 09 2020	132778	161	1099	0
Jun 10 2020	130382	137	1165	0
Jun 11 2020	127688	166	1196	0
Jun 12 2020	124712	121	1013	0
Jun 13 2020	121059	135	1053	0
Jun 14 2020	117623	101	886	0
Jun 15 2020	114655	136	826	0
Jun 16 2020	111793	107	1045	0
Jun 17 2020	109280	120	1103	0
Jun 18 2020	106924	105	1017	0
Jun 19 2020	102736	89	1022	0
Jun 20 2020	98293	88	993	0
Jun 21 2020	94684	87	683	0
Jun 22 2020	91382	80	636	0
Jun 23 2020	88682	83	899	0
Jun 24 2020	85713	97	883	0
Jun 25 2020	81102	101	777	0
Jun 26 2020	76773	108	726	0
Jun 27 2020	73401	79	666	0
Jun 28 2020	70603	73	653	0
Jun 29 2020	67489	70	449	0
Jun 30 2020	64679	69	724	0
Jul 01 2020	62326	81	623	0
Jul 02 2020	60145	54	652	0
Jul 03 2020	57650	61	606	0
Jul 04 2020	55078	48	568	0
Jul 05 2020	52403	52	399	0
Jul 06 2020	49741	52	558	0
Jul 07 2020	47975	54	714	0
Jul 08 2020	46470	43	609	0
Jul 09 2020	45870	47	713	0
Jul 10 2020	44237	61	722	0
Jul 11 2020	41862	44	568	0
Jul 12 2020	39676	38	458	0
Jul 13 2020	37865	32	366	0
Jul 14 2020	37102	45	740	0
Jul 15 2020	36039	42	705	0
Jul 16 2020	35039	41	777	0
Jul 17 2020	34122	21	712	0
Jul 18 2020	32850	34	582	0
Jul 19 2020	31911	31	505	0
Jul 20 2020	30612	24	448	0
Jul 21 2020	30010	31	830	0
Jul 22 2020	29321	31	788	0
Jul 23 2020	28507	34	816	0
Jul 24 2020	27683	36	808	0
Jul 25 2020	26991	19	774	0
Jul 26 2020	26123	23	530	0
Jul 27 2020	25472	32	563	0
Jul 28 2020	25242	18	869	0
Jul 29 2020	24547	26	856	0
Jul 30 2020	24729	28	1062	0
Jul 31 2020	24543	17	946	0
Aug 01 2020	23848	31	698	0
Aug 02 2020	23113	20	559	0
Aug 03 2020	22297	17	564	0
Aug 04 2020	22465	23	1060	0
Aug 05 2020	22392	27	1066	0
Aug 06 2020	22486	13	1091	0
Aug 07 2020	22490	21	1105	0
Aug 08 2020	22246	24	973	0
Aug 09 2020	21770	22	710	0
Aug 10 2020	21283	19	627	0
Aug 11 2020	21899	25	1499	0
Aug 12 2020	22448	20	1378	0
Aug 13 2020	23092	24	1242	0
Aug 14 2020	23221	23	1156	0
Aug 15 2020	23169	18	1185	0
Aug 16 2020	23069	23	714	0
Aug 17 2020	22848	15	602	0
Aug 18 2020	23391	21	1298	0
Aug 19 2020	23889	15	1116	0
Aug 20 2020	24441	13	1282	0
Aug 21 2020	25347	16	1498	0
Aug 22 2020	26052	10	1218	0
Aug 23 2020	26269	12	842	0
Aug 24 2020	26570	17	831	0
Aug 25 2020	27509	9	1300	0
Aug 26 2020	28192	22	1270	0
Aug 27 2020	28946	16	1388	0
Aug 28 2020	29899	12	1591	0
Aug 29 2020	31018	12	1632	0
Aug 30 2020	31421	8	1230	0
Aug 31 2020	31935	11	1171	0
Sep 01 2020	32917	18	1513	0
Sep 02 2020	34810	11	2288	0
Sep 03 2020	37354	15	3077	0
Sep 04 2020	39874	9	3152	0
Sep 05 2020	42275	15	3092	0
Sep 06 2020	43988	14	2551	0
Sep 07 2020	45719	13	2465	0
Sep 08 2020	49049	24	3931	0
Sep 09 2020	51970	16	3370	0
Sep 10 2020	54777	14	3365	0
Sep 11 2020	57626	16	3628	0
Sep 12 2020	60165	19	3324	0
Sep 13 2020	62063	23	2670	0
Sep 14 2020	63458	20	2154	0
Sep 15 2020	66184	21	3428	0
Sep 16 2020	69144	26	3551	0
Sep 17 2020	72765	31	4399	0
Sep 18 2020	76568	38	4675	0
Sep 19 2020	80640	30	4973	0
Sep 20 2020	84745	25	4889	0
Sep 21 2020	89303	40	5340	0
Sep 22 2020	93974	30	5627	0
Sep 23 2020	99709	39	6441	0
Sep 24 2020	105866	58	7096	0
Sep 25 2020	112577	34	7682	0
Sep 26 2020	118994	40	7318	0
Sep 27 2020	125011	47	6810	0
Sep 28 2020	130918	56	7023	0
Sep 29 2020	140033	55	9983	0
Sep 30 2020	149235	48	10366	0
Oct 01 2020	160890	61	12717	0
Oct 02 2020	173061	71	13357	0
Oct 03 2020	185407	74	13854	0
Oct 04 2020	195936	70	11667	0
Oct 05 2020	206791	63	11953	0
Oct 06 2020	222772	68	16753	0
Oct 07 2020	238876	84	17250	0
Oct 08 2020	256547	110	18573	0
Oct 09 2020	273714	97	18425	0
Oct 10 2020	288505	96	15893	0
Oct 11 2020	299785	107	12648	0
Oct 12 2020	310717	128	12202	0
Oct 13 2020	329426	120	19671	0
Oct 14 2020	347276	119	19116	0
Oct 15 2020	366063	122	19920	0
Oct 16 2020	383035	152	18606	0
Oct 17 2020	399547	162	17915	0
Oct 18 2020	413169	186	14882	0
Oct 19 2020	425615	167	14311	0
Oct 20 2020	449901	193	25872	0
Oct 21 2020	474080	210	25613	0
Oct 22 2020	498125	232	25714	0
Oct 23 2020	519682	242	23475	0
Oct 24 2020	539277	225	21694	0
Oct 25 2020	553728	219	16434	0
Oct 26 2020	566413	255	15895	0
Oct 27 2020	590009	282	26807	0
Oct 28 2020	611691	285	24351	0
Oct 29 2020	632722	281	23901	0
Oct 30 2020	653174	320	23614	0
Oct 31 2020	672260	352	22890	0
Nov 01 2020	685177	340	16673	0
Nov 02 2020	697523	359	15970	0
Nov 03 2020	726541	338	31925	0
Nov 04 2020	749145	377	25943	0
Nov 05 2020	768978	340	24027	0
Nov 06 2020	789397	387	24063	0
Nov 07 2020	808453	417	23659	0
Nov 08 2020	822436	417	18766	0
Nov 09 2020	838159	432	20244	0
Nov 10 2020	864821	491	31510	0
Nov 11 2020	887362	410	27789	0
Nov 12 2020	908002	409	27757	0
Nov 13 2020	925230	430	24826	0
Nov 14 2020	941874	450	24388	0
Nov 15 2020	952233	459	18223	0
Nov 16 2020	960448	456	16233	0
Nov 17 2020	982409	431	26952	0
Nov 18 2020	996682	466	23488	0
Nov 19 2020	1007397	514	21076	0
Nov 20 2020	1014186	485	18041	0
Nov 21 2020	1019321	485	17100	0
Nov 22 2020	1024612	498	12533	0
Nov 23 2020	1028176	512	11895	0
Nov 24 2020	1034235	507	19024	0
Nov 25 2020	1036273	496	16679	0
Nov 26 2020	1038918	499	16814	0
Nov 27 2020	1036056	461	14761	0
Nov 28 2020	1036643	459	14554	0
Nov 29 2020	1032492	484	11086	0
Nov 30 2020	1030127	501	10852	0
Dec 01 2020	1034084	465	18198	0
Dec 02 2020	1033644	422	16684	0
Dec 03 2020	1030779	414	16676	0
Dec 04 2020	1027734	503	15860	0
Dec 05 2020	1027796	498	15834	0
Dec 06 2020	1024574	407	12893	0
Dec 07 2020	1021056	436	13731	0
Dec 08 2020	1023584	466	21584	0
Dec 09 2020	1023445	472	21065	0
Dec 10 2020	1018751	448	21909	0
Dec 11 2020	1020429	496	22916	0
Dec 12 2020	1024308	491	24390	0
Dec 13 2020	1020737	488	19588	0
Dec 14 2020	1023131	480	22266	0
Dec 15 2020	1037138	506	35197	0
Dec 16 2020	1048733	506	34378	0
Dec 17 2020	1059671	484	35427	0
Dec 18 2020	1070973	567	34437	0
Dec 19 2020	1082922	586	36419	0
Dec 20 2020	1086527	548	25589	0
Dec 21 2020	1096002	550	33066	0
Dec 22 2020	1124848	601	48192	0
Dec 23 2020	1151280	628	46475	0
Dec 24 2020	1169061	629	42936	0
Dec 25 2020	1177110	616	32392	0
Dec 26 2020	1168091	655	14419	0
Dec 27 2020	1183950	691	41110	0
Dec 28 2020	1211412	717	48520	0
Dec 29 2020	1235920	722	46408	0
Dec 30 2020	1298502	712	83090	0
Dec 31 2020	1347486	760	72161	0
Jan 01 2021	1367657	822	53947	0
Jan 02 2021	1372456	807	32482	0
Jan 03 2021	1406937	832	61654	0
Jan 04 2021	1437648	806	56335	0
Jan 05 2021	1493593	896	77972	0
Jan 06 2021	1539713	973	66638	0
Jan 07 2021	1578487	1013	58784	0
Jan 08 2021	1630621	1053	53187	0
Jan 09 2021	1635528	1052	48105	0
Jan 10 2021	1674472	1091	40035	0
Jan 11 2021	1710474	1172	37174	0
Jan 12 2021	1767822	1244	58592	0
Jan 13 2021	1817151	1318	50647	0
Jan 14 2021	1862354	1306	46509	0
Jan 15 2021	1807798	1341	43472	0
Jan 16 2021	1832476	1322	41452	0
Jan 17 2021	1846681	1415	31250	0
Jan 18 2021	1863074	1360	29592	0
Jan 19 2021	1895705	1398	45957	0
Jan 20 2021	1921727	1487	40525	0
Jan 21 2021	1941143	1382	35986	0
Jan 22 2021	1958383	1347	32502	0
Jan 23 2021	1971694	1334	30330	0
Jan 24 2021	1977658	1287	22344	0
Jan 25 2021	1977155	1239	17554	0
Jan 26 2021	1992364	1262	30737	0
Jan 27 2021	2007470	1172	27730	0
Jan 28 2021	2032541	1232	26303	0
Jan 29 2021	2056090	1224	24773	0
Jan 30 2021	2077368	1156	22434	0
Jan 31 2021	2093510	1025	17167	0
Feb 01 2021	2014263	994	15783	0
Feb 02 2021	2016498	1003	22972	0
Feb 03 2021	2018594	962	20265	0
Feb 04 2021	2013935	976	19914	0
Feb 05 2021	1997467	826	18493	0
Feb 06 2021	1985678	869	16307	0
Feb 07 2021	1971454	787	12320	0
Feb 08 2021	1947109	752	11664	0
Feb 09 2021	1929760	779	16194	0
Feb 10 2021	1908070	721	14225	0
Feb 11 2021	1883841	711	13899	0
Feb 12 2021	1858559	675	13139	0
Feb 13 2021	1839173	635	12573	0
Feb 14 2021	1812438	586	9035	0
Feb 15 2021	1790940	602	8995	0
Feb 16 2021	1764268	614	14735	0
Feb 17 2021	1725135	568	12939	0
Feb 18 2021	1688275	504	11942	0
Feb 19 2021	1644894	521	11793	0
Feb 20 2021	1603114	469	10728	0
Feb 21 2021	1554450	452	8313	0
Feb 22 2021	1507734	411	8098	0
Feb 23 2021	1460635	378	11657	0
Feb 24 2021	1410552	379	9763	0
Feb 25 2021	1358033	366	8847	0
Feb 26 2021	1313999	355	8024	0
Feb 27 2021	1253439	303	6782	0
Feb 28 2021	1198971	308	4949	0
Mar 01 2021	1148997	280	4873	0
Mar 02 2021	1110057	296	7192	0
Mar 03 2021	1116732	243	6918	0
Mar 04 2021	1031842	218	6172	0
Mar 05 2021	989542	234	5937	0
Mar 06 2021	939789	222	5467	0
Mar 07 2021	944208	209	4628	0
Mar 08 2021	869357	197	4410	0
Mar 09 2021	838745	197	6890	0
Mar 10 2021	812494	184	6488	0
Mar 11 2021	780417	161	6250	0
Mar 12 2021	748740	173	5933	0
Mar 13 2021	717906	135	5717	0
Mar 14 2021	685735	135	4381	0
Mar 15 2021	660232	138	4425	0
Mar 16 2021	644780	139	6703	0
Mar 17 2021	630989	114	5863	0
Mar 18 2021	611975	127	5978	0
Mar 19 2021	589150	100	5632	0
Mar 20 2021	565493	104	5180	0
Mar 21 2021	546654	101	4247	0
Mar 22 2021	522547	127	5390	0
Mar 23 2021	453360	107	6459	0
Mar 24 2021	398383	95	5484	0
Mar 25 2021	349743	70	6224	0
Mar 26 2021	347633	79	5616	0
Mar 27 2021	342462	75	4567	0
Mar 28 2021	335572	65	3731	0
Mar 29 2021	327913	50	5030	0
Mar 30 2021	320091	71	4196	0
Mar 31 2021	311884	56	3779	0
Apr 01 2021	305468	73	3966	0
Apr 02 2021	299341	63	3674	0
Apr 03 2021	291457	50	2747	0
Apr 04 2021	285482	42	2508	0
Apr 05 2021	277974	53	2412	0
Apr 06 2021	270753	45	2744	0
Apr 07 2021	265581	45	3313	0
Apr 08 2021	261439	46	3253	0
Apr 09 2021	258573	61	3147	0
Apr 10 2021	256094	38	2953	0
Apr 11 2021	252071	43	2380	0
Apr 12 2021	248058	41	2376	0
Apr 13 2021	244378	38	2881	0
Apr 14 2021	240940	47	2495	0
Apr 15 2021	237430	35	2512	0
Apr 16 2021	234608	43	2345	0
Apr 17 2021	232264	32	2347	0
Apr 18 2021	228210	42	1722	0
Apr 19 2021	224863	31	2584	0
Apr 20 2021	220965	22	2738	0
Apr 21 2021	216990	35	2541	0
Apr 22 2021	214236	36	2708	0
Apr 23 2021	212109	33	2409	0
Apr 24 2021	209127	29	2020	0
Apr 25 2021	205471	24	1564	0
Apr 26 2021	201904	27	2119	0
Apr 27 2021	198325	21	2626	0
Apr 28 2021	195785	25	2178	0
Apr 29 2021	192789	21	2499	0
Apr 30 2021	189792	17	2230	0
May 01 2021	186355	16	1825	0
May 02 2021	182775	16	1433	0
May 03 2021	178764	19	1521	0
May 04 2021	174717	17	2084	0
May 05 2021	171752	15	2553	0
May 06 2021	169675	22	2569	0
May 07 2021	168201	17	2326	0
May 08 2021	165592	18	1982	0
May 09 2021	163211	20	1609	0
May 10 2021	161527	11	2307	0
May 11 2021	159943	8	2809	0
May 12 2021	158915	21	2329	0
May 13 2021	157878	15	2335	0
May 14 2021	157801	15	2182	0
May 15 2021	157014	14	1938	0
May 16 2021	156291	15	1628	0
May 17 2021	155486	14	1923	0
May 18 2021	155358	13	2858	0
May 19 2021	155062	11	2812	0
May 20 2021	155325	4	2813	0
May 21 2021	156138	7	2517	0
May 22 2021	154979	18	2367	0
May 23 2021	154543	4	2000	0
May 24 2021	154401	16	2326	0
May 25 2021	155158	16	3369	0
May 26 2021	155890	11	3427	0
May 27 2021	157651	14	3922	0
May 28 2021	159560	8	3747	0
May 29 2021	160245	14	3589	0
May 30 2021	160772	12	3000	0
May 31 2021	161587	9	3164	0
Jun 01 2021	162807	11	3897	0
Jun 02 2021	165623	10	5431	0
Jun 03 2021	169781	12	6168	0
Jun 04 2021	174358	16	6258	0
Jun 05 2021	178186	14	5861	0
Jun 06 2021	180396	7	4731	0
Jun 07 2021	183912	13	5534	0
Jun 08 2021	189557	6	7946	0
Jun 09 2021	195204	15	7896	0
Jun 10 2021	201761	17	8210	0
Jun 11 2021	208318	16	8043	0
Jun 12 2021	214492	13	7619	0
Jun 13 2021	219059	12	6284	0
Jun 14 2021	224274	12	7135	0
Jun 15 2021	232219	13	10362	0
Jun 16 2021	240674	21	10800	0
Jun 17 2021	249970	16	11052	0
Jun 18 2021	259556	9	11106	0
Jun 19 2021	267781	17	10320	0
