Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	0	0	0	0
Mar 07 2020	0	0	0	0
Mar 08 2020	0	0	0	0
Mar 09 2020	0	0	0	0
Mar 10 2020	0	0	0	0
Mar 11 2020	0	0	0	0
Mar 12 2020	0	0	0	0
Mar 13 2020	4	0	0	0
Mar 14 2020	6	0	2	0
Mar 15 2020	6	0	0	0
Mar 16 2020	29	0	23	0
Mar 17 2020	50	0	21	0
Mar 18 2020	79	0	29	0
Mar 19 2020	79	0	0	0
Mar 20 2020	110	0	31	0
Mar 21 2020	110	0	0	0
Mar 22 2020	158	0	48	0
Mar 23 2020	162	0	4	0
Mar 24 2020	189	0	27	0
Mar 25 2020	217	0	28	0
Mar 26 2020	238	0	21	0
Mar 27 2020	238	0	0	0
Mar 28 2020	303	0	66	0
Mar 29 2020	303	0	0	0
Mar 30 2020	294	0	16	0
Mar 31 2020	296	0	18	0
Apr 01 2020	286	1	12	0
Apr 02 2020	284	2	0	0
Apr 03 2020	296	0	36	0
Apr 04 2020	302	1	14	0
Apr 05 2020	296	1	6	0
Apr 06 2020	286	0	9	0
Apr 07 2020	267	1	9	0
Apr 08 2020	257	0	32	0
Apr 09 2020	257	0	0	0
Apr 10 2020	260	0	17	0
Apr 11 2020	273	0	21	0
Apr 12 2020	274	0	18	0
Apr 13 2020	227	1	-29	0
Apr 14 2020	224	0	9	0
Apr 15 2020	212	1	1	0
Apr 16 2020	207	0	9	0
Apr 17 2020	207	0	0	0
Apr 18 2020	210	0	15	0
Apr 19 2020	209	1	0	0
Apr 20 2020	212	0	18	0
Apr 21 2020	207	2	8	0
Apr 22 2020	200	0	6	0
Apr 23 2020	200	0	0	0
Apr 24 2020	182	0	14	0
Apr 25 2020	182	0	0	0
Apr 26 2020	212	2	33	0
Apr 27 2020	216	1	10	0
Apr 28 2020	219	0	14	0
Apr 29 2020	216	0	5	0
Apr 30 2020	209	2	18	0
May 01 2020	196	0	5	0
May 02 2020	195	0	4	0
May 03 2020	196	0	3	0
May 04 2020	193	0	2	0
May 05 2020	185	0	13	0
May 06 2020	170	0	3	0
May 07 2020	175	0	11	0
May 08 2020	170	1	10	0
May 09 2020	171	0	8	0
May 10 2020	171	1	5	0
May 11 2020	169	0	4	0
May 12 2020	166	0	6	0
May 13 2020	155	0	2	0
May 14 2020	158	0	5	0
May 15 2020	160	0	8	0
May 16 2020	156	0	1	0
May 17 2020	150	1	1	0
May 18 2020	148	0	3	0
May 19 2020	139	0	1	0
May 20 2020	138	0	8	0
May 21 2020	135	0	3	0
May 22 2020	130	0	4	0
May 23 2020	126	2	11	0
May 24 2020	129	0	5	0
May 25 2020	136	0	18	0
May 26 2020	129	0	2	0
May 27 2020	131	0	14	0
May 28 2020	135	0	8	0
May 29 2020	114	0	5	0
May 30 2020	117	0	5	0
May 31 2020	116	0	2	0
Jun 01 2020	113	1	2	0
Jun 02 2020	112	0	1	0
Jun 03 2020	107	0	2	0
Jun 04 2020	100	0	4	0
Jun 05 2020	90	0	2	0
Jun 06 2020	96	0	11	0
Jun 07 2020	92	0	0	0
Jun 08 2020	84	0	0	0
Jun 09 2020	69	0	1	0
Jun 10 2020	66	0	1	0
Jun 11 2020	52	0	0	0
Jun 12 2020	44	0	0	0
Jun 13 2020	40	0	0	0
Jun 14 2020	37	0	1	0
Jun 15 2020	33	0	0	0
Jun 16 2020	24	1	1	0
Jun 17 2020	15	0	0	0
Jun 18 2020	12	0	1	0
Jun 19 2020	15	0	3	0
Jun 20 2020	19	1	6	0
Jun 21 2020	37	0	17	0
Jun 22 2020	42	0	6	0
Jun 23 2020	45	0	3	0
Jun 24 2020	61	1	17	0
Jun 25 2020	63	0	5	0
Jun 26 2020	75	0	12	0
Jun 27 2020	80	0	5	0
Jun 28 2020	84	1	5	0
Jun 29 2020	83	0	3	0
Jun 30 2020	85	0	4	0
Jul 01 2020	90	1	7	0
Jul 02 2020	91	0	4	0
Jul 03 2020	87	0	5	0
Jul 04 2020	87	0	3	0
Jul 05 2020	79	0	1	0
Jul 06 2020	73	1	4	0
Jul 07 2020	71	0	5	0
Jul 08 2020	74	0	9	0
Jul 09 2020	70	0	3	0
Jul 10 2020	70	0	8	0
Jul 11 2020	60	1	1	0
Jul 12 2020	60	1	1	0
Jul 13 2020	55	0	2	0
Jul 14 2020	61	0	8	0
Jul 15 2020	69	0	12	0
Jul 16 2020	78	1	17	0
Jul 17 2020	88	0	11	0
Jul 18 2020	90	1	7	0
Jul 19 2020	99	0	10	0
Jul 20 2020	104	0	10	0
Jul 21 2020	134	0	32	0
Jul 22 2020	149	1	21	0
Jul 23 2020	167	0	24	0
Jul 24 2020	186	0	25	0
Jul 25 2020	193	0	8	0
Jul 26 2020	210	0	18	0
Jul 27 2020	216	1	10	0
Jul 28 2020	225	0	16	0
Jul 29 2020	235	0	19	0
Jul 30 2020	230	0	6	0
Jul 31 2020	235	0	21	0
Aug 01 2020	239	0	14	0
Aug 02 2020	239	1	8	0
Aug 03 2020	232	0	5	0
Aug 04 2020	215	1	9	0
Aug 05 2020	207	0	9	0
Aug 06 2020	202	0	9	0
Aug 07 2020	193	0	7	0
Aug 08 2020	186	0	10	0
Aug 09 2020	191	0	18	0
Aug 10 2020	181	0	11	0
Aug 11 2020	191	0	21	0
Aug 12 2020	193	0	8	0
Aug 13 2020	192	0	16	0
Aug 14 2020	201	1	12	0
Aug 15 2020	202	0	13	0
Aug 16 2020	202	0	6	0
Aug 17 2020	212	2	17	0
Aug 18 2020	226	0	28	0
Aug 19 2020	225	0	8	0
Aug 20 2020	223	1	13	0
Aug 21 2020	225	1	10	0
Aug 22 2020	215	0	5	0
Aug 23 2020	209	0	6	0
Aug 24 2020	196	0	6	0
Aug 25 2020	184	1	3	0
Aug 26 2020	178	0	7	0
Aug 27 2020	175	0	8	0
Aug 28 2020	161	0	5	0
Aug 29 2020	162	1	14	0
Aug 30 2020	163	0	15	0
Aug 31 2020	142	0	10	0
Sep 01 2020	148	0	16	0
Sep 02 2020	149	0	15	0
Sep 03 2020	155	0	10	0
Sep 04 2020	162	1	17	0
Sep 05 2020	165	0	16	0
Sep 06 2020	175	0	10	0
Sep 07 2020	182	0	14	0
Sep 08 2020	191	0	19	0
Sep 09 2020	218	0	29	0
Sep 10 2020	230	0	18	0
