Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	12	0	0	0
Feb 16 2020	12	0	0	0
Feb 17 2020	12	0	0	0
Feb 18 2020	12	0	0	0
Feb 19 2020	12	0	0	0
Feb 20 2020	10	0	0	0
Feb 21 2020	29	0	20	0
Feb 22 2020	29	0	0	0
Feb 23 2020	28	0	0	0
Feb 24 2020	48	0	18	0
Feb 25 2020	51	0	4	0
Feb 26 2020	54	0	3	0
Feb 27 2020	54	0	0	0
Feb 28 2020	57	0	3	0
Feb 29 2020	60	1	5	0
Mar 01 2020	65	0	7	0
Mar 02 2020	85	5	25	0
Mar 03 2020	106	3	24	0
Mar 04 2020	138	2	34	0
Mar 05 2020	200	1	63	0
Mar 06 2020	289	3	98	0
Mar 07 2020	401	4	116	0
Mar 08 2020	504	3	106	0
Mar 09 2020	663	4	163	0
Mar 10 2020	949	4	290	0
Mar 11 2020	1248	8	307	0
Mar 12 2020	2367	21	1134	0
Mar 13 2020	3102	5	741	0
Mar 14 2020	3895	11	844	0
Mar 15 2020	4905	17	1039	0
Mar 16 2020	6228	22	1361	0
Mar 17 2020	8645	29	2479	0
Mar 18 2020	12359	48	3765	0
Mar 19 2020	17654	58	5356	0
Mar 20 2020	24121	77	6596	0
Mar 21 2020	29864	71	5862	0
Mar 22 2020	39902	169	10250	0
Mar 23 2020	51101	175	11522	0
Mar 24 2020	63615	267	12923	0
Mar 25 2020	78180	311	14951	0
Mar 26 2020	94911	389	18685	0
Mar 27 2020	113985	532	20364	0
Mar 28 2020	131400	653	20156	0
Mar 29 2020	148237	563	20702	0
Mar 30 2020	169455	855	24020	0
Mar 31 2020	188888	1087	26697	0
Apr 01 2020	210355	1300	27880	0
Apr 02 2020	232464	1205	28790	0
Apr 03 2020	258571	1341	34181	0
Apr 04 2020	284031	1624	33330	0
Apr 05 2020	301350	1520	27188	0
Apr 06 2020	324103	1576	31474	0
Apr 07 2020	348561	2201	34113	0
Apr 08 2020	372305	2283	32953	0
Apr 09 2020	395173	2199	34263	0
Apr 10 2020	418940	2271	34245	0
Apr 11 2020	435904	2171	30755	0
Apr 12 2020	448661	1903	26373	0
Apr 13 2020	460101	1810	27507	0
Apr 14 2020	477272	2532	29801	0
Apr 15 2020	495175	2716	32185	0
Apr 16 2020	504255	2293	30847	0
Apr 17 2020	524766	2650	33892	0
Apr 18 2020	533981	1972	29664	0
Apr 19 2020	543917	1700	26224	0
Apr 20 2020	560004	2024	28763	0
Apr 21 2020	571898	2680	27569	0
Apr 22 2020	592609	2466	31841	0
Apr 23 2020	614083	2429	34632	0
Apr 24 2020	612442	2026	34801	0
Apr 25 2020	628833	2374	35461	0
Apr 26 2020	644553	1353	27724	0
Apr 27 2020	654445	1611	24290	0
Apr 28 2020	669672	2374	27005	0
Apr 29 2020	687020	2247	30435	0
Apr 30 2020	703824	2242	31325	0
May 01 2020	720966	1968	35662	0
May 02 2020	727303	1836	28788	0
May 03 2020	737419	1335	26610	0
May 04 2020	738110	1479	24912	0
May 05 2020	743860	2092	25722	0
May 06 2020	750193	2503	25926	0
May 07 2020	766463	2004	29880	0
May 08 2020	778222	1652	29364	0
May 09 2020	779108	1546	25506	0
May 10 2020	785261	1412	20582	0
May 11 2020	791055	1160	18802	0
May 12 2020	780877	1858	24419	0
May 13 2020	777622	1690	23024	0
May 14 2020	791561	1697	27029	0
May 15 2020	801970	1533	28488	0
May 16 2020	811457	1301	24510	0
May 17 2020	818661	1036	20858	0
May 18 2020	825162	1033	23052	0
May 19 2020	830821	1540	22371	0
May 20 2020	836889	1391	23747	0
May 21 2020	842972	1436	27611	0
May 22 2020	804155	1279	25592	0
May 23 2020	809640	1060	22361	0
May 24 2020	812744	775	20097	0
May 25 2020	809871	759	18586	0
May 26 2020	802418	870	18946	0
May 27 2020	799499	1426	21532	0
May 28 2020	799891	1189	24249	0
May 29 2020	802981	1143	25770	0
May 30 2020	805675	998	24538	0
May 31 2020	751066	755	20986	0
Jun 01 2020	747059	735	18536	0
Jun 02 2020	727938	1120	23985	0
Jun 03 2020	697869	1053	21403	0
Jun 04 2020	693112	1000	23327	0
Jun 05 2020	696312	902	25671	0
Jun 06 2020	699814	734	23265	0
Jun 07 2020	700618	503	20211	0
Jun 08 2020	697850	689	18644	0
Jun 09 2020	695079	939	20494	0
Jun 10 2020	685165	951	22252	0
Jun 11 2020	690361	843	23815	0
Jun 12 2020	682281	770	26610	0
Jun 13 2020	688058	741	26319	0
Jun 14 2020	685702	429	20183	0
Jun 15 2020	682012	515	21340	0
Jun 16 2020	689231	795	27913	0
Jun 17 2020	688105	843	28453	0
Jun 18 2020	698683	655	28880	0
Jun 19 2020	698186	703	35772	0
Jun 20 2020	712500	568	35287	0
Jun 21 2020	724861	371	28435	0
Jun 22 2020	731965	473	32737	0
Jun 23 2020	745465	825	38244	0
Jun 24 2020	756801	810	40431	0
Jun 25 2020	781699	660	43212	0
Jun 26 2020	807735	676	49128	0
Jun 27 2020	834406	558	46631	0
Jun 28 2020	858399	405	42685	0
Jun 29 2020	873617	445	43032	0
Jun 30 2020	895207	700	50689	0
Jul 01 2020	928289	668	55981	0
Jul 02 2020	963514	666	61627	0
Jul 03 2020	1002087	658	62425	0
Jul 04 2020	1035069	445	54047	0
Jul 05 2020	1063014	445	46160	0
Jul 06 2020	1081640	519	51963	0
Jul 07 2020	1116097	1034	60507	0
Jul 08 2020	1157307	967	67222	0
Jul 09 2020	1193755	1029	65943	0
Jul 10 2020	1241578	901	75713	0
Jul 11 2020	1282408	748	65377	0
Jul 12 2020	1321655	593	61500	0
Jul 13 2020	1359356	647	64871	0
Jul 14 2020	1387350	995	69743	0
Jul 15 2020	1427218	1063	76709	0
Jul 16 2020	1472666	1022	75767	0
Jul 17 2020	1495861	1061	77894	0
Jul 18 2020	1533133	943	67774	0
Jul 19 2020	1575431	624	63625	0
Jul 20 2020	1592940	785	62112	0
Jul 21 2020	1628482	1298	70509	0
Jul 22 2020	1652597	1287	75178	0
Jul 23 2020	1685500	1241	72223	0
Jul 24 2020	1716764	1307	80577	0
Jul 25 2020	1754087	1079	73698	0
Jul 26 2020	1779392	961	55752	0
Jul 27 2020	1793892	1015	58608	0
Jul 28 2020	1812569	1489	68645	0
Jul 29 2020	1835175	1403	69790	0
Jul 30 2020	1858411	1433	69609	0
Jul 31 2020	1886710	1474	74474	0
Aug 01 2020	1909230	1167	62384	0
Aug 02 2020	1935955	744	49437	0
Aug 03 2020	1914817	879	47662	0
Aug 04 2020	1931629	1396	56703	0
Aug 05 2020	1936105	1419	58763	0
Aug 06 2020	1951808	1353	59490	0
Aug 07 2020	1968057	1427	65592	0
Aug 08 2020	1993608	1116	59643	0
Aug 09 2020	2013872	777	48164	0
Aug 10 2020	2006832	756	49363	0
Aug 11 2020	2017927	1385	57114	0
Aug 12 2020	2022519	1449	57980	0
Aug 13 2020	2033436	1351	55185	0
Aug 14 2020	2052357	1223	63330	0
Aug 15 2020	2070705	1123	56645	0
Aug 16 2020	2080769	736	39579	0
Aug 17 2020	2068131	718	41141	0
Aug 18 2020	2067437	1283	45840	0
Aug 19 2020	2066116	1265	47310	0
Aug 20 2020	2066740	1188	46838	0
Aug 21 2020	2075118	1205	53338	0
Aug 22 2020	2087412	1078	46044	0
Aug 23 2020	2092510	707	36593	0
Aug 24 2020	2077313	653	39492	0
Aug 25 2020	2072068	1188	43491	0
Aug 26 2020	2053299	1288	46399	0
Aug 27 2020	2052182	1201	46249	0
Aug 28 2020	2061044	1129	50213	0
Aug 29 2020	2062646	954	45335	0
Aug 30 2020	2069066	622	35241	0
Aug 31 2020	2071064	629	36914	0
Sep 01 2020	2062270	1095	42739	0
Sep 02 2020	2050437	1084	43937	0
Sep 03 2020	2053177	1094	46004	0
Sep 04 2020	2014194	1035	54235	0
Sep 05 2020	2019330	795	45026	0
Sep 06 2020	2022563	616	32462	0
Sep 07 2020	2005810	497	25070	0
Sep 08 2020	1989085	661	29583	0
Sep 09 2020	1970762	1041	37338	0
Sep 10 2020	1963378	989	40350	0
Sep 11 2020	1962053	948	49091	0
Sep 12 2020	1965644	768	43404	0
Sep 13 2020	1965760	560	33078	0
Sep 14 2020	1941731	580	36154	0
Sep 15 2020	1934051	1064	39734	0
Sep 16 2020	1918685	969	42673	0
Sep 17 2020	1921524	874	47286	0
Sep 18 2020	1925516	835	50127	0
Sep 19 2020	1931878	699	45738	0
Sep 20 2020	1931992	452	34414	0
Sep 21 2020	1913792	475	35620	0
Sep 22 2020	1898200	893	37951	0
Sep 23 2020	1884548	974	43890	0
Sep 24 2020	1884776	863	46418	0
Sep 25 2020	1885746	873	52077	0
Sep 26 2020	1879119	711	45231	0
Sep 27 2020	1875757	492	33836	0
Sep 28 2020	1858801	533	37534	0
Sep 29 2020	1857033	865	44480	0
Sep 30 2020	1847435	855	44219	0
Oct 01 2020	1852179	839	47368	0
Oct 02 2020	1855339	837	51979	0
Oct 03 2020	1859467	782	48374	0
Oct 04 2020	1860420	446	36175	0
Oct 05 2020	1850025	559	39728	0
Oct 06 2020	1853911	787	47085	0
Oct 07 2020	1856756	906	51348	0
Oct 08 2020	1867361	879	60155	0
Oct 09 2020	1882592	886	61065	0
Oct 10 2020	1907565	736	56885	0
Oct 11 2020	1909529	465	43989	0
Oct 12 2020	1899948	525	47303	0
Oct 13 2020	1905369	766	55883	0
Oct 14 2020	1912590	908	60232	0
Oct 15 2020	1931099	874	67108	0
Oct 16 2020	1922352	880	72235	0
Oct 17 2020	1947478	755	63480	0
Oct 18 2020	1966029	626	48953	0
Oct 19 2020	1972863	625	56160	0
Oct 20 2020	1994838	901	66236	0
Oct 21 2020	2001901	1171	68975	0
Oct 22 2020	2026767	1038	77494	0
Oct 23 2020	2062026	869	82399	0
Oct 24 2020	2098456	892	82499	0
Oct 25 2020	2124933	567	63423	0
Oct 26 2020	2129686	747	70443	0
Oct 27 2020	2161277	982	80043	0
Oct 28 2020	2186054	1034	86023	0
Oct 29 2020	2224679	1039	94528	0
Oct 30 2020	2279181	1023	103299	0
Oct 31 2020	2324715	1000	92197	0
Nov 01 2020	2362450	753	78072	0
