Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	0	0	0	0
Mar 07 2020	0	0	0	0
Mar 08 2020	0	0	0	0
Mar 09 2020	0	0	0	0
Mar 10 2020	0	0	0	0
Mar 11 2020	0	0	0	0
Mar 12 2020	0	0	0	0
Mar 13 2020	2	0	0	0
Mar 14 2020	2	0	0	0
Mar 15 2020	17	0	15	0
Mar 16 2020	17	0	0	0
Mar 17 2020	33	0	16	0
Mar 18 2020	36	0	3	0
Mar 19 2020	42	0	6	0
Mar 20 2020	64	0	23	0
Mar 21 2020	55	0	5	0
Mar 22 2020	55	0	0	0
Mar 23 2020	69	0	14	0
Mar 24 2020	69	0	0	0
Mar 25 2020	91	0	22	0
Mar 26 2020	91	0	1	0
Mar 27 2020	80	1	6	0
Mar 28 2020	78	0	6	0
Mar 29 2020	77	1	0	0
Mar 30 2020	93	0	16	0
Mar 31 2020	93	0	0	0
Apr 01 2020	98	0	9	0
Apr 02 2020	98	2	2	0
Apr 03 2020	94	2	7	0
Apr 04 2020	96	0	2	0
Apr 05 2020	100	0	4	0
Apr 06 2020	93	0	6	0
Apr 07 2020	94	0	1	0
Apr 08 2020	93	2	1	0
Apr 09 2020	78	0	4	0
Apr 10 2020	82	0	4	0
Apr 11 2020	73	0	0	0
Apr 12 2020	79	0	6	0
Apr 13 2020	70	0	8	0
Apr 14 2020	70	0	0	0
Apr 15 2020	77	0	8	0
Apr 16 2020	84	0	7	0
Apr 17 2020	84	0	0	0
Apr 18 2020	101	0	23	0
Apr 19 2020	130	0	29	0
Apr 20 2020	158	1	29	0
Apr 21 2020	156	0	3	0
Apr 22 2020	166	0	10	0
Apr 23 2020	166	0	0	0
Apr 24 2020	176	0	20	0
Apr 25 2020	181	0	5	0
Apr 26 2020	178	0	2	0
Apr 27 2020	177	0	4	0
Apr 28 2020	177	0	0	0
Apr 29 2020	179	0	2	0
Apr 30 2020	181	0	2	0
May 01 2020	183	0	2	0
May 02 2020	187	0	10	0
May 03 2020	199	0	12	0
May 04 2020	189	0	0	0
May 05 2020	193	0	4	0
May 06 2020	193	0	18	0
May 07 2020	186	0	2	0
May 08 2020	188	0	7	0
May 09 2020	202	0	14	0
May 10 2020	211	0	12	0
May 11 2020	207	0	8	0
May 12 2020	193	0	1	0
May 13 2020	210	0	17	0
May 14 2020	225	0	15	0
May 15 2020	220	0	4	0
May 16 2020	253	0	45	0
May 17 2020	290	0	37	0
May 18 2020	355	0	77	0
May 19 2020	355	0	0	0
May 20 2020	552	0	206	0
May 21 2020	610	0	58	0
May 22 2020	672	0	62	0
May 23 2020	738	0	66	0
May 24 2020	849	0	111	0
May 25 2020	865	0	56	0
May 26 2020	898	1	34	0
May 27 2020	932	0	34	0
May 28 2020	1012	0	80	0
May 29 2020	1054	3	45	0
May 30 2020	1143	0	89	0
May 31 2020	1194	0	51	0
Jun 01 2020	1343	3	152	0
Jun 02 2020	1467	1	157	0
Jun 03 2020	1598	2	133	0
Jun 04 2020	1733	0	135	0
Jun 05 2020	1791	0	58	0
Jun 06 2020	1909	2	171	0
Jun 07 2020	1868	0	61	0
Jun 08 2020	1964	0	96	0
Jun 09 2020	2122	1	159	0
Jun 10 2020	2228	0	106	0
Jun 11 2020	2304	0	76	0
Jun 12 2020	2369	0	65	0
Jun 13 2020	2393	1	25	0
Jun 14 2020	2393	0	0	0
Jun 15 2020	2201	2	158	0
Jun 16 2020	2288	1	88	0
Jun 17 2020	2523	1	236	0
Jun 18 2020	2620	0	97	0
Jun 19 2020	2726	2	108	0
Jun 20 2020	2921	3	198	0
Jun 21 2020	3049	0	128	0
Jun 22 2020	2686	2	131	0
Jun 23 2020	2825	0	139	0
Jun 24 2020	3001	3	179	0
Jun 25 2020	3197	1	197	0
Jun 26 2020	3411	2	216	0
Jun 27 2020	3761	1	351	0
Jun 28 2020	3604	2	167	0
Jun 29 2020	3833	4	233	0
Jun 30 2020	4132	3	302	0
Jul 01 2020	4359	3	230	0
Jul 02 2020	4116	3	211	0
Jul 03 2020	4378	2	264	0
Jul 04 2020	4588	3	213	0
Jul 05 2020	5004	3	419	0
Jul 06 2020	5243	3	242	0
Jul 07 2020	5522	3	282	0
Jul 08 2020	5833	4	315	0
Jul 09 2020	5748	5	364	0
Jul 10 2020	6049	3	431	0
Jul 11 2020	6422	2	375	0
Jul 12 2020	6705	4	287	0
Jul 13 2020	6943	4	242	0
Jul 14 2020	7243	3	303	0
Jul 15 2020	7278	4	418	0
Jul 16 2020	7495	4	426	0
Jul 17 2020	7232	3	337	0
Jul 18 2020	7401	3	292	0
Jul 19 2020	7807	2	408	0
Jul 20 2020	5374	4	443	0
Jul 21 2020	5671	4	440	0
Jul 22 2020	5569	4	390	0
Jul 23 2020	5732	5	449	0
Jul 24 2020	6002	5	650	0
Jul 25 2020	5996	4	666	0
Jul 26 2020	5575	4	534	0
Jul 27 2020	5883	4	525	0
Jul 28 2020	6225	5	583	0
Jul 29 2020	6583	3	587	0
Jul 30 2020	7280	4	701	0
Jul 31 2020	7989	6	715	0
Aug 01 2020	8145	5	869	0
Aug 02 2020	8628	5	763	0
Aug 03 2020	8952	6	548	0
Aug 04 2020	9376	7	684	0
Aug 05 2020	9958	8	861	0
Aug 06 2020	10608	7	981	0
Aug 07 2020	11488	6	886	0
Aug 08 2020	11390	7	795	0
Aug 09 2020	12226	8	844	0
Aug 10 2020	9641	6	995	0
Aug 11 2020	7994	9	1138	0
Aug 12 2020	7799	9	1150	0
Aug 13 2020	8725	12	1281	0
Aug 14 2020	9535	7	1012	0
Aug 15 2020	10584	10	1226	0
Aug 16 2020	10774	5	1148	0
Aug 17 2020	10939	7	1047	0
Aug 18 2020	10839	9	895	0
Aug 19 2020	11149	6	1171	0
Aug 20 2020	10926	8	699	0
Aug 21 2020	10596	6	652	0
Aug 22 2020	10181	6	738	0
Aug 23 2020	9269	6	607	0
Aug 24 2020	8921	8	774	0
Aug 25 2020	8800	6	820	0
Aug 26 2020	8683	8	807	0
Aug 27 2020	8393	7	933	0
Aug 28 2020	8541	8	981	0
Aug 29 2020	8396	9	1067	0
Aug 30 2020	8396	6	922	0
Aug 31 2020	8230	5	860	0
Sep 01 2020	8338	5	1028	0
Sep 02 2020	8573	7	1127	0
Sep 03 2020	8901	4	994	0
Sep 04 2020	9312	10	1096	0
