Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	0	0	0	0
Mar 07 2020	0	0	0	0
Mar 08 2020	0	0	0	0
Mar 09 2020	0	0	0	0
Mar 10 2020	0	0	0	0
Mar 11 2020	0	0	0	0
Mar 12 2020	0	0	0	0
Mar 13 2020	0	0	0	0
Mar 14 2020	0	0	0	0
Mar 15 2020	0	0	0	0
Mar 16 2020	0	0	0	0
Mar 17 2020	0	0	0	0
Mar 18 2020	2	0	0	0
Mar 19 2020	2	0	0	0
Mar 20 2020	2	0	0	0
Mar 21 2020	2	0	0	0
Mar 22 2020	3	0	1	0
Mar 23 2020	3	0	0	0
Mar 24 2020	3	0	0	0
Mar 25 2020	12	0	9	0
Mar 26 2020	16	0	4	0
Mar 27 2020	22	0	6	0
Mar 28 2020	28	0	6	0
Mar 29 2020	29	0	1	0
Mar 30 2020	35	0	6	0
Mar 31 2020	36	0	1	0
Apr 01 2020	36	0	0	0
Apr 02 2020	38	0	3	0
Apr 03 2020	36	0	0	0
Apr 04 2020	36	0	0	0
Apr 05 2020	35	0	0	0
Apr 06 2020	33	0	0	0
Apr 07 2020	31	0	0	0
Apr 08 2020	31	0	0	0
Apr 09 2020	14	0	0	0
Apr 10 2020	13	1	1	0
Apr 11 2020	10	0	0	0
Apr 12 2020	11	0	3	0
Apr 13 2020	13	0	2	0
Apr 14 2020	13	0	0	0
Apr 15 2020	16	0	3	0
Apr 16 2020	16	0	0	0
Apr 17 2020	20	0	4	0
Apr 18 2020	22	0	5	0
Apr 19 2020	25	1	4	0
Apr 20 2020	27	0	4	0
Apr 21 2020	32	0	5	0
Apr 22 2020	36	0	4	0
Apr 23 2020	36	0	2	0
Apr 24 2020	44	0	8	0
Apr 25 2020	44	0	0	0
Apr 26 2020	43	0	4	0
Apr 27 2020	44	0	1	0
Apr 28 2020	50	0	6	0
Apr 29 2020	40	0	2	0
Apr 30 2020	48	0	9	0
May 01 2020	32	0	3	0
May 02 2020	41	0	10	0
May 03 2020	43	0	5	0
May 04 2020	56	0	13	0
May 05 2020	43	0	1	0
May 06 2020	41	1	8	0
May 07 2020	46	0	7	0
May 08 2020	52	0	14	0
May 09 2020	133	3	85	0
May 10 2020	143	0	15	0
May 11 2020	143	0	0	0
May 12 2020	317	0	174	0
May 13 2020	315	0	5	0
May 14 2020	523	0	208	0
May 15 2020	523	0	0	0
May 16 2020	489	0	25	0
May 17 2020	558	0	74	0
May 18 2020	562	0	8	0
May 19 2020	573	0	11	0
May 20 2020	628	0	60	0
May 21 2020	557	0	34	0
May 22 2020	577	0	54	0
May 23 2020	577	0	0	0
May 24 2020	577	0	0	0
May 25 2020	577	0	0	0
May 26 2020	577	0	0	0
May 27 2020	271	0	137	0
May 28 2020	271	0	0	0
May 29 2020	271	0	0	0
May 30 2020	271	0	0	0
May 31 2020	271	0	0	0
Jun 01 2020	170	0	32	0
Jun 02 2020	170	0	0	0
Jun 03 2020	170	0	0	0
Jun 04 2020	170	0	0	0
Jun 05 2020	170	0	0	0
Jun 06 2020	170	0	0	0
Jun 07 2020	170	0	0	0
Jun 08 2020	278	3	111	0
Jun 09 2020	278	0	0	0
Jun 10 2020	278	0	0	0
Jun 11 2020	278	0	0	0
Jun 12 2020	207	0	121	0
Jun 13 2020	243	0	36	0
Jun 14 2020	225	1	1	0
Jun 15 2020	229	0	24	0
Jun 16 2020	252	0	23	0
Jun 17 2020	259	0	7	0
Jun 18 2020	261	0	4	0
Jun 19 2020	225	0	14	0
Jun 20 2020	225	0	0	0
Jun 21 2020	225	0	0	0
Jun 22 2020	225	0	0	0
Jun 23 2020	246	7	47	0
Jun 24 2020	248	0	12	0
Jun 25 2020	256	0	8	0
Jun 26 2020	277	3	34	0
Jun 27 2020	277	0	0	0
Jun 28 2020	224	1	26	0
Jun 29 2020	235	0	11	0
Jun 30 2020	241	2	26	0
Jul 01 2020	254	6	38	0
Jul 02 2020	254	0	0	0
Jul 03 2020	254	0	0	0
Jul 04 2020	254	0	0	0
Jul 05 2020	254	0	0	0
Jul 06 2020	254	0	0	0
Jul 07 2020	505	12	263	0
Jul 08 2020	480	1	42	0
Jul 09 2020	549	0	69	0
Jul 10 2020	574	0	29	0
Jul 11 2020	658	15	99	0
Jul 12 2020	688	25	71	0
Jul 13 2020	766	0	78	0
Jul 14 2020	845	1	80	0
Jul 15 2020	975	1	138	0
Jul 16 2020	1094	0	119	0
Jul 17 2020	1251	24	190	0
Jul 18 2020	1398	11	170	0
Jul 19 2020	1531	0	168	0
Jul 20 2020	1578	8	178	0
Jul 21 2020	1638	0	60	0
Jul 22 2020	1778	0	197	0
Jul 23 2020	1978	6	206	0
Jul 24 2020	2043	2	67	0
Jul 25 2020	2236	3	472	0
Jul 26 2020	1992	0	153	0
Jul 27 2020	1597	1	71	0
Jul 28 2020	1665	2	450	0
Jul 29 2020	1818	4	247	0
Jul 30 2020	2117	3	306	0
Jul 31 2020	2009	2	408	0
Aug 01 2020	1933	14	265	0
Aug 02 2020	1684	5	119	0
Aug 03 2020	1708	1	233	0
Aug 04 2020	1511	2	213	0
Aug 05 2020	1179	3	229	0
Aug 06 2020	1179	23	142	0
Aug 07 2020	1022	1	322	0
Aug 08 2020	1269	3	417	0
Aug 09 2020	1152	32	182	0
Aug 10 2020	1167	6	125	0
Aug 11 2020	1030	0	65	0
Aug 12 2020	1022	5	226	0
Aug 13 2020	1016	0	162	0
Aug 14 2020	1179	10	358	0
Aug 15 2020	861	4	165	0
Aug 16 2020	671	0	157	0
Aug 17 2020	1000	4	496	0
Aug 18 2020	941	0	142	0
Aug 19 2020	823	5	237	0
Aug 20 2020	972	5	154	0
Aug 21 2020	1224	3	255	0
Aug 22 2020	610	2	204	0
Aug 23 2020	860	1	251	0
Aug 24 2020	660	0	66	0
Aug 25 2020	603	2	137	0
Aug 26 2020	401	0	91	0
Aug 27 2020	479	0	225	0
Aug 28 2020	551	1	178	0
Aug 29 2020	526	1	123	0
Aug 30 2020	284	3	123	0
Aug 31 2020	340	1	72	0
Sep 01 2020	612	2	284	0
Sep 02 2020	629	2	34	0
Sep 03 2020	669	0	108	0
Sep 04 2020	775	0	116	0
Sep 05 2020	749	0	70	0
Sep 06 2020	807	3	67	0
Sep 07 2020	793	0	60	0
Sep 08 2020	868	2	116	0
Sep 09 2020	973	3	160	0
