Date	Active Cases	Daily Death	New cases	Recoverd Cases
Feb 15 2020	0	0	0	0
Feb 16 2020	0	0	0	0
Feb 17 2020	0	0	0	0
Feb 18 2020	0	0	0	0
Feb 19 2020	0	0	0	0
Feb 20 2020	0	0	0	0
Feb 21 2020	0	0	0	0
Feb 22 2020	0	0	0	0
Feb 23 2020	0	0	0	0
Feb 24 2020	0	0	0	0
Feb 25 2020	0	0	0	0
Feb 26 2020	0	0	0	0
Feb 27 2020	0	0	0	0
Feb 28 2020	0	0	0	0
Feb 29 2020	0	0	0	0
Mar 01 2020	0	0	0	0
Mar 02 2020	0	0	0	0
Mar 03 2020	0	0	0	0
Mar 04 2020	0	0	0	0
Mar 05 2020	0	0	0	0
Mar 06 2020	0	0	0	0
Mar 07 2020	0	0	0	0
Mar 08 2020	0	0	0	0
Mar 09 2020	0	0	0	0
Mar 10 2020	0	0	0	0
Mar 11 2020	0	0	0	0
Mar 12 2020	0	0	0	0
Mar 13 2020	0	0	0	0
Mar 14 2020	0	0	0	0
Mar 15 2020	0	0	0	0
Mar 16 2020	0	0	0	0
Mar 17 2020	0	0	0	0
Mar 18 2020	0	0	0	0
Mar 19 2020	0	0	0	0
Mar 20 2020	1	0	0	0
Mar 21 2020	3	0	2	0
Mar 22 2020	3	0	0	0
Mar 23 2020	2	0	0	0
Mar 24 2020	2	0	0	0
Mar 25 2020	2	0	0	0
Mar 26 2020	2	0	0	0
Mar 27 2020	4	0	2	0
Mar 28 2020	6	0	2	0
Mar 29 2020	6	0	0	0
Mar 30 2020	6	0	0	0
Mar 31 2020	7	0	1	0
Apr 01 2020	7	0	0	0
Apr 02 2020	8	0	1	0
Apr 03 2020	8	0	0	0
Apr 04 2020	8	0	0	0
Apr 05 2020	8	0	0	0
Apr 06 2020	9	0	1	0
Apr 07 2020	9	1	1	0
Apr 08 2020	8	1	0	0
Apr 09 2020	8	0	0	0
Apr 10 2020	10	0	2	0
Apr 11 2020	11	0	1	0
Apr 12 2020	11	0	0	0
Apr 13 2020	14	0	3	0
Apr 14 2020	14	0	0	0
Apr 15 2020	19	0	6	0
Apr 16 2020	19	0	0	0
Apr 17 2020	19	0	1	0
Apr 18 2020	20	0	1	0
Apr 19 2020	20	0	0	0
Apr 20 2020	20	0	0	0
Apr 21 2020	23	0	3	0
Apr 22 2020	22	1	0	0
Apr 23 2020	22	0	0	0
Apr 24 2020	23	0	1	0
Apr 25 2020	25	0	2	0
Apr 26 2020	25	0	0	0
Apr 27 2020	22	0	0	0
Apr 28 2020	23	0	1	0
Apr 29 2020	23	0	0	0
Apr 30 2020	25	0	2	0
May 01 2020	25	0	0	0
May 02 2020	25	0	0	0
May 03 2020	25	0	0	0
May 04 2020	25	0	0	0
May 05 2020	25	0	0	0
May 06 2020	25	0	0	0
May 07 2020	25	0	0	0
May 08 2020	21	0	0	0
May 09 2020	22	0	1	0
May 10 2020	23	0	1	0
May 11 2020	23	0	0	0
May 12 2020	23	0	0	0
May 13 2020	21	0	1	0
May 14 2020	20	0	0	0
May 15 2020	25	0	5	0
May 16 2020	25	0	0	0
May 17 2020	23	0	2	0
May 18 2020	24	0	2	0
May 19 2020	24	0	0	0
May 20 2020	26	0	2	0
May 21 2020	29	0	3	0
May 22 2020	29	0	0	0
May 23 2020	34	0	5	0
May 24 2020	27	0	0	0
May 25 2020	27	0	0	0
May 26 2020	27	0	0	0
May 27 2020	103	0	76	0
May 28 2020	117	0	17	0
May 29 2020	117	0	0	0
May 30 2020	141	0	25	0
May 31 2020	145	0	4	0
Jun 01 2020	170	0	25	0
Jun 02 2020	173	0	3	0
Jun 03 2020	189	0	16	0
Jun 04 2020	202	0	15	0
Jun 05 2020	228	0	28	0
Jun 06 2020	242	0	14	0
Jun 07 2020	244	0	3	0
Jun 08 2020	237	0	5	0
Jun 09 2020	264	0	27	0
Jun 10 2020	267	0	6	0
Jun 11 2020	277	0	12	0
Jun 12 2020	288	0	11	0
Jun 13 2020	298	0	13	0
Jun 14 2020	325	0	27	0
Jun 15 2020	329	0	4	0
Jun 16 2020	325	0	4	0
Jun 17 2020	334	0	10	0
Jun 18 2020	396	0	62	0
Jun 19 2020	412	0	16	0
Jun 20 2020	412	0	0	0
Jun 21 2020	419	2	10	0
Jun 22 2020	442	0	23	0
Jun 23 2020	455	0	13	0
Jun 24 2020	401	0	5	0
Jun 25 2020	417	0	21	0
Jun 26 2020	420	0	10	0
Jun 27 2020	419	0	6	0
Jun 28 2020	419	0	0	0
Jun 29 2020	415	1	7	0
Jun 30 2020	422	0	17	0
Jul 01 2020	432	0	14	0
Jul 02 2020	437	0	12	0
Jul 03 2020	442	0	8	0
Jul 04 2020	509	1	73	0
Jul 05 2020	527	0	18	0
Jul 06 2020	528	1	18	0
Jul 07 2020	577	0	53	0
Jul 08 2020	670	0	98	0
Jul 09 2020	608	3	41	0
Jul 10 2020	609	1	16	0
Jul 11 2020	644	5	40	0
Jul 12 2020	639	0	3	0
Jul 13 2020	672	1	49	0
Jul 14 2020	701	1	30	0
Jul 15 2020	674	0	25	0
Jul 16 2020	914	3	273	0
Jul 17 2020	958	1	58	0
Jul 18 2020	1014	1	58	0
Jul 19 2020	1114	0	133	0
Jul 20 2020	1215	1	102	0
Jul 21 2020	1306	0	107	0
Jul 22 2020	1498	0	214	0
Jul 23 2020	1586	2	90	0
Jul 24 2020	1750	4	172	0
Jul 25 2020	1882	2	138	0
Jul 26 2020	1960	0	78	0
Jul 27 2020	2126	2	192	0
Jul 28 2020	2173	4	113	0
Jul 29 2020	1951	1	62	0
Jul 30 2020	2115	12	213	0
Jul 31 2020	2098	14	77	0
Aug 01 2020	2579	2	490	0
Aug 02 2020	2835	1	262	0
Aug 03 2020	2938	10	154	0
Aug 04 2020	2902	1	146	0
Aug 05 2020	2902	0	0	0
Aug 06 2020	2991	3	118	0
Aug 07 2020	3004	18	112	0
Aug 08 2020	3057	0	124	0
Aug 09 2020	3108	2	74	0
Aug 10 2020	3120	0	99	0
Aug 11 2020	3190	0	70	0
Aug 12 2020	3151	18	75	0
Aug 13 2020	2935	6	97	0
Aug 14 2020	2946	0	82	0
Aug 15 2020	2999	2	104	0
Aug 16 2020	3037	2	85	0
Aug 17 2020	1325	3	47	0
Aug 18 2020	1132	6	70	0
Aug 19 2020	1051	9	265	0
Aug 20 2020	1069	1	102	0
Aug 21 2020	1076	1	70	0
Aug 22 2020	1111	1	78	0
Aug 23 2020	903	2	37	0
Aug 24 2020	965	0	140	0
Aug 25 2020	1069	11	126	0
Aug 26 2020	1071	13	55	0
Aug 27 2020	1093	10	41	0
Aug 28 2020	1150	6	96	0
Aug 29 2020	1154	1	18	0
Aug 30 2020	1155	0	6	0
Aug 31 2020	1074	6	85	0
Sep 01 2020	1115	1	62	0
Sep 02 2020	1182	3	79	0
Sep 03 2020	1209	0	40	0
Sep 04 2020	1286	0	159	0
Sep 05 2020	1286	0	0	0
Sep 06 2020	1286	0	0	0
Sep 07 2020	1633	4	461	0
